,filename,laughs,start,end,threshold,duration
1,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_1.wav,10.37,15.17,0.3,0.7
2,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_2.wav,15.42,30.29,0.3,0.7
3,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_3.wav,41.16,46.31,0.3,0.7
4,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_4.wav,48.71,50.1,0.3,0.7
5,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_5.wav,53.88,55.49,0.3,0.7
6,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_6.wav,57.21,58.99,0.3,0.7
7,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_7.wav,60.22,61.37,0.3,0.7
8,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_8.wav,62.29,66.74,0.3,0.7
9,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_9.wav,75.32,76.51,0.3,0.7
10,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_10.wav,86.17,89.71,0.3,0.7
11,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_11.wav,96.81,99.09,0.3,0.7
12,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_12.wav,103.5,107.2,0.3,0.7
13,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_13.wav,112.74,121.17,0.3,0.7
14,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_14.wav,125.46,126.65,0.3,0.7
15,Aditi.Mittal.Things.They.Wouldnt.Let.Me.Say.2017.1080p.Netflix.WEB.DL.DD5.1.x264.QOQ-music.wav,/laughs/laugh_15.wav,128.63,132.35,0.3,0.7
