,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,588","00:00:09,884","[male announcer] <i>Ladies and gentlemen,</i> <i>please welcome to the stage: Ali Wong!</i>",line_0000.wav,23.425266,82.89474,-1.0,83.89474,29.801067,0.5883381924198251,0.16569212,0.0041529303000000005,0.32090536,0.31675243,0.08996862,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,4.5,0.0,0.96875,0.03125,4.8,0.6840725541114807,0.9,10.0,"['ladies_and', 'and_gentlemen', 'gentlemen_please', 'please_welcome', 'welcome_to', 'to_the', 'the_stage', 'stage_ali', 'ali_wong']",0.0,-0.06623022258281708,4.5,2.327746741154562,3.4916201117318435,0,0.0,,,,5.59,9.88
1,"00:00:09,968","00:00:12,095",[upbeat theme music],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.21478383,0.14765315,0.30109176,0.15343861,0.029427316000000002,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,9.97,12.1
2,"00:00:12,178","00:00:14,723",[audience cheering and applauding],line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.20262957,0.12781361,0.30018565,0.17237204,0.030768465,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,12.18,14.72
3,"00:00:27,819","00:00:31,614",-Hi. Hello! Welcome! Thank you! -[crowd cheers],line_0003.wav,9.925817,95.04310600000001,-1.0,96.04310600000001,24.058771,0.8137839628893306,0.1531217,0.072379835,0.21752927,0.14514944,0.032417104,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.4,0.7628511786460876,0.8,5.0,"['hi_hello', 'hello_welcome', 'welcome_thank', 'thank_you']",0.0,0.3549173176288605,2.0,1.3175230566534908,1.8445322793148875,0,0.0,,,,27.82,31.61
4,"00:00:31,698","00:00:34,534",Thank you for coming. Hello!,line_0004.wav,34.198966999999996,169.61539,-1.0,170.61539,44.438559999999995,0.5017761989342806,0.14498344,0.061386745,0.21867417,0.15728742,0.04657425,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.4,0.5895837545394897,0.8,5.0,"['thank_you', 'you_for', 'for_coming', 'coming_hello']",0.0,0.21323423087596893,2.0,1.7630465444287735,2.468265162200284,0,0.0,,,,31.7,34.53
5,"00:00:35,160","00:00:36,578",Hello.,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.051381737000000004,0.025785363999999998,0.09690399,0.07111862,0.019414745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.705218617771506,1.410437235543012,0,0.0,,,,35.16,36.58
6,"00:00:37,495","00:00:40,790","We are gonna have to get this shit over with,",line_0006.wav,61.622852,193.42105,-1.0,194.42105,43.594105,0.2383853769992384,0.10698705,0.0073583369999999995,0.20094520000000002,0.19358686,0.057056934000000004,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,5.0,0.075,0.8,0.125,3.363636363636364,0.7864054441452026,0.9090909090909092,11.0,"['we_are', 'are_going', 'going_to', 'to_have', 'have_to', 'to_get', 'get_this', 'this_shit', 'shit_over', 'over_with']",0.0,0.2242632955312729,5.0,3.3383915022761737,3.945371775417297,0,0.0,,,,37.49,40.79
7,"00:00:40,874","00:00:44,169","'cause I have to pee in, like, ten minutes.",line_0007.wav,19.129204,84.16031,-1.0,85.16031,25.233957,0.6016755521706016,0.08942268,0.015584552,0.19555572,0.17997116,0.052815493,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,4.0,0.0,0.9166666666666666,0.08333333333333333,3.6666666666666665,0.7105722427368164,0.8888888888888888,9.0,"['because_i', 'i_have', 'have_to', 'to_pee', 'pee_in', 'in_like', 'like_ten', 'ten_minutes']",0.0,0.11959167569875714,4.0,2.7314112291350576,3.3383915022761816,0,0.0,,,,40.87,44.17
8,"00:00:44,252","00:00:45,670",[laughter],line_0008.wav,17.072874,77.0979,-1.0,78.0979,25.054254999999998,0.6452762923351159,0.10562889,0.019536432,0.22254926,0.20301282,0.06085688,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,44.25,45.67
9,"00:00:45,754","00:00:48,673","But thank you, everybody, so much for coming. Um...",line_0009.wav,45.304634,131.25,-1.0,132.25,40.87462,0.34995700773860705,0.08877806,0.002453067,0.20371257,0.2012595,0.068319306,0.0,0.4,0.0,0.2,0.0,0.4,4.0,0.0,0.96875,0.03125,4.111111111111111,0.8623488545417786,0.8888888888888888,9.0,"['but_thank', 'thank_you', 'you_everybody', 'everybody_so', 'so_much', 'much_for', 'for_coming', 'coming_um']",0.0,0.058408770710229874,4.0,3.08324768756423,4.453579993148332,0,0.0,,,,45.75,48.67
