,filename,laughs,start,end,threshold,duration
1,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_1.wav,46.58,48.92,0.3,0.7
2,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_2.wav,50.5,51.23,0.3,0.7
3,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_3.wav,58.65,59.69,0.3,0.7
4,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_4.wav,62.47,69.6,0.3,0.7
5,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_5.wav,72.1,75.21,0.3,0.7
6,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_6.wav,77.56,78.45,0.3,0.7
7,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_7.wav,79.39,81.39,0.3,0.7
8,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_8.wav,96.06,102.98,0.3,0.7
9,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_9.wav,115.22,117.24,0.3,0.7
10,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_10.wav,120.92,121.67,0.3,0.7
11,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_11.wav,130.02,131.96,0.3,0.7
12,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_12.wav,135.41,137.4,0.3,0.7
13,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_13.wav,141.67,150.96,0.3,0.7
14,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_14.wav,153.46,155.56,0.3,0.7
15,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_15.wav,158.11,159.0,0.3,0.7
16,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_16.wav,170.71,172.81,0.3,0.7
17,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_17.wav,176.33,179.3,0.3,0.7
18,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_18.wav,180.01,182.08,0.3,0.7
19,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_19.wav,185.67,194.36,0.3,0.7
20,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_20.wav,201.64,203.94,0.3,0.7
21,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_21.wav,206.83,209.72,0.3,0.7
22,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_22.wav,210.5,212.61,0.3,0.7
23,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_23.wav,216.48,218.02,0.3,0.7
24,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_24.wav,220.77,221.47,0.3,0.7
25,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_25.wav,222.65,224.48,0.3,0.7
26,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_26.wav,226.85,228.08,0.3,0.7
27,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_27.wav,231.62,233.67,0.3,0.7
28,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_28.wav,242.59,244.22,0.3,0.7
29,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_29.wav,245.67,247.09,0.3,0.7
30,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_30.wav,248.78,250.23,0.3,0.7
31,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_31.wav,258.6,262.6,0.3,0.7
32,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_32.wav,266.4,270.95,0.3,0.7
33,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_33.wav,271.5,273.34,0.3,0.7
34,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_34.wav,278.92,279.65,0.3,0.7
35,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_35.wav,290.32,292.81,0.3,0.7
36,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_36.wav,302.48,303.5,0.3,0.7
37,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_37.wav,310.77,316.03,0.3,0.7
38,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_38.wav,332.0,337.08,0.3,0.7
39,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_39.wav,339.52,343.59,0.3,0.7
40,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_40.wav,345.32,357.43,0.3,0.7
41,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_41.wav,359.18,362.05,0.3,0.7
42,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_42.wav,364.65,368.51,0.3,0.7
43,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_43.wav,368.9,370.05,0.3,0.7
44,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_44.wav,371.82,372.95,0.3,0.7
45,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_45.wav,373.84,377.5,0.3,0.7
46,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_46.wav,379.4,380.6,0.3,0.7
47,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_47.wav,398.02,398.8,0.3,0.7
48,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_48.wav,402.27,405.29,0.3,0.7
49,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_49.wav,413.71,414.55,0.3,0.7
50,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_50.wav,426.61,428.84,0.3,0.7
51,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_51.wav,442.6,444.92,0.3,0.7
52,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_52.wav,455.05,459.27,0.3,0.7
53,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_53.wav,465.39,466.13,0.3,0.7
54,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_54.wav,470.84,479.81,0.3,0.7
55,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_55.wav,486.81,488.28,0.3,0.7
56,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_56.wav,494.2,496.3,0.3,0.7
57,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_57.wav,523.24,525.77,0.3,0.7
58,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_58.wav,533.2,534.91,0.3,0.7
59,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_59.wav,537.19,538.64,0.3,0.7
60,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_60.wav,542.48,543.21,0.3,0.7
61,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_61.wav,545.87,551.03,0.3,0.7
62,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_62.wav,553.83,556.26,0.3,0.7
63,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_63.wav,556.61,558.15,0.3,0.7
64,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_64.wav,559.1,559.89,0.3,0.7
65,Ali.Wong.Hard.Knock.Wife.2018.1080p-music.wav,/laughs/laugh_65.wav,580.76,586.73,0.3,0.7
