,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:10,680","00:00:14,726","[announcer]<i> Ladies and gentleman,</i> <i>and all you other motherfuckers,</i>",line_0000.wav,29.461126,71.59091,-1.0,72.59091,23.794085,0.3720642768850433,0.073030144,0.014922241000000001,0.20113677,0.18621452,0.03708652,0.2,0.0,0.2,0.6,0.0,0.0,3.5,0.3125,0.65625,0.03125,5.625,0.7590787410736084,0.875,8.0,"['ladies_and', 'and_gentleman', 'gentleman_and', 'and_all', 'all_you', 'you_other', 'other_motherfuckers']",0.0,0.004490796476602554,3.5,1.9772614928324264,3.7073652990608,0,0.0,,,,10.68,14.73
1,"00:00:14,809","00:00:16,936",<i>get up off your ass</i> <i>for the baddest bitch:</i>,line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.06575541,0.033926017999999995,0.106678165,0.07275215,0.01887432,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,4.0,0.25,0.7083333333333334,0.04166666666666666,3.6666666666666665,0.8221448659896851,0.8888888888888888,9.0,"['get_up', 'up_off', 'off_your', 'your_ass', 'ass_for', 'for_the', 'the_baddest', 'baddest_bitch']",0.0,-0.04569907486438751,4.0,4.231311706629054,3.7611659614480484,0,0.0,,,,14.81,16.94
2,"00:00:17,020","00:00:19,313",<i>Amy Schumer!</i>,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.07396816,0.02060745,0.11080288,0.09019543,0.02448006,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,5.0,0.3323235511779785,0.5,2.0,['amy_schumer'],0.0,0.3323235511779785,0.5,0.8722197993894464,1.7444395987788928,0,0.0,,,,17.02,19.31
3,"00:00:19,397","00:00:22,316",-[music playing] -[cheers and applause],line_0003.wav,29.195702,73.993286,-1.0,74.993286,23.877512,0.3759656652360515,0.10138979599999999,0.070626706,0.1666282,0.09600149,0.017580902,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.4,22.32
4,"00:00:36,164","00:00:37,165",Yeah!,line_0004.wav,5.15016,77.64085,-1.0,78.64085,20.092472,0.914141414141414,0.12262416,0.068225354,0.1575201,0.08929475,0.023234162000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9990009990010014,0.9990009990010014,0,0.0,,,,36.16,37.16
5,"00:00:43,463","00:00:46,841","What the fuck is up, Denver?!",line_0005.wav,68.624596,256.39536,-1.0,257.39536,42.79638,0.1111934766493699,0.11892469,0.028767895,0.22762367,0.19885577,0.04898319,0.0,0.0,0.2,0.4,0.2,0.2,2.5,0.0625,0.8125,0.125,3.5,0.6029146313667297,0.8333333333333334,6.0,"['what_the', 'the_fuck', 'fuck_is', 'is_up', 'up_denver']",0.0,0.06412084400653839,2.5,1.7761989342806397,2.07223208999408,0,0.0,,,,43.46,46.84
6,"00:00:46,924","00:00:48,176",[cheers and applause],line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.12878996,0.09431724,0.17578658,0.08146934,0.017470695,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,46.92,48.18
7,"00:00:51,220","00:00:54,640","Thank you so much for coming out. Oh, my God.",line_0007.wav,52.4594,114.84375,-1.0,115.84375,26.389324,0.11330409356725145,0.05480089,0.01495892,0.10967259,0.09471367,0.02180881,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,4.5,0.0,0.96875,0.03125,3.3,0.8314532637596129,0.9,10.0,"['thank_you', 'you_so', 'so_much', 'much_for', 'for_coming', 'coming_out', 'out_oh', 'oh_my', 'my_god']",0.0,0.2418605238199234,4.5,2.923976608187133,3.2163742690058466,0,0.0,,,,51.22,54.64
8,"00:00:56,684","00:00:58,686",This is such a big deal for me.,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.055551644000000004,0.029537687000000003,0.08600185,0.056464165,0.013198566,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,3.5,0.09375,0.78125,0.125,2.875,0.6350468397140503,0.875,8.0,"['this_is', 'is_such', 'such_a', 'a_big', 'big_deal', 'deal_for', 'for_me']",0.0,0.3504718840122223,3.5,3.9960039960039913,3.9960039960039913,0,0.0,,,,56.68,58.69
9,"00:00:59,896","00:01:02,356","I don't know if you guys know this, but this past year,",line_0009.wav,48.70154,122.5,-1.0,123.5,34.5402,0.24130879345603276,0.049257133,0.008620765,0.08653036,0.07790959,0.018705858,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,6.0,0.125,0.875,0.0,3.2307692307692313,0.8126071095466614,0.9230769230769232,13.0,"['i_do', 'do_not', 'not_know', 'know_if', 'if_you', 'you_guys', 'guys_know', 'know_this', 'this_but', 'but_this', 'this_past', 'past_year']",0.0,0.33090993762016296,6.0,5.284552845528453,5.284552845528453,1,9.090000000000003,"#1, ","62.19, ","71.28, ",59.9,62.36
10,"00:01:02,440","00:01:05,693","I've gotten very rich, famous and humble.",line_0010.wav,39.021873,155.2817,-1.0,156.2817,28.66297,0.2749034749034749,0.043494895,0.0056382935,0.08742688,0.081788585,0.022831413999999998,0.5,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,3.5,0.1875,0.6458333333333334,0.16666666666666666,4.25,0.6684826612472534,0.875,8.0,"['i_have', 'have_gotten', 'gotten_very', 'very_rich', 'rich_famous', 'famous_and', 'and_humble']",0.0,0.20420947670936584,3.5,2.4592683676606213,3.6889025514909313,0,0.0,,,,62.44,65.69
11,"00:01:05,777","00:01:07,361",[audience laughing],line_0011.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.026431200000000002,0.005028660999999999,0.06289343,0.057864767000000004,0.017253142,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,65.78,67.36
12,"00:01:07,445","00:01:08,696",Thank you. Thank you.,line_0012.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.04099474,0.008055625,0.09745366,0.089398034,0.0266732,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.75,4.0,"['thank_you', 'you_thank', 'thank_you']",0.0,0.5647585391998291,1.5,3.1974420463628976,3.1974420463628976,0,0.0,,,,67.44,68.7
13,"00:01:11,491","00:01:13,910",And maybe you caught this. I don't know who saw this.,line_0013.wav,53.584778,196.875,-1.0,197.875,35.330223,0.12976313079299692,0.049779408,0.0025818532,0.11319024,0.11060839,0.024348827000000003,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.4444444444444444,5.5,0.08928571428571429,0.9107142857142856,0.0,3.4166666666666665,0.8122768998146057,0.9166666666666666,12.0,"['and_maybe', 'maybe_you', 'you_caught', 'caught_this', 'this_i', 'i_do', 'do_not', 'not_know', 'know_who', 'who_saw', 'saw_this']",0.0,0.3160785734653473,5.5,4.960727573377435,5.3741215378255545,2,2.200000000000003,"#2, #3, ","72.06, 74.55, ","73.43, 75.38, ",71.49,73.91
14,"00:01:14,869","00:01:18,831",I tweeted out a photo of myself wearing just underwear.,line_0014.wav,43.675774,121.15385,-1.0,122.15385,33.220913,0.2864417568427753,0.037986092,0.0034603204,0.081075236,0.07761492,0.019953771999999998,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,4.5,0.05,0.95,0.0,4.5,0.7173801064491272,0.9,10.0,"['i_tweeted', 'tweeted_out', 'out_a', 'a_photo', 'photo_of', 'of_myself', 'myself_wearing', 'wearing_just', 'just_underwear']",0.0,0.015340554527938366,4.5,2.5239777889954547,3.5335689045936367,1,4.659999999999997,"#4, ","78.9, ","83.56, ",74.87,78.83
15,"00:01:18,915","00:01:20,083",Nothing but underwear.,line_0015.wav,48.442820000000005,78.19149,-1.0,79.19149,15.888576,0.06971677559912855,0.057292916,0.012021976,0.08160875,0.069586776,0.014442739,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.125,0.75,0.125,6.333333333333332,0.8093612194061279,0.6666666666666667,3.0,"['nothing_but', 'but_underwear']",0.0,0.2410344183444977,1.0,2.5684931506849487,5.136986301369896,0,0.0,,,,78.92,80.08
16,"00:01:20,166","00:01:22,043",[cheering],line_0016.wav,19.14987,72.05882,-1.0,73.05882,25.351376000000002,0.6037483266398929,0.023274306,0.01758867,0.035789784,0.018201115,0.00369145,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,80.17,82.04
