,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,088","00:00:08,342",[pop music playing],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.072100975,0.0088721635,0.24430265,0.23543048,0.062362228,,,,,,,,,,,,,,,,,,,,,1,13.760000000000005,"#1, ","41.05, ","54.81, ",5.09,8.34
1,"00:00:43,502","00:00:45,629",{\an8}[audience cheering],line_0001.wav,18.829283,62.64204399999999,-1.0,63.64204399999999,23.91003,0.5882352941176471,0.15546577,0.092063695,0.21112820000000002,0.11906451,0.029897096,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,43.5,45.63
2,"00:00:45,754","00:00:48,883","{\an8}[emcee]  <i>Ladies and gentlemen, make some noise</i>",line_0002.wav,22.380138,76.5625,-1.0,77.5625,24.668454999999998,0.52,0.17717142,0.12851128,0.22569452,0.09718324,0.021634435,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,45.75,48.88
3,"00:00:49,008","00:00:54,221",{\an8}<i>for Anjelah Johnson!</i>,line_0003.wav,3.9650697999999998,69.77848,-1.0,70.77848,14.553957999999998,0.8945349952061361,0.14954919,0.10694829,0.21895176,0.112003475,0.017690312,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,49.01,54.22
4,"00:00:54,429","00:00:56,724",[pop music playing],line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.17571194,0.10721607,0.29450268,0.18728662,0.04483383,,,,,,,,,,,,,,,,,,,,,2,35.129999999999995,"#2, #3, ","55.84, 65.35, ","62.94, 93.38, ",54.43,56.72
5,"00:01:18,119","00:01:20,121",[cheering continues],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.13039981,0.09890781,0.15659629,0.057688475,0.011489801000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,78.12,80.12
6,"00:01:30,173","00:01:31,842","Oh, hi.",line_0006.wav,26.3432,60.911602,-1.0,61.911602,25.151730999999998,0.4526315789473685,0.017936794,0.005409865600000001,0.03205874,0.026648872,0.006498800600000001,,,,,,,,,,,,,,,,,,,,,1,24.159999999999997,"#4, ","94.06, ","118.22, ",90.17,91.84
7,"00:01:31,926","00:01:33,928",[laughter],line_0007.wav,58.96945,155.2817,-1.0,156.2817,25.270912,0.0273972602739726,0.08624801,0.016428502,0.17236868,0.15594018,0.04680563,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,91.93,93.93
8,"00:01:36,430","00:01:38,223","It's so cool. Look at us, guys.",line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.16103454,0.12489739,0.18721454,0.062317147999999996,0.012899529,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,96.43,98.22
9,"00:01:38,306","00:01:40,935","We're here, Southern California.",line_0009.wav,3.2582676,74.49324,-1.0,75.49324,14.225166,0.9166666666666666,0.13819039,0.09582076,0.21585682,0.12003606,0.024510657,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,98.31,100.94
