,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:08,008",<i>[cheering and applause]</i>,line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016325176,0.0012675213999999999,0.027911816000000002,0.026644295,0.0049149020000000005,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.01,8.01
1,"00:00:17,892","00:00:19,519",<i>[cheering and applause ends]</i>,line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0005226281,0.00015903583000000002,0.0019316938,0.0017726579999999999,0.00039605156,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,17.89,19.52
2,"00:00:21,521","00:00:22,522",<i>Now...</i>,line_0002.wav,36.125298,99.324326,-1.0,100.324326,32.28329,0.4101265822784809,0.008129094,0.00026458025,0.026275875,0.026011296,0.009205964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9990009990010014,0.9990009990010014,0,0.0,,,,21.52,22.52
3,"00:00:22,605","00:00:23,732",<i>[laughter]</i>,line_0003.wav,22.953316,107.03883,-1.0,108.03883,26.768279999999997,0.5331858407079646,0.0007235635,0.00039744898,0.0011107037,0.0007132547,0.00016412376,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,22.61,23.73
4,"00:00:23,815","00:00:27,694","<i>my best friend's wife </i> <i>is a born again Christian,</i>",line_0004.wav,18.116410000000002,104.00944,-1.0,105.00943999999998,31.629599,0.7220426632191338,0.01026582,0.00043061255999999996,0.028711603999999998,0.028280992,0.007118747,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,4.0,0.017857142857142856,0.8035714285714286,0.17857142857142858,4.222222222222221,0.6350468397140503,0.8888888888888888,9.0,"['my_best', 'best_friends', 'friends_wife', 'wife_is', 'is_a', 'a_born', 'born_again', 'again_christian']",0.0,0.1877049058675766,4.0,2.3201856148491893,2.8357824181490088,0,0.0,,,,23.82,27.69
5,"00:00:28,111","00:00:30,864",<i>and we do not get along at all.</i>,line_0005.wav,43.22397,84.16031,-1.0,85.16031,22.273054000000002,0.1785063752276867,0.01172775,0.00078412704,0.032246776,0.031462647,0.008810298000000001,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3.5,0.125,0.75,0.125,2.875,0.7205888032913208,0.875,8.0,"['and_we', 'we_do', 'do_not', 'not_get', 'get_along', 'along_at', 'at_all']",0.0,0.2622862756252289,3.5,2.905920813657828,3.2691609153650565,1,1.3599999999999994,"#1, ","30.89, ","32.25, ",28.11,30.86
6,"00:00:30,947","00:00:32,032",<i>[laughter]</i>,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.003292288,0.0007772577000000001,0.0067162984,0.005939041,0.0016820957,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,30.95,32.03
7,"00:00:32,115","00:00:34,284","<i>The other day, she called me up </i> <i>to yell at me,</i>",line_0007.wav,32.462821999999996,85.46512,-1.0,86.46512,29.18295,0.4079254079254079,0.011791909,0.00066112773,0.046028886,0.04536776,0.009540806,0.2,0.0,0.2,0.2,0.0,0.4,5.0,0.15625,0.78125,0.0625,3.0909090909090913,0.6754818558692932,0.9090909090909092,11.0,"['the_other', 'other_day', 'day_she', 'she_called', 'called_me', 'me_up', 'up_to', 'to_yell', 'yell_at', 'at_me']",0.0,0.13161279261112213,5.0,5.0714615029967804,5.532503457814668,0,0.0,,,,32.12,34.28
8,"00:00:35,035","00:00:37,746",<i>saying I'm a terrible influence </i> <i>on her husband</i>,line_0008.wav,39.658566,88.91129000000001,-1.0,89.91129000000001,33.19811,0.3791512915129152,0.011746241000000001,0.0006805733000000001,0.030976497000000002,0.030295923,0.00754603,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,4.0,0.15,0.75,0.1,4.333333333333333,0.6681147813796997,0.8888888888888888,9.0,"['saying_i', 'i_am', 'am_a', 'a_terrible', 'terrible_influence', 'influence_on', 'on_her', 'her_husband']",0.0,0.1220639869570732,4.0,3.3198081888601925,5.5330136481003205,0,0.0,,,,35.03,37.75
9,"00:00:38,163","00:00:40,582",<i>because he called her a bad name.</i>,line_0009.wav,17.922504,95.86957,-1.0,96.86957,27.847727000000003,0.6774193548387096,0.010494928,0.00028979717000000003,0.029953117999999997,0.02966332,0.008462694,0.25,0.0,0.25,0.25,0.0,0.25,3.0,0.20833333333333331,0.7083333333333334,0.08333333333333333,3.7142857142857135,0.7196452617645264,0.8571428571428572,7.0,"['because_he', 'he_called', 'called_her', 'her_a', 'a_bad', 'bad_name']",0.0,0.3295271396636963,3.0,2.8937577511368286,3.307151715584947,0,0.0,,,,38.16,40.58
