,filename,laughs,start,end,threshold,duration
1,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_1.wav,30.89,32.25,0.3,0.7
2,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_2.wav,45.5,46.95,0.3,0.7
3,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_3.wav,54.48,58.44,0.3,0.7
4,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_4.wav,59.66,62.6,0.3,0.7
5,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_5.wav,63.35,64.74,0.3,0.7
6,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_6.wav,66.43,69.0,0.3,0.7
7,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_7.wav,74.33,82.99,0.3,0.7
8,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_8.wav,83.71,86.55,0.3,0.7
9,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_9.wav,88.97,92.68,0.3,0.7
10,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_10.wav,95.56,99.16,0.3,0.7
11,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_11.wav,104.08,106.71,0.3,0.7
12,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_12.wav,111.04,113.58,0.3,0.7
13,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_13.wav,114.81,117.47,0.3,0.7
14,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_14.wav,118.81,124.04,0.3,0.7
15,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_15.wav,135.31,143.85,0.3,0.7
16,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_16.wav,148.39,149.26,0.3,0.7
17,Anthony.Jeselnik.Fire.in.the.Maternity.Ward..2019.-music.wav,/laughs/laugh_17.wav,150.23,151.37,0.3,0.7
