,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,339","00:00:24,483",♪♪,line_0000.wav,12.820117,96.710526,-1.0,97.710526,25.400177,0.7626698014629049,0.06727148,0.010798695,0.16055623,0.14975753,0.024367614,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,5.34,24.48
1,"00:00:24,608","00:00:26,861",♪ Today ♪,line_0001.wav,15.303901000000002,77.64085,-1.0,78.64085,26.511051000000002,0.7131696428571429,0.09025709,0.040921493999999996,0.14591908,0.10499759,0.025697932000000003,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,24.61,26.86
2,"00:00:26,986","00:00:29,864",♪ I feel like pleasing you ♪,line_0002.wav,33.735737,69.33962,-1.0,70.33962,24.92142,0.32897033158813266,0.10583129,0.04164323,0.19552764,0.15388441,0.038066477,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,26.99,29.86
3,"00:00:29,989","00:00:31,907",♪ more than before ♪,line_0003.wav,9.331089,78.19149,-1.0,79.19149,24.499598000000002,0.8461538461538461,0.08656069,0.037569653,0.16950373,0.13193408,0.03662118,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,29.99,31.91
4,"00:00:32,032","00:00:34,034",♪ to be living for you ♪,line_0004.wav,23.830976,60.245903000000006,-1.0,61.245903000000006,21.837156,0.4332493702770781,0.11138444,0.058506574000000006,0.21922398,0.1607174,0.0373362,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,32.03,34.03
5,"00:00:34,159","00:00:36,662",♪ is all I ♪,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.11765205,0.054458596,0.20478612,0.15032753,0.03402036,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,34.16,36.66
6,"00:00:36,787","00:00:41,375",♪ want to do ♪,line_0006.wav,13.07771,76.5625,-1.0,77.5625,24.808609,0.7473972602739726,0.09575604,0.013905553999999999,0.23717669,0.22327113,0.050386257000000004,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,36.79,41.38
7,"00:00:41,500","00:00:50,634",♪ [saxophone solo plays] ♪,line_0007.wav,2.5466754000000003,97.56636999999999,-1.0,98.56636999999999,12.77355,0.9267489711934156,0.12336187,0.027820202999999998,0.20356629999999998,0.1757461,0.032919683,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,41.5,50.63
8,"00:00:50,759","00:01:03,981",[crowd claps],line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.1562769,0.06854506,0.24107572,0.17253067,0.032464925,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,50.76,63.98
9,"00:01:04,105","00:01:06,525",<i>Announcer:</i> <i>Ladies and gentlemen...</i>,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.15737388,0.07079909,0.21710527,0.14630619,0.035612873999999996,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.5,0.0,0.875,0.125,6.75,0.6840725541114807,0.75,4.0,"['announcer_ladies', 'ladies_and', 'and_gentlemen']",0.0,0.08838294446468352,1.5,1.65289256198347,3.7190082644628073,0,0.0,,,,64.11,66.53
10,"00:01:06,650","00:01:08,861",<i>Aziz Ansari!</i>,line_0010.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.16851294,0.06960827,0.21510479,0.14549652,0.03011339,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,5.0,0.6566901206970215,0.5,2.0,['aziz_ansari'],0.0,0.6566901206970215,0.5,0.904568068747174,2.2614201718679348,0,0.0,,,,66.65,68.86
