,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:06,923",[applause],line_0000.wav,60.057827,101.14679,-1.0,102.14679,16.173466,0.021798365122615803,0.002014565,3.2637120000000004e-07,0.004395455,0.0043951287,0.0013804982,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.01,6.92
1,"00:00:08,717","00:00:10,844","[male presenter] Ladies and gentlemen, please welcome...",line_0001.wav,2.5803392000000005,82.27611999999999,-1.0,83.27611999999999,14.922984,0.9445100354191264,0.019787211000000002,0.0052125445,0.034640699999999996,0.029428153999999998,0.007467279,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,2.0,0.0,0.9583333333333334,0.04166666666666666,6.2,0.6840725541114807,0.8,5.0,"['ladies_and', 'and_gentlemen', 'gentlemen_please', 'please_welcome']",0.0,0.220335990190506,2.0,2.350728725905032,4.231311706629057,1,46.239999999999995,"#1, ","9.99, ","56.23, ",8.72,10.84
2,"00:00:10,927","00:00:12,846",Bert Kreischer.,line_0002.wav,12.914226,58.95721999999999,-1.0,59.95721999999999,21.402624,0.7001303780964798,0.019091913000000002,0.0058368295,0.03252102,0.026684191,0.008381932,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,6.5,0.0,0.5,2.0,['bert_kreischer'],0.0,0.0,0.5,1.0422094841063052,1.5633142261594577,0,0.0,,,,10.93,12.85
3,"00:00:12,929","00:00:14,014",[applause],line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013742265,0.01096262,0.015791219,0.0048285984,0.0009625207,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,12.93,14.01
4,"00:00:14,097","00:00:15,515",[rock music playing],line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013626046999999999,0.010732722,0.015670266000000002,0.0049375445,0.0011961914,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.1,15.52
5,"00:00:23,648","00:00:25,483",[crowd cheering and applauding],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.015275583,0.012760262,0.017793065,0.005032803,0.0011727241,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,23.65,25.48
6,"00:00:36,036","00:00:36,953",[crowd cheering louder],line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0154326195,0.013667726000000002,0.017172063,0.0035043368,0.00091807416,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,36.04,36.95
7,"00:00:46,629","00:00:47,964",Oh.,line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.018085932,0.012042816000000001,0.023090062999999997,0.011047247,0.0034129368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.7490636704119845,0.7490636704119845,0,0.0,,,,46.63,47.96
8,"00:00:49,591","00:00:50,425",Yes.,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016483586,0.011416232,0.02237349,0.010957258000000001,0.0030524537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.1990407673860968,1.1990407673860968,0,0.0,,,,49.59,50.42
9,"00:00:50,508","00:00:51,509",[crowd cheering],line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.012555489,0.010843505,0.013845411,0.003001906,0.00073845795,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,50.51,51.51
10,"00:00:52,010","00:00:54,179","Yeah, lower your expectations, Philly.",line_0010.wav,7.462084299999999,72.05882,-1.0,73.05882,19.613120000000002,0.8400460299194477,0.015555899,0.006168430999999999,0.024568832000000002,0.0184004,0.0052086827,0.25,0.0,0.0,0.25,0.25,0.25,2.0,0.0,1.0,0.0,6.2,0.3796688616275787,0.8,5.0,"['yeah_lower', 'lower_your', 'your_expectations', 'expectations_philly']",0.0,0.02239939570426941,2.0,2.305209774089438,4.610419548178876,0,0.0,,,,52.01,54.18
11,"00:00:54,262","00:00:55,263",[audience laughing],line_0011.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0045105787,0.0037722515,0.005414520999999999,0.0016422693,0.0003792111,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,54.26,55.26
12,"00:00:55,346","00:00:57,515",We're just getting drunk and telling secrets.,line_0012.wav,11.574100999999999,88.91129000000001,-1.0,89.91129000000001,24.055792,0.7710280373831776,0.009991156999999999,0.0011716379,0.027027927,0.02585629,0.0075468034,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,3.5,0.0625,0.875,0.0625,4.75,0.7149894237518309,0.875,8.0,"['we_are', 'are_just', 'just_getting', 'getting_drunk', 'drunk_and', 'and_telling', 'telling_secrets']",0.0,0.17607849836349487,3.5,3.688335638543101,5.071461502996764,1,1.7000000000000028,"#2, ","57.18, ","58.88, ",55.35,57.52
13,"00:00:57,599","00:00:58,433",[laughing],line_0013.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.008163178,0.0049439063,0.011307382,0.006363475699999999,0.0014277688,,,,,,,,,,,,,,,,,,,,,1,1.6300000000000026,"#3, ","61.97, ","63.6, ",57.6,58.43
14,"00:00:58,516","00:01:02,187",[coughs] Secret time. [laughs],line_0014.wav,18.715770000000003,67.22561,-1.0,68.22561,23.709414000000002,0.5868673050615595,0.009222691,0.0011044034,0.029277235,0.028172832000000002,0.0063393135,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,58.52,62.19
15,"00:01:03,438","00:01:05,148","Secret time: when I get out of the shower,",line_0015.wav,29.047506,125.28408999999999,-1.0,126.28408999999999,48.075794,0.7077151335311572,0.017497802,0.0005536708,0.043740302,0.04318663,0.010223591,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,4.0,0.09375,0.84375,0.0625,3.555555555555556,0.7496915459632874,0.8888888888888888,9.0,"['secret_time', 'time_when', 'when_i', 'i_get', 'get_out', 'out_of', 'of_the', 'the_shower']",0.0,0.1774427592754364,4.0,5.263157894736862,6.43274853801172,0,0.0,,,,63.44,65.15
16,"00:01:05,231","00:01:08,068",I dry my asshole on the bed. Bam! Secret time.,line_0016.wav,10.774486999999999,97.56636999999999,-1.0,98.56636999999999,27.674978000000003,0.8362831858407079,0.014505981499999999,0.0014870485,0.033356782,0.03186973,0.0078084090000000005,0.125,0.0,0.125,0.375,0.25,0.125,4.5,0.15625,0.84375,0.0,3.4,0.5774793028831482,0.9,10.0,"['i_dry', 'dry_my', 'my_asshole', 'asshole_on', 'on_the', 'the_bed', 'bed_bam', 'bam_secret', 'secret_time']",0.0,-0.007076688576489688,4.5,3.5248501938667567,4.229820232640108,2,2.9200000000000017,"#4, #5, ","67.11, 69.96, ","68.82, 71.17, ",65.23,68.07
17,"00:01:08,151","00:01:09,319",[laughing],line_0017.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.006749265999999999,0.004419170300000001,0.0099295415,0.005510371,0.0013116419,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,68.15,69.32
18,"00:01:11,112","00:01:14,199","Secret time: sometimes when I wipe my ass, I spit on the toilet paper.",line_0018.wav,49.032703000000005,167.04546000000002,-1.0,168.04546000000002,43.811787,0.308130081300813,0.013877115,0.0011034324,0.037249307999999995,0.036145877,0.00800025,0.18181818181818185,0.18181818181818185,0.09090909090909093,0.3636363636363637,0.0,0.18181818181818185,6.5,0.046875,0.9375,0.015625,3.8571428571428568,0.7496915459632874,0.9285714285714286,14.0,"['secret_time', 'time_sometimes', 'sometimes_when', 'when_i', 'i_wipe', 'wipe_my', 'my_ass', 'ass_i', 'i_spit', 'spit_on', 'on_the', 'the_toilet', 'toilet_paper']",0.0,0.13409779965877533,6.5,4.535147392290245,5.830903790087457,0,0.0,,,,71.11,74.2
19,"00:01:14,282","00:01:16,743",It's called an Alabama Wet Wipe. Secret time.,line_0019.wav,29.473671000000003,158.63308999999998,-1.0,159.63308999999998,38.60088,0.5609007164790174,0.014317079,0.0020342828,0.030739247999999997,0.028704965,0.007300408,0.14285714285714285,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,3.5,0.16666666666666666,0.7083333333333334,0.125,4.5,0.6935866475105286,0.875,8.0,"['it_is', 'is_calledan', 'calledan_alabama', 'alabama_wet', 'wet_wipe', 'wipe_secret', 'secret_time']",0.0,0.0,3.5,3.2507110930516068,4.4697277529459605,1,1.7199999999999989,"#6, ","75.53, ","77.25, ",74.28,76.74
20,"00:01:16,826","00:01:18,036",[laughter and cheers],line_0020.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0060441024,0.0030812519,0.009477738000000001,0.0063964864,0.0017479479,,,,,,,,,,,,,,,,,,,,,1,4.789999999999992,"#7, ","78.2, ","82.99, ",76.83,78.04
21,"00:01:20,455","00:01:21,456",[laughing],line_0021.wav,9.109233,76.5625,-1.0,77.5625,21.277689000000002,0.8089330024813896,0.007493408000000001,0.0018264266000000001,0.03886338,0.03703695,0.009046784,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,80.45,81.46
22,"00:01:22,791","00:01:25,585","Secret time: when my wife has an orgasm, she looks like Elvis.",line_0022.wav,19.421846,122.5,-1.0,123.5,31.668888,0.6531531531531531,0.015665893,0.0017592364,0.032957293,0.031198056000000002,0.0075924834,0.2,0.1,0.1,0.3,0.1,0.2,5.5,0.0625,0.8125,0.125,4.0,0.7496915459632874,0.9166666666666666,12.0,"['secret_time', 'time_when', 'when_my', 'my_wife', 'wife_has', 'has_an', 'an_orgasm', 'orgasm_she', 'she_looks', 'looks_like', 'like_elvis']",0.0,-0.008583844639360905,5.5,4.294917680744457,5.726556907659277,0,0.0,,,,82.79,85.58
