,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,048","00:00:09,050",[cheering and applause],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013317033,0.0062892046,0.019721786,0.013432581,0.0033472147999999997,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,7.05,9.05
1,"00:00:18,518","00:00:23,148","[female announcer] Ladies and gentlemen, please welcome Bill Burr!",line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.018115133000000002,0.0122484295,0.029909234,0.017660804,0.004318008,0.0,0.0,0.0,0.4,0.4,0.2,3.0,0.0,0.9583333333333334,0.04166666666666666,5.571428571428571,0.6840725541114807,0.8571428571428572,7.0,"['ladies_and', 'and_gentlemen', 'gentlemen_please', 'please_welcome', 'welcome_bill', 'bill_burr']",0.0,-0.062148157507181175,3.0,1.5118790496760262,2.375809935205184,0,0.0,,,,18.52,23.15
2,"00:00:30,447","00:00:33,283","All right, thank you. Thank you very much.",line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.022523658,0.014164638,0.03363075,0.019466113,0.0050684307,0.0,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,3.5,0.05,0.825,0.125,4.0,0.7721424102783203,0.875,8.0,"['all_right', 'right_thank', 'thank_you', 'you_thank', 'thank_you', 'you_very', 'very_much']",0.0,0.4055507183074951,3.5,2.8208744710860345,3.1734837799717885,0,0.0,,,,30.45,33.28
3,"00:00:33,366","00:00:34,409",Thank you.,line_0003.wav,14.240306,65.23669,-1.0,66.23669,22.934502,0.6885644768856448,0.025475032999999998,0.01174138,0.04029679,0.028555407999999997,0.007931995,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.917545541706617,1.917545541706617,0,0.0,,,,33.37,34.41
4,"00:00:36,202","00:00:38,580",Thank you. Thank you. Thank you. How are you?,line_0004.wav,14.084560999999999,73.5,-1.0,74.5,24.012653,0.7109458023379384,0.021657124,0.010510496999999999,0.03585449,0.025343992000000003,0.006835224,0.0,0.2,0.0,0.0,0.0,0.8,4.0,0.03125,0.90625,0.0625,3.6666666666666665,0.7103059887886047,0.8888888888888888,9.0,"['thank_you', 'you_thank', 'thank_you', 'you_thank', 'thank_you', 'you_how', 'how_are', 'are_you']",0.0,0.2809888422489166,4.0,3.7846930193439854,3.7846930193439854,0,0.0,,,,36.2,38.58
5,"00:00:39,914","00:00:42,167",Excellent. Thank you for coming out.,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021658983,0.008691374,0.032914132,0.024222757999999997,0.0067509664,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,2.5,0.0,0.6666666666666666,0.3333333333333333,4.833333333333333,0.7048561573028564,0.8333333333333334,6.0,"['excellent_thank', 'thank_you', 'you_for', 'for_coming', 'coming_out']",0.0,0.2975838184356689,2.5,2.6631158455392807,3.9946737683089215,0,0.0,,,,39.91,42.17
6,"00:00:43,376","00:00:44,753",Very prestigious...,line_0006.wav,10.954985,73.993286,-1.0,74.993286,23.253874,0.7900552486187845,0.013167138,0.006274305,0.020801761999999998,0.014527456999999999,0.004460927,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.125,0.375,0.5,7.5,0.23542320728302,0.5,2.0,['very_prestigious'],0.0,0.23542320728302,0.5,1.452432824981842,3.631082062454605,1,1.2700000000000031,"#1, ","44.19, ","45.46, ",43.38,44.75
7,"00:00:45,336","00:00:49,257",arena to listen to my dick and shit jokes over the next...,line_0007.wav,27.301357,119.83696,-1.0,120.83696,28.455515000000002,0.4808429118773946,0.012130776000000001,0.0036642890000000003,0.028349264,0.024684975,0.005444168,0.25,0.0,0.125,0.5,0.0,0.125,5.5,0.04166666666666666,0.8958333333333334,0.0625,3.6666666666666665,0.6153404712677002,0.9166666666666666,12.0,"['arena_to', 'to_listen', 'listen_to', 'to_my', 'my_dick', 'dick_and', 'and_shit', 'shit_jokes', 'jokes_over', 'over_the', 'the_next']",0.0,0.13424105942249298,5.5,3.0604437643458304,4.080591685794442,1,4.240000000000002,"#2, ","47.65, ","51.89, ",45.34,49.26
8,"00:00:50,300","00:00:52,052",[chuckles] ...90 minutes.,line_0008.wav,4.294437,64.85294,-1.0,65.85294,16.312592000000002,0.9033189033189032,0.009530124000000001,0.0029936582000000002,0.017721431,0.014727773000000001,0.003923009,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,4.5,0.35149791836738586,0.5,2.0,['90_minutes'],0.0,0.35149791836738586,0.5,1.1415525114155236,1.1415525114155236,0,0.0,,,,50.3,52.05
9,"00:00:52,677","00:00:54,846","No, I'm excited to be here. I am.",line_0009.wav,13.314831,90.36885,-1.0,91.36885,27.161603999999997,0.766398158803222,0.010361799,0.0014953177,0.030761452,0.029266134,0.0075506773,0.2,0.2,0.0,0.0,0.0,0.6,4.0,0.175,0.625,0.2,2.555555555555556,0.6139862537384033,0.8888888888888888,9.0,"['no_i', 'i_am', 'am_excited', 'excited_to', 'to_be', 'be_here', 'here_i', 'i_am']",0.0,0.25207221508026123,4.0,4.1493775933610015,5.0714615029967804,0,0.0,,,,52.68,54.85
