,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:16,683","00:00:18,018",[cheering and applause],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.04570391,0.0072312476,0.09429074,0.08705949,0.02733473,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,16.68,18.02
1,"00:00:24,691","00:00:26,443","All right, thank you.",line_0001.wav,6.863022,162.13235,-1.0,163.13235,33.408764,0.9464544138929089,0.07937191,0.038473304,0.15566769,0.117194384,0.03463747,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.5,0.0,0.875,0.125,4.0,0.713990330696106,0.75,4.0,"['all_right', 'right_thank', 'thank_you']",0.0,0.4055507183074951,1.5,2.2831050228310468,2.2831050228310468,0,0.0,,,,24.69,26.44
2,"00:00:27,236","00:00:29,071",Thank you very much. How are you?,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.08887692,0.043561477,0.16268107,0.11911960000000002,0.028795466000000002,0.0,0.6,0.0,0.0,0.0,0.4,3.0,0.09375,0.75,0.15625,3.571428571428572,0.7721424102783203,0.8571428571428572,7.0,"['thank_you', 'you_very', 'very_much', 'much_how', 'how_are', 'are_you']",0.0,0.2809888422489166,3.0,3.814713896457764,4.359673024523159,0,0.0,,,,27.24,29.07
3,"00:00:30,072","00:00:31,281",How's it going?,line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.068372905,0.044084175999999996,0.1174511,0.073366925,0.021605403999999998,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.5,0.0625,0.8125,0.125,3.0,0.7244448661804199,0.75,4.0,"['how_is', 'is_it', 'it_going']",0.0,0.497174859046936,1.5,3.3085194375516966,4.13564929693962,0,0.0,,,,30.07,31.28
4,"00:00:33,659","00:00:35,369","Thank you, thank you, thank you.",line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.06762329,0.039134447,0.12228743,0.08315298,0.021890253,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.8333333333333334,6.0,"['thank_you', 'you_thank', 'thank_you', 'you_thank', 'thank_you']",0.0,0.5647585391998291,2.5,3.5087719298245594,3.5087719298245594,0,0.0,,,,33.66,35.37
5,"00:00:36,453","00:00:37,871",Nice to be here.,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.08765959,0.040377516,0.16686422,0.1264867,0.026656201,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.5,0.04166666666666666,0.5833333333333334,0.375,3.0,0.6139862537384033,0.75,4.0,"['nice_to', 'to_be', 'be_here']",0.0,0.3683657348155975,1.5,2.8208744710860385,2.8208744710860385,0,0.0,,,,36.45,37.87
6,"00:00:38,580","00:00:40,541",Nice to be here. Thank you.,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.061368722,0.032163024,0.13305363,0.10089061,0.022855366000000002,0.25,0.25,0.0,0.0,0.0,0.5,2.5,0.03125,0.6875,0.28125,3.333333333333333,0.6793414354324341,0.8333333333333334,6.0,"['nice_to', 'to_be', 'be_here', 'here_thank', 'thank_you']",0.0,0.3387364447116852,2.5,3.0596634370219298,3.0596634370219298,0,0.0,,,,38.58,40.54
7,"00:00:40,624","00:00:43,168",I appreciate it. Let's see if I'm funny first.,line_0007.wav,5.981426,64.09884,-1.0,65.09884,17.407337,0.8589743589743589,0.06896399,0.025214913999999998,0.13542654,0.110211626,0.031160846000000002,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,5.0,0.04166666666666666,0.8125,0.14583333333333334,3.272727272727273,0.7658498883247375,0.9090909090909092,11.0,"['i_appreciate', 'appreciate_it', 'it_let', 'let_us', 'us_see', 'see_if', 'if_i', 'i_am', 'am_funny', 'funny_first']",0.0,0.2808463275432587,5.0,4.323899371069188,5.896226415094348,0,0.0,,,,40.62,43.17
8,"00:00:43,919","00:00:45,295",Let's see if I'm funny.,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.04711372,0.012447968,0.12139507,0.1089471,0.030240411000000002,0.25,0.0,0.0,0.0,0.0,0.75,3.0,0.03125,0.78125,0.1875,2.571428571428572,0.7229872345924377,0.8571428571428572,7.0,"['let_us', 'us_see', 'see_if', 'if_i', 'i_am', 'am_funny']",0.0,0.3073394298553467,3.0,5.087209302325563,5.813953488372072,0,0.0,,,,43.92,45.3
9,"00:00:45,379","00:00:47,673",Nice to be here in Nashville.,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.028124245,0.0066397367,0.08130622,0.074666485,0.02124859,0.25,0.25,0.0,0.0,0.25,0.25,2.5,0.04166666666666666,0.5833333333333334,0.375,3.8333333333333335,0.6139862537384033,0.8333333333333334,6.0,"['nice_to', 'to_be', 'be_here', 'here_in', 'in_nashville']",0.0,0.06256138533353807,2.5,2.615518744550998,3.0514385353094977,0,0.0,,,,45.38,47.67
