,filename,laughs,start,end,threshold,duration
2,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_2.wav,18.13,19.33,0.3,0.7
3,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_3.wav,26.58,27.71,0.3,0.7
4,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_4.wav,30.2,66.88,0.3,0.7
5,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_5.wav,69.14,70.26,0.3,0.7
6,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_6.wav,71.7,80.06,0.3,0.7
7,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_7.wav,81.27,84.02,0.3,0.7
8,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_8.wav,85.1,92.35,0.3,0.7
9,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_9.wav,94.36,99.06,0.3,0.7
10,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_10.wav,99.4,101.45,0.3,0.7
11,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_11.wav,102.56,110.76,0.3,0.7
12,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_12.wav,112.04,117.3,0.3,0.7
13,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_13.wav,118.95,268.19,0.3,0.7
14,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_14.wav,282.23,284.29,0.3,0.7
15,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_15.wav,287.27,288.73,0.3,0.7
16,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_16.wav,290.65,292.08,0.3,0.7
17,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_17.wav,293.19,295.51,0.3,0.7
18,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_18.wav,296.2,297.15,0.3,0.7
19,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_19.wav,298.98,301.41,0.3,0.7
20,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_20.wav,301.93,303.53,0.3,0.7
21,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_21.wav,305.17,344.66,0.3,0.7
22,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_22.wav,345.84,358.58,0.3,0.7
23,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_23.wav,359.69,362.49,0.3,0.7
24,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_24.wav,362.58,367.52,0.3,0.7
25,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_25.wav,368.27,379.1,0.3,0.7
26,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_26.wav,386.35,387.93,0.3,0.7
27,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_27.wav,389.0,411.71,0.3,0.7
28,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_28.wav,413.13,414.42,0.3,0.7
29,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_29.wav,415.8,416.63,0.3,0.7
30,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_30.wav,418.34,420.0,0.3,0.7
31,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_31.wav,421.56,422.45,0.3,0.7
32,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_32.wav,425.59,433.62,0.3,0.7
33,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_33.wav,434.76,438.78,0.3,0.7
34,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_34.wav,440.49,441.69,0.3,0.7
35,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_35.wav,453.59,454.45,0.3,0.7
36,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_36.wav,457.49,458.85,0.3,0.7
37,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_37.wav,464.67,470.5,0.3,0.7
38,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_38.wav,474.59,476.5,0.3,0.7
39,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_39.wav,480.49,482.36,0.3,0.7
40,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_40.wav,483.85,485.52,0.3,0.7
41,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_41.wav,486.99,488.9,0.3,0.7
42,Bo.Burnham.Make.Happy.2016.720p.WEBRip.AAC2.0.x264-music.wav,/laughs/laugh_42.wav,490.72,491.62,0.3,0.7
