,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,509","00:00:09,595",[slow jazz music playing],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.064760365,0.0083138,0.11009363,0.10177983,0.019945478,,,,,,,,,,,,,,,,,,,,,1,3.42,"#1, ","10.31, ","13.73, ",6.51,9.6
1,"00:00:11,139","00:00:13,975","[Ice Cube] <i>He one of the OGs,</i> <i>one of the all-time greats.</i>",line_0001.wav,33.297916,81.06618,-1.0,82.06618,31.468126,0.44109831709477415,0.053002637000000005,0.015663322,0.11350133,0.097838014,0.026544467999999998,0.0,0.0,0.5,0.5,0.0,0.0,5.0,0.0,1.0,0.0,3.0909090909090913,0.7139386534690857,0.9090909090909092,11.0,"['he_one', 'one_of', 'of_the', 'the_ogs', 'ogs_one', 'one_of', 'of_the', 'the_all', 'all_time', 'time_greats']",0.0,-0.2530592083930969,5.0,3.8787023977432997,3.5260930888575457,0,0.0,,,,11.14,13.97
2,"00:00:14,058","00:00:15,852",<i>He can make you laugh with a look.</i>,line_0002.wav,26.748167,82.27611999999999,-1.0,83.27611999999999,32.52494,0.5654008438818565,0.046223614,0.010606498999999998,0.11207861,0.10147211,0.028879035,0.0,0.0,0.2,0.2,0.0,0.6,3.5,0.0,1.0,0.0,3.25,0.8193506598472595,0.875,8.0,"['he_can', 'can_make', 'make_you', 'you_laugh', 'laugh_with', 'with_a', 'a_look']",0.0,0.2914165258407593,3.5,4.459308807134893,4.459308807134893,1,4.380000000000001,"#2, ","14.88, ","19.26, ",14.06,15.85
3,"00:00:17,979","00:00:21,232",[Jimmie Walker] <i>He is a legend in the stand-up game.</i>,line_0003.wav,9.511991,104.00944,-1.0,105.00943999999998,24.859783,0.8401544401544402,0.05303227,0.0137866745,0.15616375,0.14237708,0.029271515,0.0,0.0,0.3333333333333333,0.5,0.0,0.16666666666666666,4.0,0.03125,0.90625,0.0625,3.0,0.6350468397140503,0.8888888888888888,9.0,"['he_is', 'is_a', 'a_legend', 'legend_in', 'in_the', 'the_stand', 'stand_up', 'up_game']",0.0,0.09100759029388428,4.0,2.7666769136181983,3.0740854595757763,1,6.75,"#3, ","21.3, ","28.05, ",17.98,21.23
4,"00:00:21,315","00:00:22,817",[Chris Rock] <i>Yes.</i>,line_0004.wav,3.4046510000000003,65.82089,-1.0,66.82089,14.873385,0.9183333333333332,0.043063458,0.022037567999999997,0.0733096,0.051272035,0.012312294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.6657789613848207,0.6657789613848207,0,0.0,,,,21.32,22.82
5,"00:00:23,484","00:00:28,072",[Jerry Seinfeld] <i>He's so good.</i> <i>He's completely unique. I love the guy.</i>,line_0005.wav,16.613012,82.89474,-1.0,83.89474,28.247774,0.7095002745744097,0.04430996,0.013740446000000002,0.11867495,0.1049345,0.025267763,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,5.5,0.03125,0.640625,0.328125,3.4166666666666665,0.710277259349823,0.9166666666666666,12.0,"['he_is', 'is_so', 'so_good', 'good_he', 'he_is', 'is_completely', 'completely_unique', 'unique_i', 'i_love', 'love_the', 'the_guy']",0.0,0.16596907377243042,5.5,2.6155187445510037,3.269398430688755,0,0.0,,,,23.48,28.07
6,"00:00:28,156","00:00:32,201",[Rock] <i>The hardest gig I ever did</i> <i>was following Cedric the Entertainer</i>,line_0006.wav,28.4584,111.36363999999999,-1.0,112.36363999999999,32.540718,0.5077591558038486,0.0471369,0.010636304499999999,0.1329396,0.12230330000000002,0.024705697000000002,0.1,0.1,0.2,0.2,0.1,0.3,5.0,0.125,0.8035714285714286,0.07142857142857142,4.818181818181818,0.9999999403953552,0.9090909090909092,11.0,"['the_hardest', 'hardest_gig', 'gig_i', 'i_ever', 'ever_did', 'did_was', 'was_following', 'following_cedric', 'cedric_the', 'the_entertainer']",0.0,-0.14379705488681793,5.0,2.719406674907292,4.6971569839307765,1,0.7800000000000011,"#4, ","32.01, ","32.79, ",28.16,32.2
7,"00:00:32,285","00:00:34,871",<i>on New Year's Eve in Oakland.</i>,line_0007.wav,34.99492,80.47445,-1.0,81.47445,24.972310999999998,0.3050682261208577,0.041676063,0.01528545,0.106638476,0.09135303,0.020226074,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,3.6666666666666665,0.43361371755599976,0.8333333333333334,6.0,"['on_new', 'new_years', 'years_eve', 'eve_in', 'in_oakland']",0.0,0.009494207799434662,2.5,2.320185614849183,2.7068832173240467,1,1.6599999999999966,"#5, ","33.88, ","35.54, ",32.28,34.87
8,"00:00:34,954","00:00:37,623","[Ice Cube] <i>Talented, gifted, naturally funny.</i>",line_0008.wav,9.742980000000001,83.52273000000001,-1.0,84.52273000000001,23.966282,0.8239171374764596,0.049621097999999995,0.012843541000000002,0.14931594,0.1364724,0.0345848,0.75,0.25,0.0,0.0,0.0,0.0,1.5,0.0625,0.53125,0.40625,7.0,0.7261351346969604,0.75,4.0,"['talented_gifted', 'gifted_naturally', 'naturally_funny']",0.0,0.2701678574085236,1.5,1.4986886474334975,4.1213937804421175,1,174.43,"#6, ","36.67, ","211.1, ",34.95,37.62
9,"00:00:37,707","00:00:39,584",[Rock] <i>As good as it gets.</i>,line_0009.wav,7.368129700000001,114.84375,-1.0,115.84375,27.019983,0.9105473965287049,0.05192928,0.013879862,0.18343082,0.16955096,0.039603196,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,2.0,0.04166666666666666,0.6666666666666666,0.2916666666666667,2.8,0.6761183738708496,0.8,5.0,"['as_good', 'good_as', 'as_it', 'it_gets']",0.0,0.4189955592155457,2.0,2.663825253063396,2.663825253063396,0,0.0,,,,37.71,39.58
10,"00:00:40,752","00:00:44,255",[whistle blows] [band playing],line_0010.wav,3.7179417999999997,54.579209999999996,-1.0,55.579209999999996,13.632763,0.8925739005046863,0.047945287,0.019024048,0.08379605400000001,0.06477201,0.014480416999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,40.75,44.26
11,"00:00:44,338","00:00:47,550",[Announcer] <i>Give it up</i> <i>for the Tennessee State marching band!</i>,line_0011.wav,5.663083599999999,177.82259,-1.0,178.82259,29.511872999999998,0.9413145539906104,0.07792077,0.030014702999999997,0.15216848,0.12215378,0.02876283,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,4.0,0.04166666666666666,0.9583333333333334,0.0,4.4444444444444455,0.6988056898117065,0.8888888888888888,9.0,"['give_it', 'it_up', 'up_for', 'for_the', 'the_tennessee', 'tennessee_state', 'state_marching', 'marching_band']",0.0,0.08992920070886612,4.0,2.8019925280199285,3.7359900373599046,0,0.0,,,,44.34,47.55
12,"00:00:53,306","00:00:55,975",[audience cheering],line_0012.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.08037303,0.035198987,0.17577499,0.140576,0.029461587,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,53.31,55.98
13,"00:01:00,813","00:01:03,232","<i>♪ Give it up for Ced, Cedric ♪</i>",line_0013.wav,17.37045,59.594593,-1.0,60.594593,23.75078,0.6224279835390947,0.06849261400000001,0.021242458,0.15967172,0.13842927,0.03200947,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.5,0.125,0.875,0.0,3.333333333333333,0.6988056898117065,0.8333333333333334,6.0,"['give_it', 'it_up', 'up_for', 'for_ced', 'ced_cedric']",0.0,-0.14674225449562073,2.5,2.4803637866887174,2.4803637866887174,0,0.0,,,,60.81,63.23
14,"00:01:03,316","00:01:05,193",<i>-♪ Give it up for Ced ♪</i> <i>-♪ Cedric ♪</i>,line_0014.wav,14.199734,72.05882,-1.0,73.05882,23.513482999999997,0.6966442953020134,0.07438958,0.027528287999999998,0.17456505,0.14703676,0.035321668,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,3.0,0.125,0.875,0.0,3.333333333333333,0.6988056898117065,0.8571428571428572,6.0,"['give_it', 'it_up', 'up_for', 'for_ced', 'ced_', '_', '_', '_cedric']",0.0,-0.14674225449562073,3.0,3.1965903036760865,3.1965903036760865,0,0.0,,,,63.32,65.19
