,filename,laughs,start,end,threshold,duration
1,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_1.wav,18.44,21.75,0.3,0.7
2,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_2.wav,24.04,26.13,0.3,0.7
3,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_3.wav,35.3,37.41,0.3,0.7
4,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_4.wav,38.71,39.75,0.3,0.7
5,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_5.wav,47.63,85.32,0.3,0.7
6,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_6.wav,87.94,100.01,0.3,0.7
7,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_7.wav,102.06,108.17,0.3,0.7
8,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_8.wav,110.45,113.41,0.3,0.7
9,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_9.wav,114.99,115.78,0.3,0.7
10,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_10.wav,117.76,119.87,0.3,0.7
11,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_11.wav,122.61,128.77,0.3,0.7
12,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_12.wav,138.62,141.08,0.3,0.7
13,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_13.wav,145.74,162.31,0.3,0.7
14,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_14.wav,164.09,168.3,0.3,0.7
15,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_15.wav,173.19,175.22,0.3,0.7
16,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_16.wav,180.01,181.28,0.3,0.7
17,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_17.wav,184.55,190.95,0.3,0.7
18,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_18.wav,191.82,196.09,0.3,0.7
19,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_19.wav,199.22,206.17,0.3,0.7
20,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_20.wav,207.87,214.36,0.3,0.7
21,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_21.wav,228.76,229.89,0.3,0.7
22,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_22.wav,233.25,237.9,0.3,0.7
23,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_23.wav,240.08,245.09,0.3,0.7
24,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_24.wav,246.2,247.56,0.3,0.7
25,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_25.wav,248.57,256.37,0.3,0.7
26,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_26.wav,257.19,258.7,0.3,0.7
27,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_27.wav,270.22,274.24,0.3,0.7
28,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_28.wav,275.23,279.06,0.3,0.7
29,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_29.wav,280.3,282.64,0.3,0.7
30,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_30.wav,288.28,289.36,0.3,0.7
31,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_31.wav,296.73,298.75,0.3,0.7
32,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_32.wav,301.7,304.21,0.3,0.7
33,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_33.wav,304.94,306.18,0.3,0.7
34,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_34.wav,307.21,308.5,0.3,0.7
35,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_35.wav,310.15,312.15,0.3,0.7
36,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_36.wav,313.1,321.35,0.3,0.7
37,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_37.wav,323.47,324.29,0.3,0.7
38,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_38.wav,334.09,335.55,0.3,0.7
39,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_39.wav,338.46,345.38,0.3,0.7
40,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_40.wav,348.36,352.22,0.3,0.7
41,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_41.wav,353.39,355.19,0.3,0.7
42,Chris.Rock...Tamborine.2018-music.wav,/laughs/laugh_42.wav,356.73,358.72,0.3,0.7
