,filename,laughs,start,end,threshold,duration
2,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_2.wav,65.35,68.74,0.3,0.7
3,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_3.wav,69.36,71.71,0.3,0.7
4,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_4.wav,72.24,73.55,0.3,0.7
5,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_5.wav,74.33,80.4,0.3,0.7
6,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_6.wav,81.03,100.43,0.3,0.7
7,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_7.wav,101.22,103.88,0.3,0.7
8,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_8.wav,108.15,111.28,0.3,0.7
9,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_9.wav,112.83,113.89,0.3,0.7
10,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_10.wav,115.98,153.94,0.3,0.7
11,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_11.wav,154.88,161.84,0.3,0.7
12,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_12.wav,162.2,164.02,0.3,0.7
13,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_13.wav,165.87,167.93,0.3,0.7
14,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_14.wav,168.27,184.16,0.3,0.7
15,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_15.wav,184.58,185.99,0.3,0.7
16,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_16.wav,186.89,191.27,0.3,0.7
17,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_17.wav,193.55,195.45,0.3,0.7
18,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_18.wav,197.09,212.13,0.3,0.7
19,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_19.wav,212.46,227.34,0.3,0.7
20,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_20.wav,228.44,238.15,0.3,0.7
21,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_21.wav,241.28,266.6,0.3,0.7
22,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_22.wav,266.92,287.56,0.3,0.7
23,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_23.wav,287.95,289.98,0.3,0.7
24,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_24.wav,290.88,356.52,0.3,0.7
25,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_25.wav,357.08,373.2,0.3,0.7
26,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_26.wav,375.78,377.07,0.3,0.7
27,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_27.wav,378.12,382.92,0.3,0.7
28,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_28.wav,383.46,384.86,0.3,0.7
29,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_29.wav,385.27,393.63,0.3,0.7
30,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_30.wav,394.54,399.54,0.3,0.7
31,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_31.wav,399.94,420.78,0.3,0.7
32,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_32.wav,420.93,440.53,0.3,0.7
33,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_33.wav,442.63,452.74,0.3,0.7
34,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_34.wav,454.02,455.49,0.3,0.7
35,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_35.wav,456.67,469.74,0.3,0.7
36,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_36.wav,471.85,476.82,0.3,0.7
37,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_37.wav,478.18,501.97,0.3,0.7
38,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_38.wav,502.86,517.9,0.3,0.7
39,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_39.wav,522.45,530.97,0.3,0.7
40,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_40.wav,532.62,544.2,0.3,0.7
41,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_41.wav,545.27,561.23,0.3,0.7
42,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_42.wav,563.69,565.42,0.3,0.7
43,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_43.wav,569.16,574.69,0.3,0.7
44,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_44.wav,578.21,594.51,0.3,0.7
45,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_45.wav,595.05,609.04,0.3,0.7
46,Cristela.Alonzo.Lower.Classy.2017-music.wav,/laughs/laugh_46.wav,609.41,611.45,0.3,0.7
