,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:14,222","00:00:17,475","Sometimes, the funniest thing to say is mean.",line_0000.wav,17.724781,72.05882,-1.0,73.05882,26.671740000000003,0.6597222222222222,0.011408373000000001,2.1022008e-05,0.045909397000000005,0.045888375,0.008863318,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.22,17.48
1,"00:00:18,143","00:00:19,352",You know what I mean?,line_0001.wav,21.457947,63.728325,-1.0,64.728325,26.300133000000002,0.5678496868475992,0.009762861,7.247364e-05,0.02755901,0.027486537000000002,0.010046369,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,18.14,19.35
2,"00:00:19,644","00:00:21,688",It's a tough position to be in.,line_0002.wav,8.235439999999999,66.415665,-1.0,67.415665,20.75423,0.8335358444714459,0.008287274,8.005861999999999e-05,0.04489907,0.04481901,0.010176899,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.64,21.69
3,"00:00:22,230","00:00:24,107","So I say a lot of mean things,",line_0003.wav,27.104721,106.00961000000001,-1.0,107.00961000000001,27.972165999999998,0.46524064171123,0.011650366,0.00015733678,0.029480012000000003,0.029322674,0.008880718000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,22.23,24.11
4,"00:00:24,190","00:00:25,900",but you guys got to remember.,line_0004.wav,20.842571,61.25,-1.0,62.25,26.101135,0.5856515373352855,0.010929251000000001,9.457933000000001e-05,0.028511155,0.028416576000000002,0.008096532,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,24.19,25.9
5,"00:00:25,984","00:00:27,736",I'm not saying it to be mean.,line_0005.wav,25.830236,77.0979,-1.0,78.0979,29.791664,0.5404624277456648,0.014322929,0.00013616493,0.05032504,0.050188877,0.011015025,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,25.98,27.74
6,"00:00:27,986","00:00:29,571",I'm saying it because it's funny.,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.011073113,0.00010170100000000001,0.040174942000000005,0.040073242,0.009479834,,,,,,,,,,,,,,,,,,,,,1,1.75,"#0, ","29.51, ","31.26, ",27.99,29.57
7,"00:00:31,281","00:00:34,367",And everything's funny till it happens to you.,line_0007.wav,7.729367699999999,79.31654,-1.0,80.31654,20.314664999999998,0.8407798537774167,0.011364727,4.550797e-05,0.04606992,0.046024412,0.010332836,,,,,,,,,,,,,,,,,,,,,1,9.700000000000003,"#1, ","34.82, ","44.52, ",31.28,34.37
8,"00:00:38,913","00:00:39,998",<i>♪ Revelation ♪</i>,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016181836,0.010279573,0.026433064,0.016153492,0.00422523,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,38.91,40.0
9,"00:00:41,041","00:00:44,753",<i> Don't stop. Keep on...</i> <i><i> ♪ Sunshine ♪</i></i>,line_0009.wav,33.80284,67.22561,-1.0,68.22561,23.964725,0.3088334457181389,0.015647689,0.007585645,0.035308246,0.0277226,0.0059011173,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,41.04,44.75
10,"00:00:48,256","00:00:49,215",<i>♪ Ecstatic ♪</i>,line_0010.wav,5.46444,73.993286,-1.0,74.993286,18.39045,0.8873994638069705,0.023308769,0.008357212,0.033000882999999995,0.02464367,0.005873392,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,48.26,49.22
11,"00:00:52,302","00:00:53,303",<i>♪ Flaco ♪</i>,line_0011.wav,7.7486277,80.47445,-1.0,81.47445,21.804018,0.8535353535353535,0.021563105,0.009421519,0.03241149,0.02298997,0.0062078509999999995,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,52.3,53.3
12,"00:00:53,386","00:00:54,220",<i>♪ Boogieman ♪</i>,line_0012.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.023277702,0.009418707,0.034434978,0.02501627,0.0063991494999999995,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,53.39,54.22
13,"00:00:54,304","00:00:56,473",<i>♪ I'm standing in the sun</i> <i>Getting black as I want ♪</i>,line_0013.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021060055,0.009893502,0.034282345,0.024388842,0.006580734,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,54.3,56.47
14,"00:00:56,556","00:00:59,017",<i>♪ You playing good D</i> <i>And that ain't backing me up ♪</i>,line_0014.wav,2.0881206999999997,77.64085,-1.0,78.64085,14.22277,0.9531090723751274,0.022216035,0.009438586,0.035832632,0.026394047,0.006422765600000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,56.56,59.02
15,"00:00:59,100","00:01:01,269",<i>♪ Sky woke a baby</i> <i>Ain't no jackin' my hem ♪</i>,line_0015.wav,2.3556187,79.31654,-1.0,80.31654,13.988895999999999,0.940628637951106,0.022713248,0.010247445,0.035125803,0.024878358,0.006098681999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,59.1,61.27
16,"00:01:01,352","00:01:04,439",<i>♪ I got a whole lot to say</i> <i>So I ain't talking to them ♪</i>,line_0016.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.022634087,0.008815156,0.03745077,0.028635615,0.0066888235,,,,,,,,,,,,,,,,,,,,,1,9.160000000000004,"#2, ","63.38, ","72.54, ",61.35,64.44
17,"00:01:04,522","00:01:07,025",<i>♪ I hear knees dropping</i> <i>I turn it up louder ♪</i>,line_0017.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021306999,0.010443816,0.030139731,0.019695915,0.004066567,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,64.52,67.03
18,"00:01:07,567","00:01:09,736","<i>♪ Black freedom, black genius</i> <i>Black power ♪</i>",line_0018.wav,4.986805,93.43220500000001,-1.0,94.43220500000001,20.739544,0.9228998849252014,0.02059571,0.011762524,0.027982912999999998,0.016220388999999998,0.0036914563,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,67.57,69.74
19,"00:01:10,278","00:01:12,197",<i>♪ Black ink</i> <i>For printing the black dollar ♪</i>,line_0019.wav,5.886068,78.75,-1.0,79.75,19.891052,0.8864229765013055,0.018718376999999998,0.011338293000000001,0.02690512,0.015566827,0.0031682644,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,70.28,72.2
20,"00:01:12,280","00:01:13,865",<i>♪ Until I CIA ♪</i>,line_0020.wav,7.957766499999999,71.59091,-1.0,72.59091,20.593874,0.8364779874213837,0.019455561,0.009055022,0.031463508,0.022408485,0.0049331957,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,72.28,73.86
21,"00:01:13,948","00:01:15,116","<i>♪ I say, ""Now what?"" ♪</i>",line_0021.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.015498123,0.0007825959,0.04468080000000001,0.043898205999999995,0.00882497,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1.5,0.0,1.0,0.0,2.75,0.7736142873764038,0.75,4.0,"['i_say', 'say_now', 'now_what']",0.0,0.4943298697471618,1.5,3.4246575342465566,3.4246575342465566,1,1.3400000000000034,"#3, ","73.97, ","75.31, ",73.95,75.12
22,"00:01:16,910","00:01:17,744",Phew.,line_0022.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.015363605,0.00012576438999999998,0.044886865,0.0447611,0.013765855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.1990407673860866,1.1990407673860866,0,0.0,,,,76.91,77.74
23,"00:01:17,827","00:01:19,746","Well, it's the last show.",line_0023.wav,17.037868,72.05882,-1.0,73.05882,26.309994,0.6766623207301173,0.0062580173999999995,4.2375092999999994e-05,0.029453501,0.029411126,0.007856985,0.25,0.0,0.25,0.25,0.0,0.25,2.5,0.125,0.7916666666666666,0.08333333333333333,3.1666666666666665,0.7144277691841125,0.8333333333333334,6.0,"['well_it', 'it_is', 'is_the', 'the_last', 'last_show']",0.0,0.3820995688438416,2.5,3.126628452318921,3.126628452318921,0,0.0,,,,77.83,79.75
24,"00:01:20,538","00:01:21,498",Here we are.,line_0024.wav,29.133976,73.993286,-1.0,74.993286,30.294003999999997,0.4920212765957447,0.008073549000000001,0.00012807819,0.026957837999999998,0.02682976,0.009184491,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0625,0.8125,0.125,3.0,0.6561350226402283,0.6666666666666667,3.0,"['here_we', 'we_are']",0.0,0.4973430633544922,1.0,3.1249999999999742,3.1249999999999742,0,0.0,,,,80.54,81.5
25,"00:01:22,123","00:01:23,333",Los Angeles.,line_0025.wav,14.460645000000001,61.25,-1.0,62.25,22.891920000000002,0.6841004184100419,0.0071218167,9.430896999999999e-05,0.024564246,0.024469936,0.0062427525,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,5.0,0.7741876244544983,0.5,2.0,['los_angeles'],0.0,0.7741876244544983,0.5,1.6528925619834796,3.305785123966959,0,0.0,,,,82.12,83.33
26,"00:01:24,667","00:01:25,960",The world capital of...,line_0026.wav,11.151933,60.245903000000006,-1.0,61.245903000000006,21.909729000000002,0.7628458498023716,0.010113723,5.7425557e-05,0.03331615,0.033258725,0.009542353,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.5,0.0,1.0,0.0,4.25,0.7139386534690857,0.75,4.0,"['the_world', 'world_capital', 'capital_of']",0.0,0.3685530424118042,1.5,3.093580819798936,4.640371229698403,0,0.0,,,,84.67,85.96
