,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,839","00:00:08,425",Ask me a question.,line_0000.wav,7.5099254,134.45122,-1.0,135.45122,26.924670000000003,0.8918128654970761,0.0071183196,0.0020613835999999997,0.031605947999999995,0.029544564,0.006649673,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.5,0.125,0.8125,0.0625,3.5,0.7398648262023926,0.75,4.0,"['ask_me', 'me_a', 'a_question']",0.0,0.3754781484603882,1.5,1.5467904098994585,1.9334880123743232,0,0.0,,,,5.84,8.43
1,"00:00:08,509","00:00:09,760",Do you have a dog?,line_0001.wav,11.671634,119.83696,-1.0,120.83696,32.69915,0.8669354838709677,0.009367209,0.0029361912,0.022730227999999998,0.019794036,0.0067453803,0.0,0.0,0.25,0.25,0.0,0.5,2.0,0.0,0.9166666666666666,0.08333333333333333,2.6,0.7320093512535095,0.8,5.0,"['do_you', 'you_have', 'have_a', 'a_dog']",0.0,0.3071137070655823,2.0,3.9968025579536386,3.9968025579536386,0,0.0,,,,8.51,9.76
2,"00:00:09,843","00:00:11,887","Oh, I had to have him removed years ago.",line_0002.wav,35.115704,98.4375,-1.0,99.4375,33.129787,0.4209876543209877,0.010338263,0.002955848,0.03241168,0.029455831000000002,0.0070682126,0.0,0.2,0.0,0.2,0.0,0.6,4.0,0.0,0.9,0.1,3.333333333333333,0.7974204421043396,0.8888888888888888,9.0,"['oh_i', 'i_had', 'had_to', 'to_have', 'have_him', 'him_removed', 'removed_years', 'years_ago']",0.0,0.17739230394363406,4.0,4.403131115459882,5.381604696673188,0,0.0,,,,9.84,11.89
3,"00:00:11,970","00:00:15,557","It was benign, but it still didn't prevent it from being adopted.",line_0003.wav,33.111435,73.5,-1.0,74.5,25.821198000000003,0.3538892782060266,0.01121467,0.0027695692,0.023888735,0.021119166,0.005994376,0.125,0.25,0.0,0.0,0.0,0.625,6.0,0.21875,0.6875,0.09375,4.0,0.9999999403953552,0.9230769230769232,13.0,"['it_was', 'was_benign', 'benign_but', 'but_it', 'it_still', 'still_did', 'did_not', 'not_prevent', 'prevent_it', 'it_from', 'from_being', 'being_adopted']",0.0,0.1437724083662033,6.0,3.624198494563703,5.018120992472818,0,0.0,,,,11.97,15.56
4,"00:00:15,641","00:00:18,852","And now it's in a loving, caring home.",line_0004.wav,28.836039000000003,85.46512,-1.0,86.46512,26.964053999999997,0.4350547730829421,0.008797795,0.0033313148,0.028525053999999998,0.02519374,0.0050042123,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,4.0,0.075,0.675,0.25,3.2222222222222223,0.7392368912696838,0.8888888888888888,9.0,"['and_now', 'now_it', 'it_is', 'is_in', 'in_a', 'a_loving', 'loving_caring', 'caring_home']",0.0,0.2592354118824005,4.0,2.8028651510432883,3.4257240734973524,1,1.7699999999999996,"#2, ","17.55, ","19.32, ",15.64,18.85
5,"00:00:18,936","00:00:21,230",How're you liking Austin?,line_0005.wav,36.398163000000004,64.47369,-1.0,65.47369,20.152810000000002,0.2190580503833516,0.010840421000000001,0.0048734467,0.031099677000000003,0.02622623,0.0053404947,0.0,0.25,0.0,0.0,0.25,0.5,2.0,0.0625,0.75,0.1875,4.2,0.7103059887886047,0.8,5.0,"['how_are', 'are_you', 'you_liking', 'liking_austin']",0.0,0.08832491189241409,2.0,2.179598953792502,3.0514385353095026,1,0.9800000000000004,"#3, ","20.15, ","21.13, ",18.94,21.23
6,"00:00:21,313","00:00:23,106",This is where the toaster was invented.,line_0006.wav,37.091644,134.45122,-1.0,135.45122,32.640396,0.3598326359832636,0.010714721000000002,0.001876553,0.028286183,0.02640963,0.0065689986,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,3.0,0.0625,0.65625,0.28125,4.571428571428571,0.6499269008636475,0.8571428571428572,7.0,"['this_is', 'is_where', 'where_the', 'the_toaster', 'toaster_was', 'was_invented']",0.0,0.06196145713329315,3.0,3.9040713887339593,5.577244841048512,0,0.0,,,,21.31,23.11
7,"00:00:23,190","00:00:26,443","That's a good contribution, right?",line_0007.wav,42.327152000000005,116.05263500000001,-1.0,117.05263500000001,28.578451,0.24074074074074076,0.008324235,0.0021323482999999997,0.025952017,0.023819668,0.006008353,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,2.5,0.03125,0.71875,0.25,4.666666666666667,0.6942722797393799,0.8333333333333334,6.0,"['that_is', 'is_a', 'a_good', 'good_contribution', 'contribution_right']",0.0,0.2156076282262802,2.5,1.8444512757454656,2.7666769136181983,2,3.210000000000001,"#4, #5, ","23.71, 26.36, ","24.8, 28.48, ",23.19,26.44
8,"00:00:26,526","00:00:28,529",Where do you get your glasses?,line_0008.wav,18.165782999999998,146.02649,-1.0,147.02649,35.38215,0.7420986093552465,0.00918908,0.0022171368,0.024551164,0.022334028,0.0067510586,0.2,0.2,0.0,0.2,0.0,0.4,2.5,0.0,0.9583333333333334,0.04166666666666666,4.0,0.7801244854927063,0.8333333333333334,6.0,"['where_do', 'do_you', 'you_get', 'get_your', 'your_glasses']",0.0,0.21074135601520536,2.5,2.9955067398901645,3.494757863205192,0,0.0,,,,26.53,28.53
9,"00:00:28,612","00:00:32,032",Uh... a guy named Klaus Nomi.,line_0009.wav,30.703608000000003,102.083336,-1.0,103.083336,30.717679999999998,0.459618208516887,0.009221233,0.0015320342000000001,0.02941443,0.027882395,0.007485403000000001,0.0,0.0,0.2,0.2,0.4,0.2,2.5,0.0,0.875,0.125,3.333333333333333,0.4558987319469452,0.8333333333333334,6.0,"['uh_a', 'a_guy', 'guy_named', 'named_klaus', 'klaus_nomi']",0.0,-0.1308184564113617,2.5,1.7543859649122815,2.046783625730995,2,7.699999999999996,"#6, #7, ","30.82, 33.6, ","32.05, 40.07, ",28.61,32.03
10,"00:00:36,203","00:00:38,455",What subjects will you be talking about tonight?,line_0010.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016289558,0.006508585,0.027650852000000004,0.021142267000000003,0.005821815699999999,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.5,3.5,0.025,0.925,0.05,5.0,0.8211989402770996,0.875,8.0,"['what_subjects', 'subjects_will', 'will_you', 'you_be', 'be_talking', 'talking_about', 'about_tonight']",0.0,0.0448080375790596,3.5,3.5523978685612865,5.328596802841928,0,0.0,,,,36.2,38.45
11,"00:00:39,831","00:00:44,336",I will be doing a chunk of time on next year's CMAs.,line_0011.wav,35.955067,96.710526,-1.0,97.710526,26.34028,0.32013385387618515,0.012954695,0.0046949620000000004,0.02431096,0.019615997,0.005110781,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,5.5,0.017857142857142856,0.9464285714285714,0.03571428571428571,3.25,0.8211989402770996,0.9166666666666666,12.0,"['i_will', 'will_be', 'be_doing', 'doing_a', 'a_chunk', 'chunk_of', 'of_time', 'time_on', 'on_next', 'next_years', 'years_cmas']",0.0,-0.2320159822702408,5.5,2.6637069922308574,2.6637069922308574,0,0.0,,,,39.83,44.34
