,filename,laughs,start,end,threshold,duration
2,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_2.wav,17.55,19.32,0.3,0.7
3,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_3.wav,20.15,21.13,0.3,0.7
4,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_4.wav,23.71,24.8,0.3,0.7
5,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_5.wav,26.36,28.48,0.3,0.7
6,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_6.wav,30.82,32.05,0.3,0.7
7,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_7.wav,33.6,40.07,0.3,0.7
8,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_8.wav,55.87,57.38,0.3,0.7
9,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_9.wav,57.92,59.53,0.3,0.7
10,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_10.wav,60.56,62.11,0.3,0.7
11,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_11.wav,63.12,67.4,0.3,0.7
12,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_12.wav,68.2,79.97,0.3,0.7
13,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_13.wav,83.19,83.89,0.3,0.7
14,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_14.wav,84.43,85.21,0.3,0.7
15,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_15.wav,90.12,95.42,0.3,0.7
16,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_16.wav,96.33,98.7,0.3,0.7
17,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_17.wav,99.24,103.24,0.3,0.7
18,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_18.wav,105.98,106.95,0.3,0.7
19,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_19.wav,109.23,110.02,0.3,0.7
20,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_20.wav,110.67,113.54,0.3,0.7
21,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_21.wav,118.88,132.54,0.3,0.7
22,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_22.wav,132.77,134.08,0.3,0.7
23,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_23.wav,135.31,136.4,0.3,0.7
24,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_24.wav,136.88,137.86,0.3,0.7
25,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_25.wav,140.63,158.43,0.3,0.7
26,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_26.wav,160.03,218.3,0.3,0.7
27,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_27.wav,218.68,224.4,0.3,0.7
28,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_28.wav,243.92,250.98,0.3,0.7
29,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_29.wav,251.24,252.12,0.3,0.7
30,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_30.wav,259.03,261.19,0.3,0.7
31,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_31.wav,263.47,264.46,0.3,0.7
32,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_32.wav,268.54,271.35,0.3,0.7
33,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_33.wav,271.84,272.82,0.3,0.7
34,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_34.wav,288.76,292.69,0.3,0.7
35,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_35.wav,293.64,294.82,0.3,0.7
36,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_36.wav,296.34,297.39,0.3,0.7
37,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_37.wav,302.0,303.09,0.3,0.7
38,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_38.wav,315.13,316.94,0.3,0.7
39,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_39.wav,318.55,319.62,0.3,0.7
40,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_40.wav,320.98,322.07,0.3,0.7
41,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_41.wav,335.86,336.78,0.3,0.7
42,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_42.wav,338.69,340.13,0.3,0.7
43,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_43.wav,341.29,343.79,0.3,0.7
44,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_44.wav,347.72,349.02,0.3,0.7
45,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_45.wav,350.93,351.64,0.3,0.7
46,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_46.wav,361.75,366.69,0.3,0.7
47,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_47.wav,368.31,369.53,0.3,0.7
48,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_48.wav,371.63,373.84,0.3,0.7
49,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_49.wav,378.08,380.32,0.3,0.7
50,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_50.wav,382.05,383.21,0.3,0.7
51,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_51.wav,386.3,388.74,0.3,0.7
52,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_52.wav,389.63,390.65,0.3,0.7
53,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_53.wav,412.57,415.57,0.3,0.7
54,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_54.wav,419.4,422.74,0.3,0.7
55,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_55.wav,425.38,428.06,0.3,0.7
56,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_56.wav,434.25,435.87,0.3,0.7
57,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_57.wav,436.65,438.11,0.3,0.7
58,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_58.wav,454.77,462.55,0.3,0.7
59,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_59.wav,473.72,474.66,0.3,0.7
60,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_60.wav,478.38,479.41,0.3,0.7
61,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_61.wav,484.66,487.75,0.3,0.7
62,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_62.wav,489.01,495.42,0.3,0.7
63,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_63.wav,495.63,497.34,0.3,0.7
64,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_64.wav,506.3,514.19,0.3,0.7
65,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_65.wav,539.41,542.83,0.3,0.7
66,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_66.wav,544.29,549.71,0.3,0.7
67,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_67.wav,552.13,554.77,0.3,0.7
68,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_68.wav,557.04,559.24,0.3,0.7
69,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_69.wav,577.58,581.37,0.3,0.7
70,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_70.wav,585.11,586.71,0.3,0.7
71,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_71.wav,588.5,590.11,0.3,0.7
72,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_72.wav,618.74,620.9,0.3,0.7
73,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_73.wav,623.68,627.82,0.3,0.7
74,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_74.wav,634.93,636.29,0.3,0.7
75,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_75.wav,660.29,661.01,0.3,0.7
76,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_76.wav,682.51,683.53,0.3,0.7
77,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_77.wav,688.27,689.44,0.3,0.7
78,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_78.wav,712.06,717.48,0.3,0.7
79,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_79.wav,725.7,727.07,0.3,0.7
80,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_80.wav,769.34,770.39,0.3,0.7
81,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_81.wav,784.36,803.11,0.3,0.7
82,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_82.wav,804.12,805.25,0.3,0.7
83,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_83.wav,823.54,826.2,0.3,0.7
84,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_84.wav,830.25,832.2,0.3,0.7
85,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_85.wav,836.99,839.57,0.3,0.7
86,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_86.wav,840.98,844.62,0.3,0.7
87,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_87.wav,845.1,846.23,0.3,0.7
88,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_88.wav,848.8,853.29,0.3,0.7
89,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_89.wav,886.38,887.45,0.3,0.7
90,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_90.wav,896.65,898.38,0.3,0.7
91,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_91.wav,900.06,907.18,0.3,0.7
92,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_92.wav,920.4,921.72,0.3,0.7
93,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_93.wav,923.05,924.01,0.3,0.7
94,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_94.wav,925.7,927.13,0.3,0.7
95,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_95.wav,929.04,930.9,0.3,0.7
96,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_96.wav,932.52,933.65,0.3,0.7
97,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_97.wav,937.05,943.71,0.3,0.7
98,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_98.wav,949.68,950.49,0.3,0.7
99,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_99.wav,978.87,979.75,0.3,0.7
100,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_100.wav,984.87,993.19,0.3,0.7
101,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_101.wav,1001.2,1002.06,0.3,0.7
102,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_102.wav,1004.9,1008.87,0.3,0.7
103,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_103.wav,1009.86,1011.29,0.3,0.7
104,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_104.wav,1011.97,1012.94,0.3,0.7
105,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_105.wav,1013.67,1015.73,0.3,0.7
106,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_106.wav,1017.19,1018.58,0.3,0.7
107,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_107.wav,1027.75,1029.11,0.3,0.7
108,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_108.wav,1032.32,1034.2,0.3,0.7
109,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_109.wav,1037.7,1042.02,0.3,0.7
110,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_110.wav,1043.27,1047.59,0.3,0.7
111,David.Cross.Making.America.Great.Again.2016.NF.WEBRip.DD5.1.x264.BTW-music.wav,/laughs/laugh_111.wav,1050.38,1054.15,0.3,0.7
