,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,297","00:00:08,174","[cheering, applause]",line_0000.wav,1.766418,54.579209999999996,-1.0,55.579209999999996,11.373324,0.9436997319034852,0.009385814000000001,0.0054335487,0.017128855,0.011695307,0.0023162267,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.3,8.17
1,"00:00:08,258","00:00:11,302","[Demetri] Man, that was a good improv. I'm so glad I asked for notes.",line_0001.wav,1.3472953,66.415665,-1.0,67.415665,12.096618,0.9636963696369636,0.016574703,0.006297336999999999,0.033374432,0.027077096000000002,0.006809791,0.18181818181818185,0.09090909090909093,0.18181818181818185,0.2727272727272727,0.0,0.2727272727272727,6.5,0.109375,0.71875,0.171875,3.1428571428571432,0.7551202178001404,0.9285714285714286,14.0,"['man_that', 'that_was', 'was_a', 'a_good', 'good_improv', 'improv_i', 'i_am', 'am_so', 'so_glad', 'glad_i', 'i_asked', 'asked_for', 'for_notes']",0.0,0.01874518021941185,6.5,4.599211563731932,4.927726675427069,1,4.520000000000001,"#1, ","10.54, ","15.06, ",8.26,11.3
2,"00:00:14,889","00:00:17,976",I think my favorite animal to look at is probably the squirrel.,line_0002.wav,29.973553000000003,112.5,-1.0,113.5,33.98793,0.5228013029315961,0.013715069,0.001014528,0.033156462000000005,0.032141935,0.008344219,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,5.5,0.07142857142857142,0.875,0.05357142857142857,4.25,0.7920666337013245,0.9166666666666666,12.0,"['i_think', 'think_my', 'my_favorite', 'favorite_animal', 'animal_to', 'to_look', 'look_at', 'at_is', 'is_probably', 'probably_the', 'the_squirrel']",0.0,0.08350642025470734,5.5,3.8872691933916426,6.154842889536767,1,1.2999999999999972,"#2, ","18.01, ","19.31, ",14.89,17.98
3,"00:00:18,059","00:00:18,893",[man] Yeah!,line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.001279641,0.000567406,0.0022419759,0.0016745699,0.0003865315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.1990407673860917,1.1990407673860917,0,0.0,,,,18.06,18.89
4,"00:00:19,436","00:00:22,647","You know what I mean? 'Cause any squirrel, if you watch 'em long enough,",line_0004.wav,19.639717,90.36885,-1.0,91.36885,30.366806,0.6737089201877934,0.0134148905,0.0004017221,0.039037008,0.038635287000000004,0.009190004,0.0,0.25,0.125,0.25,0.0,0.375,7.0,0.0,0.9583333333333334,0.04166666666666666,4.142857142857143,0.9999999403953552,0.9333333333333332,14.0,"['you_know', 'know_what', 'what_i', 'i_mean', 'mean_because', 'because_any', 'any_squirrel', 'squirrel_if', 'if_you', 'you_watch', 'watch_', '_them', 'them_long', 'long_enough']",0.0,0.0,7.0,4.360012457178452,5.60573030208658,0,0.0,,,,19.44,22.65
5,"00:00:22,939","00:00:26,151",there's a moment where they suddenly realize they're late for something.,line_0005.wav,9.525812,106.00961000000001,-1.0,107.00961000000001,25.645962,0.8477078477078477,0.011540544,0.00020305415,0.033736423,0.03353337,0.008093765,0.1,0.3,0.1,0.2,0.0,0.3,6.0,0.03571428571428571,0.8392857142857143,0.125,4.6923076923076925,0.7871053218841553,0.9230769230769232,13.0,"['there_is', 'is_a', 'a_moment', 'moment_where', 'where_they', 'they_suddenly', 'suddenly_realize', 'realize_they', 'they_are', 'are_late', 'late_for', 'for_something']",0.0,0.1648203432559967,6.0,4.0473225404732265,5.603985056039852,1,2.1900000000000013,"#3, ","25.63, ","27.82, ",22.94,26.15
6,"00:00:26,234","00:00:27,485",[laughter],line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013498913999999999,0.0034955628,0.029948107999999998,0.026452545,0.0070053902,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,26.23,27.48
7,"00:00:27,569","00:00:29,279","""Shit! I gotta go. Excuse me. What?""",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.012205414,0.001449784,0.037067458,0.035617676,0.008983656,0.0,0.0,0.0,0.2,0.2,0.6,3.5,0.0,0.9583333333333334,0.04166666666666666,3.0,0.7067568302154541,0.875,8.0,"['shit_i', 'i_got', 'got_to', 'to_go', 'go_excuse', 'excuse_me', 'me_what']",0.0,0.24430371820926666,3.5,4.678362573099413,5.26315789473684,2,3.139999999999997,"#4, #5, ","28.83, 31.73, ","31.15, 32.55, ",27.57,29.28
8,"00:00:29,362","00:00:30,530",[laughter],line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013446096999999999,0.0076232059999999996,0.021312622000000003,0.013689416000000001,0.003866273,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,29.36,30.53
9,"00:00:33,116","00:00:35,160",That's a whole species that's behind schedule.,line_0009.wav,21.606834,121.15385,-1.0,122.15385,40.728553999999995,0.7490729295426453,0.01442896,0.0017817566,0.037749052000000005,0.035967294,0.008316536999999999,0.25,0.0,0.25,0.25,0.0,0.25,4.0,0.05,0.825,0.125,4.333333333333333,0.6942722797393799,0.8888888888888888,9.0,"['that_is', 'is_a', 'a_whole', 'whole_species', 'species_that', 'that_is', 'is_behind', 'behind_schedule']",0.0,0.08323310315608977,4.0,4.403131115459889,5.8708414872798524,0,0.0,,,,33.12,35.16
10,"00:00:35,243","00:00:38,329",They're terrible at keeping their calendar. Probably the most flammable of the small animals would be the squirrel as well.,line_0010.wav,5.2492332,68.478264,-1.0,69.478264,17.241467999999998,0.8814935064935064,0.0109855505,0.0009114464,0.033088315,0.032176867000000005,0.0083603375,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.0,0.2222222222222222,10.0,0.17307692307692307,0.7596153846153846,0.0673076923076923,4.857142857142857,0.8348053097724915,0.9523809523809524,21.0,"['they_are', 'are_terrible', 'terrible_at', 'at_keeping', 'keeping_their', 'their_calendar', 'calendar_probably', 'probably_the', 'the_most', 'most_flammable', 'flammable_of', 'of_the', 'the_small', 'small_animals', 'animals_would', 'would_be', 'be_the', 'the_squirrel', 'squirrel_as', 'as_well']",0.0,-0.061992686241865165,10.0,6.804925469863905,10.693454309786135,3,10.720000000000006,"#6, #7, #8, ","35.63, 37.72, 41.42, ","37.38, 39.02, 49.09, ",35.24,38.33
11,"00:00:42,000","00:00:42,834",[laughter],line_0011.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.009348232,0.007539978,0.010802899,0.0032629208,0.0007203608,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,42.0,42.83
12,"00:00:43,126","00:00:44,502","The tail. I mean, it's a...",line_0012.wav,3.4760187000000005,55.964466,-1.0,56.964466,14.926014000000002,0.9174311926605504,0.012107266,0.004764811,0.028855849,0.024091038999999998,0.0065678609999999995,0.0,0.0,0.4,0.2,0.0,0.4,3.0,0.04166666666666666,0.875,0.08333333333333333,2.4285714285714284,0.6935866475105286,0.8571428571428572,7.0,"['the_tail', 'tail_i', 'i_mean', 'mean_it', 'it_is', 'is_a']",0.0,0.2263534963130951,3.0,5.087209302325563,5.087209302325563,0,0.0,,,,43.13,44.5
13,"00:00:45,170","00:00:47,297","[Demetri] <i>All right, that worked pretty well.</i>",line_0013.wav,24.7016,90.36885,-1.0,91.36885,26.074862,0.4958183990442055,0.013075546,0.0024051918,0.03577294,0.033367746000000004,0.010178722,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,2.5,0.05,0.7,0.25,4.666666666666667,0.7241830825805664,0.8333333333333334,6.0,"['all_right', 'right_that', 'that_worked', 'worked_pretty', 'pretty_well']",0.0,0.3714195191860199,2.5,2.820874471086043,3.29102021626705,0,0.0,,,,45.17,47.3
14,"00:00:48,339","00:00:49,632",<i>It's a good room.</i>,line_0014.wav,18.669439999999998,63.0,-1.0,64.0,24.965729,0.6140350877192983,0.012556834,0.0019334364,0.03738233,0.035448894,0.011256533,0.25,0.0,0.25,0.25,0.0,0.25,2.0,0.04166666666666666,0.625,0.3333333333333333,2.6,0.6935866475105286,0.8,5.0,"['it_is', 'is_a', 'a_good', 'good_room']",0.0,0.3386666476726532,2.0,3.8669760247486487,3.8669760247486487,1,9.61,"#9, ","49.19, ","58.8, ",48.34,49.63
15,"00:00:50,508","00:00:51,384",<i>Got my water.</i>,line_0015.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.017225996,0.0005306247599999999,0.031361363999999996,0.030830739,0.010259924,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.9375,0.0625,3.333333333333333,0.657729983329773,0.6666666666666667,3.0,"['got_my', 'my_water']",0.0,0.26426148414611816,1.0,3.4246575342465846,4.566210045662112,0,0.0,,,,50.51,51.38
16,"00:00:52,594","00:00:53,636",<i>Mic stand feels good.</i>,line_0016.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016840841999999998,0.00097193895,0.03492231,0.03395037,0.01145131,0.25,0.0,0.0,0.25,0.25,0.25,1.5,0.08333333333333333,0.625,0.2916666666666667,4.25,0.5138249397277832,0.75,4.0,"['mic_stand', 'stand_feels', 'feels_good']",0.0,0.1618470400571823,1.5,3.838771593090205,3.838771593090205,0,0.0,,,,52.59,53.64
17,"00:00:54,262","00:00:55,096",<i>Solid.</i>,line_0017.wav,33.62168,97.56636999999999,-1.0,98.56636999999999,34.056133,0.4346504559270517,0.009368343000000001,0.0022413123,0.030065487999999998,0.027824176000000003,0.008536028000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,5.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.1990407673860968,2.398081534772193,0,0.0,,,,54.26,55.1
