,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,632","00:00:09,262",[audience chanting] Fluffy! Fluffy! Fluffy! Fluffy!,line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.007161407,0.0026406394,0.012032714,0.009392074,0.0027767452000000002,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,6.0,0.0,0.75,4.0,"['fluffy_fluffy', 'fluffy_fluffy', 'fluffy_fluffy']",0.0,1.0,1.5,1.5209125475285166,3.041825095057033,0,0.0,,,,6.63,9.26
1,"00:00:14,556","00:00:17,386",[chanting continues],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.028993737000000002,0.023609994,0.03379242,0.010182426999999999,0.002166824,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.56,17.39
2,"00:00:20,437","00:00:22,807",Give it up and make some noise,line_0002.wav,35.096203,107.03883,-1.0,108.03883,34.54821,0.4379639448568399,0.041546404,0.026871462999999998,0.05692993,0.030058467999999998,0.0069437623,0.0,0.0,0.25,0.25,0.0,0.5,3.0,0.04166666666666666,0.9583333333333334,0.0,3.4285714285714284,0.8028054237365723,0.8571428571428572,7.0,"['give_it', 'it_up', 'up_and', 'and_make', 'make_some', 'some_noise']",0.0,0.24393537640571594,3.0,2.9535864978902984,2.9535864978902984,0,0.0,,,,20.44,22.81
3,"00:00:22,898","00:00:29,198",for Mr. Gabriel Iglesias!,line_0003.wav,44.585415000000005,167.04546000000002,-1.0,168.04546000000002,28.936901000000002,0.20087684336389,0.04297016,0.018476205,0.055179603,0.0367034,0.0075152274,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,5.0,0.5117856860160828,0.75,4.0,"['for_mr', 'mr_gabriel', 'gabriel_iglesias']",0.0,-0.09916722029447557,1.5,0.6349206349206349,1.5873015873015872,0,0.0,,,,22.9,29.2
4,"00:00:29,988","00:00:33,118",-[song playing] -[audience cheering],line_0004.wav,6.2206993,69.77848,-1.0,70.77848,18.348505,0.862760834670947,0.029021578,0.019986022,0.04400069,0.024014667000000003,0.0058935964,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,29.99,33.12
5,"00:00:45,420","00:00:46,550",[song continues],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.027856138,0.023864336,0.037277073,0.013412736000000001,0.0030938026000000003,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,45.42,46.55
6,"00:01:02,020","00:01:04,570",[song fades],line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.023110095,0.018350243999999998,0.031415924,0.013065681,0.0025720925,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,62.02,64.57
7,"00:01:05,315","00:01:06,975",Chicago!,line_0007.wav,27.641942999999998,58.026318,-1.0,59.026318,25.119425,0.427710843373494,0.03859176,0.012871973,0.054478984,0.04160701,0.008670961500000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.6024096385542181,1.8072289156626544,0,0.0,,,,65.31,66.97
8,"00:01:12,030","00:01:14,119",About time we do a special here.,line_0008.wav,62.568546,162.13235,-1.0,163.13235,39.68928,0.16706730769230768,0.030678327999999998,0.00649833,0.049762315999999994,0.043263987000000004,0.012154439,0.2,0.2,0.2,0.2,0.0,0.2,3.0,0.0,1.0,0.0,3.571428571428572,0.6893718838691711,0.8571428571428572,7.0,"['about_time', 'time_we', 'we_do', 'do_a', 'a_special', 'special_here']",0.0,0.2988514006137848,3.0,3.35088559119196,4.308281474389664,0,0.0,,,,72.03,74.12
9,"00:01:14,199","00:01:16,029",[audience cheering],line_0009.wav,1.240584,56.82989499999999,-1.0,57.82989499999999,10.688297,0.957592339261286,0.028652225,0.010101803000000001,0.037144743,0.02704294,0.0075932397,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,74.2,76.03
10,"00:01:19,204","00:01:22,920","Before I say anything else, you guys, a big hand for my friend,",line_0010.wav,36.898052,145.0658,-1.0,146.0658,39.26783,0.45448415374241397,0.025637345,0.0023757678,0.05083815,0.048462383,0.014691278,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,6.0,0.025,0.8,0.175,3.692307692307693,0.8402436971664429,0.9230769230769232,13.0,"['before_i', 'i_say', 'say_anything', 'anything_else', 'else_you', 'you_guys', 'guys_a', 'a_big', 'big_hand', 'hand_for', 'for_my', 'my_friend']",0.0,0.2757114768028259,6.0,3.4983853606027915,4.305705059203436,1,0.7099999999999937,"#1, ","81.14, ","81.85, ",79.2,82.92
11,"00:01:23,000","00:01:25,500","the man, the myth, the legend.",line_0011.wav,23.524042,87.5,-1.0,88.5,27.454226000000002,0.5405405405405406,0.027461838,0.005500881,0.055800613,0.050299734000000006,0.015380897,0.0,0.0,0.5,0.5,0.0,0.0,2.5,0.0,1.0,0.0,3.6666666666666665,0.4992910921573639,0.8333333333333334,6.0,"['the_man', 'man_the', 'the_myth', 'myth_the', 'the_legend']",0.0,0.23795221745967865,2.5,2.4,2.8,1,11.86,"#2, ","85.11, ","96.97, ",83.0,85.5
12,"00:01:25,585","00:01:29,005",Give it up for Martin!,line_0012.wav,5.073989,69.33962,-1.0,70.33962,18.11119,0.8970051132213295,0.034201678,0.009758768000000001,0.054838903,0.045080137,0.010488994,0.0,0.0,0.0,0.0,0.5,0.5,2.0,0.125,0.875,0.0,3.4,0.6988056898117065,0.8,5.0,"['give_it', 'it_up', 'up_for', 'for_martin']",0.0,0.10081178694963457,2.0,1.4619883040935666,1.7543859649122795,0,0.0,,,,85.58,89.0
13,"00:01:35,053","00:01:38,433",The two guys you see standing next to him are two of my oldest friends.,line_0013.wav,36.547737,167.04546000000002,-1.0,168.04546000000002,32.419796000000005,0.3365455893254262,0.02685499,0.0047425264000000005,0.050330587,0.04558806,0.012199248000000001,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,7.0,0.017857142857142856,0.875,0.10714285714285714,3.733333333333333,0.7139386534690857,0.9333333333333332,15.0,"['the_two', 'two_guys', 'guys_you', 'you_see', 'see_standing', 'standing_next', 'next_to', 'to_him', 'him_are', 'are_two', 'two_of', 'of_my', 'my_oldest', 'oldest_friends']",0.0,0.1379510462284088,7.0,4.437869822485196,5.029585798816552,0,0.0,,,,95.05,98.43
14,"00:01:38,515","00:01:40,805","Not only are they friends, they work for me.",line_0014.wav,24.339615,72.05882,-1.0,73.05882,26.805925,0.5169398907103825,0.020157726,0.0030047146,0.047873814,0.044869099999999995,0.012259968000000001,0.0,0.4,0.0,0.2,0.0,0.4,4.0,0.15,0.775,0.075,3.7777777777777777,0.7892993092536926,0.8888888888888888,9.0,"['not_only', 'only_are', 'are_they', 'they_friends', 'friends_they', 'they_work', 'work_for', 'for_me']",0.0,0.3173162043094635,4.0,3.9301310043668014,4.366812227074224,0,0.0,,,,98.52,100.81
15,"00:01:40,892","00:01:43,732",That’s Ivan and Tony. Give Ivan and Tony a lot of love.,line_0015.wav,46.092678,183.75,-1.0,184.75,26.05445,0.1625222024866785,0.029665729,0.0035555074,0.05170317,0.048147663,0.014334413,0.0,0.0,0.2,0.2,0.4,0.2,6.0,0.0625,0.71875,0.21875,3.2307692307692313,0.6942722797393799,0.9230769230769232,13.0,"['that_is', 'is_ivan', 'ivan_and', 'and_tony', 'tony_give', 'give_ivan', 'ivan_and', 'and_tony', 'tony_a', 'a_lot', 'lot_of', 'of_love']",0.0,-0.11213407665491104,6.0,4.577464788732389,5.985915492957739,1,3.0799999999999983,"#3, ","103.56, ","106.64, ",100.89,103.73
16,"00:01:43,812","00:01:45,692",[applause],line_0016.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013044925,0.009595062,0.017626557,0.008031495999999999,0.0018024554,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,103.81,105.69
17,"00:01:45,772","00:01:48,652",In addition to that-- This is so special right here.,line_0017.wav,14.173664000000002,103.037384,-1.0,104.037384,26.672962,0.7392825896762905,0.0223162,0.0045530493,0.055911228,0.05135818,0.012696772,0.125,0.25,0.25,0.25,0.0,0.125,5.0,0.02083333333333333,0.9375,0.04166666666666666,4.0,0.7551202178001404,0.9090909090909092,10.0,"['in_addition', 'addition_to', 'to_that', 'that_', '_', '_this', 'this_is', 'is_so', 'so_special', 'special_right', 'right_here']",0.0,0.0,5.0,3.472222222222228,4.513888888888896,1,2.0200000000000102,"#4, ","107.13, ","109.15, ",105.77,108.65
18,"00:01:48,734","00:01:51,448","Ladies and gentlemen, handing me the microphone tonight",line_0018.wav,25.954083999999998,112.5,-1.0,113.5,31.761936,0.5521698984302862,0.018515255,0.001322751,0.053535122000000004,0.052212372,0.011342633500000001,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,3.5,0.0,0.975,0.025,5.875,0.6840725541114807,0.875,8.0,"['ladies_and', 'and_gentlemen', 'gentlemen_handing', 'handing_me', 'me_the', 'the_microphone', 'microphone_tonight']",0.0,0.09444656223058699,3.5,2.947678703021372,5.526897568165073,0,0.0,,,,108.73,111.45
19,"00:01:51,528","00:01:55,408",is the NFL’s Coach of the Year...,line_0019.wav,34.97677,136.95653000000001,-1.0,137.95653000000001,41.13718,0.5119741100323625,0.018823081999999998,0.0016195449,0.05709963,0.055480085,0.015915971,0.0,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666,3.0,0.125,0.625,0.25,3.2857142857142856,0.7139386534690857,0.8571428571428572,7.0,"['is_the', 'the_nfls', 'nfls_coach', 'coach_of', 'of_the', 'the_year']",0.0,0.0,3.0,1.804123711340208,1.5463917525773214,1,3.769999999999996,"#5, ","114.93, ","118.7, ",111.53,115.41
20,"00:01:57,034","00:02:02,374",and a former member of the baddest football team that ever...,line_0020.wav,20.883774,114.84375,-1.0,115.84375,30.279858,0.6247654784240151,0.024584174,0.00604501,0.052258223,0.046213212999999996,0.013212303,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.0,5.0,0.025,0.975,0.0,4.363636363636363,0.7139386534690857,0.9090909090909092,11.0,"['and_a', 'a_former', 'former_member', 'member_of', 'of_the', 'the_baddest', 'baddest_football', 'football_team', 'team_that', 'that_ever']",0.0,-0.04392876848578453,5.0,2.059925093632963,2.621722846441953,1,4.38000000000001,"#6, ","121.52, ","125.9, ",117.03,122.37
21,"00:02:02,456","00:02:04,166",[audience cheering],line_0021.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.024491545,0.015664998,0.031644623999999996,0.015979625,0.003977636,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,122.46,124.17
22,"00:02:04,249","00:02:05,669","stepped on a field,",line_0022.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.029274408,0.016745072,0.0473929,0.03064783,0.008745701,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.5,0.0,1.0,0.0,3.75,0.3767637014389038,0.75,4.0,"['stepped_on', 'on_a', 'a_field']",0.0,0.2680650651454925,1.5,2.8169014084507014,2.8169014084507014,0,0.0,,,,124.25,125.67
23,"00:02:05,751","00:02:08,591",the 1985 Chicago Bears.,line_0023.wav,35.25152,131.25,-1.0,132.25,41.72959,0.4800354924578527,0.03231567,0.011665215,0.052488208,0.040822994,0.009453424,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.5,0.0,0.0,0.0,4.75,0.3432638645172119,0.75,4.0,"['the_1985', '1985_chicago', 'chicago_bears']",0.0,0.10158204287290573,1.5,1.4084507042253505,1.7605633802816882,1,19.28,"#7, ","126.82, ","146.1, ",125.75,128.59
24,"00:02:09,713","00:02:12,883",Coach Ron Rivera!,line_0024.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.033967257,0.022119517,0.05086309,0.028743573999999997,0.006119549300000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.666666666666667,0.4308595359325409,0.6666666666666667,3.0,"['coach_ron', 'ron_rivera']",0.0,0.07084078341722487,1.0,0.9463722397476292,1.5772870662460488,0,0.0,,,,129.71,132.88
