,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,080","00:00:10,080","<font color=""#ffff00"">[""Bobby Reid"" plays]</font>",line_0000.wav,11.5875845,190.08621000000002,-1.0,191.08621000000002,33.552665999999995,0.8519900497512438,0.019269267,0.0070234323,0.049983087999999995,0.042959657000000005,0.010316622,,,,,,,,,,,,,,,,,,,,,1,11.18,"#0, ","10.55, ","21.73, ",8.08,10.08
1,"00:00:20,120","00:00:22,720","<font color=""#ffff00"">♪ There's blood in the water ♪</font>",line_0001.wav,7.234998700000001,61.9382,-1.0,62.9382,19.228996,0.8431752178121975,0.021297589,0.007250765300000001,0.051509257,0.04425849,0.009932626,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,20.12,22.72
2,"00:00:22,800","00:00:25,880","<font color=""#ffff00"">♪ Won't you cut me down? ♪</font>",line_0002.wav,12.391059,75.5137,-1.0,76.5137,24.781129999999997,0.7711038961038961,0.022454368,0.010576533,0.053128947,0.04255241,0.009064571,,,,,,,,,,,,,,,,,,,,,1,27.02,"#1, ","23.16, ","50.18, ",22.8,25.88
3,"00:00:26,680","00:00:29,120","<font color=""#ffff00"">♪ 'Cause people keep on calling ♪</font>",line_0003.wav,5.8797727,62.820515,-1.0,63.820515,18.051037,0.8721649484536083,0.02018558,0.007863782,0.05473401,0.046870228,0.009964946,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,26.68,29.12
4,"00:00:29,200","00:00:31,880","<font color=""#ffff00"">♪ Won't you cut me down? ♪</font>",line_0004.wav,8.817864,66.818184,-1.0,67.818184,20.933666,0.8167293233082706,0.021892877,0.005522081999999999,0.051442586,0.045920502,0.010734741,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,29.2,31.88
5,"00:00:32,320","00:00:34,840","<font color=""#ffff00"">♪ Bobby Reid, won't you please ♪</font>",line_0005.wav,21.155457000000002,69.77848,-1.0,70.77848,24.046035999999997,0.5302279484638256,0.022712148999999997,0.009142709,0.04236894,0.033226233,0.007923201999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,32.32,34.84
6,"00:00:35,360","00:00:37,160","<font color=""#ffff00"">♪ Cut me down? ♪</font>",line_0006.wav,13.950673000000002,66.415665,-1.0,67.415665,23.070187,0.7004160887656034,0.023547241,0.011247219,0.04922483,0.037977614,0.009720406,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.875,0.125,3.0,0.5951907634735107,0.6666666666666667,3.0,"['cut_me', 'me_down']",0.0,0.3798345923423767,1.0,1.6666666666666694,1.6666666666666694,1,11.869999999999997,"#2, ","51.99, ","63.86, ",35.36,37.16
7,"00:01:01,640","00:01:02,880","<font color=""#ffff00"">Thank you very much.</font>",line_0007.wav,10.763732000000001,76.5625,-1.0,77.5625,23.002352,0.7855711422845691,0.012762358,0.004128233,0.028409839,0.024281606,0.006609091,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.08333333333333333,0.7916666666666666,0.125,4.0,0.7721424102783203,0.75,4.0,"['thank_you', 'you_very', 'very_much']",0.0,0.4849710166454315,1.5,3.225806451612898,4.032258064516123,0,0.0,,,,61.64,62.88
8,"00:01:04,400","00:01:07,240","<font color=""#ffff00"">Thank you. Might've peaked a bit early, but...</font>",line_0008.wav,22.910524,82.27611999999999,-1.0,83.27611999999999,29.23773,0.5778761061946903,0.008365578,0.0010902194999999999,0.025896477999999997,0.02480626,0.0064438544,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,4.0,0.025,0.925,0.05,3.888888888888889,0.7584948539733887,0.8888888888888888,9.0,"['thank_you', 'you_might', 'might_have', 'have_peaked', 'peaked_a', 'a_bit', 'bit_early', 'early_but']",0.0,-0.02602989785373211,4.0,3.1690140845070545,3.521126760563394,2,2.509999999999991,"#3, #4, ","67.01, 69.04, ","68.47, 70.09, ",64.4,67.24
9,"00:01:09,960","00:01:11,640","<font color=""#ffff00"">Welcome to my show.</font>",line_0009.wav,59.10311,239.67392,-1.0,240.67392,49.510612,0.2258543833580981,0.011237345,0.00054792507,0.03156756,0.031019634,0.0090757925,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.5,0.0,1.0,0.0,3.75,0.4667609333992005,0.75,4.0,"['welcome_to', 'to_my', 'my_show']",0.0,0.31767967343330383,1.5,2.380952380952371,2.9761904761904643,0,0.0,,,,69.96,71.64
