,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,720","00:00:16,474",[theme music: orchestral hip-hop],line_0000.wav,4.640206299999999,76.034485,-1.0,77.034485,17.740545,0.9057894736842104,0.011692753,0.0045536677,0.018853198999999998,0.014299531,0.0025902857999999997,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,11.72,16.47
1,"00:00:27,318","00:00:30,238",[crowd roars],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.018726014,0.012809382,0.022564532,0.00975515,0.0017873034,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,27.32,30.24
2,"00:00:30,321","00:00:31,740",What's up?,line_0002.wav,4.7052865,95.86957,-1.0,96.86957,18.706675,0.9129662522202486,0.01898678,0.014751135,0.02527773,0.010526595,0.0028167274,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.125,0.625,0.25,2.6666666666666665,0.5817388296127319,0.6666666666666667,3.0,"['what_is', 'is_up']",0.0,0.4654342830181122,1.0,2.114164904862584,2.114164904862584,0,0.0,,,,30.32,31.74
3,"00:00:33,491","00:00:35,410","Davis, what's up?",line_0003.wav,11.703275,84.80769000000001,-1.0,85.80769000000001,24.676796,0.7841059602649006,0.019393919,0.014819174,0.023917012,0.009097838,0.0022916875,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5,0.125,0.625,0.25,3.25,0.5817388296127319,0.75,4.0,"['davis_what', 'what_is', 'is_up']",0.0,0.06949739903211594,1.5,2.084418968212614,2.6055237102657682,0,0.0,,,,33.49,35.41
4,"00:00:36,411","00:00:37,495",I'm home.,line_0004.wav,10.14762,52.251186,-1.0,53.251186,19.770441,0.7570754716981132,0.019775989,0.015471573,0.02414828,0.008676706999999999,0.0021368732999999997,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0625,0.8125,0.125,2.333333333333333,0.502177357673645,0.6666666666666667,3.0,"['i_am', 'am_home']",0.0,0.21156759560108185,1.0,2.7675276752767632,2.7675276752767632,0,0.0,,,,36.41,37.49
5,"00:00:38,079","00:00:40,457",I had to bring it back here.,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.018301602,0.016331736,0.021001164,0.004669428,0.0010756011999999999,0.0,0.5,0.0,0.0,0.0,0.5,3.0,0.0,0.9375,0.0625,3.0,0.6928865313529968,0.8571428571428572,7.0,"['i_had', 'had_to', 'to_bring', 'bring_it', 'it_back', 'back_here']",0.0,0.3331266939640045,3.0,2.9436501261564336,2.9436501261564336,0,0.0,,,,38.08,40.46
6,"00:00:40,999","00:00:44,878","Netflix said, ""Where do you want to do the special? LA, Chicago, New York?""",line_0006.wav,62.47653199999999,153.125,-1.0,154.125,44.793724,0.2286269430051813,0.014023103,0.0015886773999999998,0.02176973,0.020181051999999998,0.0050851856,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.4166666666666667,0.3333333333333333,6.5,0.0,0.95,0.05,3.928571428571429,0.8331718444824219,0.9285714285714286,14.0,"['netflix_said', 'said_where', 'where_do', 'do_you', 'you_want', 'want_to', 'to_do', 'do_the', 'the_special', 'special_la', 'la_chicago', 'chicago_new', 'new_york']",0.0,-0.0002081133134197444,6.5,3.6091776230987382,4.124774426398559,0,0.0,,,,41.0,44.88
7,"00:00:44,961","00:00:47,380","I was like, ""Nah, son. Davis California.""",line_0007.wav,66.22122,183.75,-1.0,184.75,44.284397,0.21943573667711605,0.013260135,0.0011118177,0.020608298,0.01949648,0.0061006965,0.0,0.0,0.0,0.2,0.6,0.2,3.0,0.0625,0.8125,0.125,4.142857142857143,0.5572304725646973,0.8571428571428572,7.0,"['i_was', 'was_like', 'like_nah', 'nah_son', 'son_davis', 'davis_california']",0.0,0.08514926582574844,3.0,2.8937577511368286,4.547333608929302,1,6.480000000000004,"#1, ","46.9, ","53.38, ",44.96,47.38
8,"00:00:47,464","00:00:51,092","[cheering, whooping]",line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013785971000000001,0.0073271208,0.020199353,0.012872231999999999,0.0029517412,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,47.46,51.09
9,"00:00:51,176","00:00:52,719","This has, um...",line_0009.wav,11.810723,59.91848,-1.0,60.91848,21.758553,0.7399030694668821,0.010514026000000001,0.0029747994,0.01901853,0.016043731999999998,0.004371464,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.75,0.25,3.0,0.5201423764228821,0.6666666666666667,3.0,"['this_has', 'has_um']",0.0,0.07583019882440567,1.0,1.944264419961116,1.944264419961116,0,0.0,,,,51.18,52.72
