,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,172","00:00:08,174",[sea gulls cawing],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0037514886,0.0007847624000000001,0.008237392,0.007452629499999999,0.0019541993,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.17,8.17
1,"00:00:10,468","00:00:14,514",[fog horn blows],line_0001.wav,1.6639694,77.0979,-1.0,78.0979,11.824773,0.9494139420111044,0.0083943,0.00251389,0.016855203,0.014341312,0.0028517724,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,10.47,14.51
2,"00:00:16,016","00:00:18,101","Guys, I'm about to take a giant ship.",line_0002.wav,24.397112,86.81102,-1.0,87.81102,29.118643,0.553012048192771,0.008180951,0.001293169,0.022923486,0.021630317000000003,0.0057107336,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,4.0,0.02083333333333333,0.875,0.10416666666666667,3.111111111111111,0.6813022494316101,0.8888888888888888,9.0,"['guys_i', 'i_am', 'am_about', 'about_to', 'to_take', 'take_a', 'a_giant', 'giant_ship']",0.0,0.1096290647983551,4.0,4.316546762589926,5.275779376498798,5,18.33,"#1, #2, #3, #4, #5, ","20.31, 25.13, 32.6, 40.24, 42.21, ","24.24, 28.51, 36.88, 41.32, 47.87, ",16.02,18.1
3,"00:00:42,709","00:00:44,335",Thank you so much!,line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019199273,0.012894238,0.024632203999999998,0.011737966,0.0020305107,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.0,0.9583333333333334,0.04166666666666666,3.5,0.8314532637596129,0.75,4.0,"['thank_you', 'you_so', 'so_much']",0.0,0.4849710166454315,1.5,2.460024600246006,2.460024600246006,0,0.0,,,,42.71,44.34
4,"00:00:45,420","00:00:46,254",Thank you.,line_0004.wav,5.801024,69.77848,-1.0,70.77848,18.26355,0.875,0.018674806000000002,0.015613129,0.023345986000000003,0.007732856999999999,0.0018179904000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.398081534772193,2.398081534772193,1,1.3200000000000003,"#6, ","48.78, ","50.1, ",45.42,46.25
5,"00:00:49,758","00:00:51,176",Thank you so much...,line_0005.wav,44.571835,256.39536,-1.0,257.39536,63.06199300000001,0.5523978685612788,0.008918313,0.0014736145000000002,0.01853222,0.017058605,0.0049791720000000005,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.0,0.9583333333333334,0.04166666666666666,3.5,0.8314532637596129,0.75,4.0,"['thank_you', 'you_so', 'so_much']",0.0,0.4849710166454315,1.5,2.8208744710860385,2.8208744710860385,0,0.0,,,,49.76,51.18
6,"00:00:52,177","00:00:53,762",for being here. So...,line_0006.wav,53.67128,129.70588999999998,-1.0,130.70588999999998,39.214138,0.2861685214626391,0.012188764,0.00096348044,0.021730207,0.020766726,0.0058488757,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.04166666666666666,0.875,0.08333333333333333,3.5,0.7107582092285156,0.75,4.0,"['for_being', 'being_here', 'here_so']",0.0,0.4673103094100952,1.5,2.5236593059936894,3.154574132492112,0,0.0,,,,52.18,53.76
7,"00:00:54,512","00:00:57,640",first up on the agenda is...,line_0007.wav,51.313095000000004,119.83696,-1.0,120.83696,36.541058,0.2504,0.010119116,0.00034146005,0.02502176,0.0246803,0.007582994599999999,0.0,0.4,0.2,0.2,0.0,0.2,2.5,0.03125,0.90625,0.0625,3.333333333333333,0.6602700352668762,0.8333333333333334,6.0,"['first_up', 'up_on', 'on_the', 'the_agenda', 'agenda_is']",0.0,0.2233528047800064,2.5,1.918158567774936,2.557544757033248,0,0.0,,,,54.51,57.64
8,"00:00:57,724","00:00:58,767",I got engaged.,line_0008.wav,27.446327,94.23076999999999,-1.0,95.23076999999999,27.621477000000002,0.463768115942029,0.005714550600000001,6.683316999999999e-05,0.019036574,0.01896974,0.006369735600000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9375,0.0625,3.6666666666666665,0.6412662267684937,0.6666666666666667,3.0,"['i_got', 'got_engaged']",0.0,0.2089264839887619,1.0,2.8763183125599063,3.835091083413208,1,5.989999999999995,"#7, ","58.59, ","64.58, ",57.72,58.77
9,"00:01:00,560","00:01:02,062",Thank you.,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.015140433,0.010844748500000001,0.02066878,0.009824032,0.0026208698,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.3315579227696446,1.3315579227696446,0,0.0,,,,60.56,62.06
