,filename,laughs,start,end,threshold,duration
1,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_1.wav,20.31,24.24,0.3,0.7
2,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_2.wav,25.13,28.51,0.3,0.7
3,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_3.wav,32.6,36.88,0.3,0.7
4,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_4.wav,40.24,41.32,0.3,0.7
5,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_5.wav,42.21,47.87,0.3,0.7
6,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_6.wav,48.78,50.1,0.3,0.7
7,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_7.wav,58.59,64.58,0.3,0.7
8,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_8.wav,70.62,71.47,0.3,0.7
9,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_9.wav,72.09,73.73,0.3,0.7
10,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_10.wav,77.61,79.4,0.3,0.7
11,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_11.wav,80.62,83.97,0.3,0.7
12,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_12.wav,84.37,85.21,0.3,0.7
13,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_13.wav,88.51,89.42,0.3,0.7
14,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_14.wav,90.13,93.11,0.3,0.7
15,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_15.wav,94.67,99.05,0.3,0.7
16,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_16.wav,100.47,101.19,0.3,0.7
17,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_17.wav,103.35,104.3,0.3,0.7
18,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_18.wav,109.2,113.92,0.3,0.7
19,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_19.wav,114.62,115.66,0.3,0.7
20,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_20.wav,124.45,129.1,0.3,0.7
21,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_21.wav,132.95,134.82,0.3,0.7
22,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_22.wav,138.45,151.01,0.3,0.7
23,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_23.wav,154.24,168.29,0.3,0.7
24,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_24.wav,169.29,179.61,0.3,0.7
25,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_25.wav,180.76,182.88,0.3,0.7
26,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_26.wav,183.23,192.97,0.3,0.7
27,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_27.wav,194.7,196.82,0.3,0.7
28,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_28.wav,199.18,205.77,0.3,0.7
29,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_29.wav,206.0,208.16,0.3,0.7
30,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_30.wav,208.89,210.27,0.3,0.7
31,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_31.wav,210.52,216.63,0.3,0.7
32,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_32.wav,220.94,230.33,0.3,0.7
33,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_33.wav,236.84,238.95,0.3,0.7
34,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_34.wav,246.45,251.4,0.3,0.7
35,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_35.wav,253.39,256.13,0.3,0.7
36,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_36.wav,261.71,262.93,0.3,0.7
37,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_37.wav,265.68,267.62,0.3,0.7
38,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_38.wav,268.17,269.37,0.3,0.7
39,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_39.wav,272.09,272.8,0.3,0.7
40,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_40.wav,276.44,278.16,0.3,0.7
41,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_41.wav,279.03,281.92,0.3,0.7
42,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_42.wav,283.66,285.04,0.3,0.7
43,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_43.wav,286.44,288.47,0.3,0.7
44,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_44.wav,291.44,300.39,0.3,0.7
45,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_45.wav,301.77,303.15,0.3,0.7
46,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_46.wav,306.58,308.76,0.3,0.7
47,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_47.wav,309.67,311.44,0.3,0.7
48,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_48.wav,323.7,324.9,0.3,0.7
49,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_49.wav,330.89,341.18,0.3,0.7
50,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_50.wav,353.94,358.96,0.3,0.7
51,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_51.wav,361.14,368.18,0.3,0.7
52,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_52.wav,369.08,374.81,0.3,0.7
53,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_53.wav,377.47,378.51,0.3,0.7
54,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_54.wav,380.13,380.95,0.3,0.7
55,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_55.wav,386.68,389.21,0.3,0.7
56,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_56.wav,391.29,393.77,0.3,0.7
57,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_57.wav,396.59,402.89,0.3,0.7
58,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_58.wav,412.06,413.34,0.3,0.7
59,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_59.wav,418.09,426.34,0.3,0.7
60,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_60.wav,427.15,429.0,0.3,0.7
61,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_61.wav,433.0,434.71,0.3,0.7
62,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_62.wav,443.16,445.2,0.3,0.7
63,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_63.wav,448.53,451.17,0.3,0.7
64,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_64.wav,458.28,459.99,0.3,0.7
65,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_65.wav,461.67,462.5,0.3,0.7
66,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_66.wav,464.45,466.43,0.3,0.7
67,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_67.wav,485.73,487.25,0.3,0.7
68,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_68.wav,488.33,491.02,0.3,0.7
69,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_69.wav,493.82,494.89,0.3,0.7
70,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_70.wav,495.85,498.47,0.3,0.7
71,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_71.wav,517.76,519.66,0.3,0.7
72,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_72.wav,526.07,527.13,0.3,0.7
73,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_73.wav,530.45,532.83,0.3,0.7
74,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_74.wav,534.12,539.55,0.3,0.7
75,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_75.wav,544.13,545.17,0.3,0.7
76,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_76.wav,554.39,555.53,0.3,0.7
77,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_77.wav,558.38,560.21,0.3,0.7
78,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_78.wav,565.98,568.33,0.3,0.7
79,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_79.wav,572.16,573.3,0.3,0.7
80,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_80.wav,574.23,576.69,0.3,0.7
81,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_81.wav,578.87,586.46,0.3,0.7
82,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_82.wav,600.98,603.54,0.3,0.7
83,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_83.wav,609.71,613.03,0.3,0.7
84,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_84.wav,622.58,623.34,0.3,0.7
85,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_85.wav,625.72,633.72,0.3,0.7
86,Iliza.Shlesinger.Elder.Millennial.2018.1080p-music.wav,/laughs/laugh_86.wav,635.1,636.14,0.3,0.7
