,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,799","00:00:08,434",[audience cheering and applauding],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.097009026,0.0791668,0.12019124,0.04102444,0.010358068,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.8,8.43
1,"00:00:19,311","00:00:21,513","Hello. I should use a microphone, really.",line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.085515566,0.04068448,0.13917017,0.09848569,0.022362264,0.0,0.2,0.2,0.2,0.0,0.4,3.0,0.0,0.7916666666666666,0.20833333333333331,4.571428571428571,0.6672676801681519,0.8571428571428572,7.0,"['hello_i', 'i_should', 'should_use', 'use_a', 'a_microphone', 'microphone_really']",0.0,0.14759543538093567,3.0,3.178928247048136,4.995458673932784,0,0.0,,,,19.31,21.51
2,"00:00:21,647","00:00:22,647",Hi.,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.08162216,0.06166432,0.10122881,0.03956449,0.011828594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.0,1.0,0,0.0,,,,21.65,22.65
3,"00:00:23,248","00:00:24,248","Oh, my God.",line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.08798385,0.055855174,0.108349405,0.05249423,0.016092911,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,2.333333333333333,0.6244778037071228,0.6666666666666667,3.0,"['oh_my', 'my_god']",0.0,0.3776611387729645,1.0,3.0,3.0,0,0.0,,,,23.25,24.25
4,"00:00:24,683","00:00:25,751",Thank you.,line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.08794536,0.07246998,0.10630410000000001,0.033834122,0.009672377,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.87265917602996,1.87265917602996,0,0.0,,,,24.68,25.75
5,"00:00:26,318","00:00:27,319",[mimics crying],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.06931701,0.045697957000000004,0.09784736,0.052149400000000005,0.011944431,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,26.32,27.32
6,"00:00:27,853","00:00:29,855",[audience cheering],line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.049554758,0.03165416,0.085571565,0.053917404,0.011343853999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,27.85,29.86
7,"00:00:29,922","00:00:30,989",Thank you.,line_0007.wav,27.222946000000004,81.06618,-1.0,82.06618,29.633634999999998,0.5071428571428571,0.05921396,0.02908599,0.100773856,0.07168786,0.022891832999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.874414245548266,1.874414245548266,0,0.0,,,,29.92,30.99
8,"00:00:32,691","00:00:34,893",Thank you. That was the perfect amount of applause.,line_0008.wav,38.955795,157.5,-1.0,158.5,36.735859999999995,0.39977220956719817,0.03142399,0.0009248733999999999,0.08019042,0.07926555,0.022264574,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,4.0,0.05,0.7,0.25,4.5555555555555545,0.7139386534690857,0.8888888888888888,9.0,"['thank_you', 'you_that', 'that_was', 'was_the', 'the_perfect', 'perfect_amount', 'amount_of', 'of_applause']",0.0,0.1574905663728714,4.0,4.087193460490466,5.449591280653955,0,0.0,,,,32.69,34.89
9,"00:00:34,960","00:00:37,429",I didn't have to stand here too awkwardly long.,line_0009.wav,41.385063,121.15385,-1.0,122.15385,38.282059999999994,0.3881511746680286,0.030116294,0.00048363899000000005,0.082358554,0.08187491400000001,0.022753857000000002,0.0,0.625,0.0,0.0,0.0,0.375,4.5,0.109375,0.828125,0.0625,3.8,0.7567293047904968,0.9,10.0,"['i_did', 'did_not', 'not_have', 'have_to', 'to_stand', 'stand_here', 'here_too', 'too_awkwardly', 'awkwardly_long']",0.0,0.10473949462175368,4.5,4.050222762251922,4.860267314702306,1,1.3299999999999983,"#1, ","37.35, ","38.68, ",34.96,37.43
10,"00:00:37,496","00:00:39,364",Thank you for coming. I am Jen.,line_0010.wav,56.27774,129.70588999999998,-1.0,130.70588999999998,31.861664,0.15261044176706828,0.04239116,0.0032188257,0.09743986,0.09422104,0.024465862999999997,0.0,0.0,0.0,0.0,0.25,0.75,3.0,0.04166666666666666,0.875,0.08333333333333333,3.2857142857142856,0.5647585391998291,0.8571428571428572,7.0,"['thank_you', 'you_for', 'for_coming', 'coming_i', 'i_am', 'am_jen']",0.0,-0.03988319635391235,3.0,3.747323340471102,4.282655246252689,0,0.0,,,,37.5,39.36
11,"00:00:39,431","00:00:43,402","If you didn't know, maybe you wandered in, now you're having a fun time with me.",line_0011.wav,60.792297,167.04546000000002,-1.0,168.04546000000002,38.347874,0.1779179810725552,0.035980657,0.0017759345,0.10338953,0.101613596,0.020566715,0.09090909090909093,0.2727272727272727,0.09090909090909093,0.09090909090909093,0.0,0.4545454545454545,8.5,0.125,0.8055555555555556,0.06944444444444445,3.4444444444444446,0.8122768998146057,0.9444444444444444,18.0,"['if_you', 'you_did', 'did_not', 'not_know', 'know_maybe', 'maybe_you', 'you_wandered', 'wandered_in', 'in_now', 'now_you', 'you_are', 'are_having', 'having_a', 'a_fun', 'fun_time', 'time_with', 'with_me']",0.0,0.10142928361892699,8.5,4.532863258625028,5.288340468395865,2,3.180000000000007,"#2, #3, ","40.3, 43.65, ","41.27, 45.86, ",39.43,43.4
12,"00:00:43,802","00:00:44,837",-Um... -[audience laughs],line_0012.wav,7.283334700000001,48.355263,-1.0,49.355263,17.564306,0.8175,0.034153882,0.0049781157,0.08843869,0.08346058,0.028520362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9661835748792236,0.9661835748792236,0,0.0,,,,43.8,44.84
13,"00:00:45,737","00:00:48,907","It has been brought to my attention by doctors,",line_0013.wav,50.128735,165.78947,-1.0,166.78947,47.1441,0.3675078864353312,0.04152779,0.0007119596000000001,0.10152533,0.10081337,0.027756266,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.5,4.0,0.025,0.875,0.1,4.222222222222221,0.7919117212295532,0.8888888888888888,9.0,"['it_has', 'has_been', 'been_brought', 'brought_to', 'to_my', 'my_attention', 'attention_by', 'by_doctors']",0.0,0.19771192967891693,4.0,2.8391167192429068,3.785488958990543,0,0.0,,,,45.74,48.91
14,"00:00:49,274","00:00:52,277","some codependent yoga teachers, and everyone who's ever met me",line_0014.wav,43.454826000000004,131.25,-1.0,132.25,29.307627,0.2487437185929648,0.033655692,0.0008311315299999999,0.0851221,0.08429097,0.021338053,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.2222222222222222,5.0,0.02083333333333333,0.9375,0.04166666666666666,4.727272727272728,0.6845806241035461,0.9090909090909092,11.0,"['some_codependent', 'codependent_yoga', 'yoga_teachers', 'teachers_and', 'and_everyone', 'everyone_who', 'who_is', 'is_ever', 'ever_met', 'met_me']",0.0,-0.05819880962371826,5.0,3.663003663003663,4.995004995004995,1,2.270000000000003,"#4, ","49.43, ","51.7, ",49.27,52.28
15,"00:00:52,644","00:00:53,645",that I am high strung.,line_0015.wav,38.333915999999995,68.478264,-1.0,69.478264,20.319225,0.19796954314720813,0.023835214,0.00097447,0.06667065,0.06569618,0.019021409,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.125,0.75,0.125,3.4,0.502177357673645,0.8,5.0,"['that_i', 'i_am', 'am_high', 'high_strung']",0.0,0.08320910483598709,2.0,4.995004995004972,4.995004995004972,1,2.4399999999999977,"#5, ","52.93, ","55.37, ",52.64,53.65
16,"00:00:54,279","00:00:59,718","And... it's been suggested... that therapy isn't enough,",line_0016.wav,30.52644,177.82259,-1.0,178.82259,42.653805,0.5806451612903226,0.024368424,0.0005267685,0.1004827,0.09995593,0.028095914,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.5714285714285714,4.5,0.14285714285714285,0.7321428571428571,0.125,4.2,0.8309826850891113,0.9,10.0,"['and_it', 'it_is', 'is_been', 'been_suggested', 'suggested_that', 'that_therapy', 'therapy_is', 'is_not', 'not_enough']",0.0,0.20719873905181885,4.5,1.838573267144696,2.7578599007170435,1,0.8000000000000043,"#6, ","58.62, ","59.42, ",54.28,59.72
17,"00:00:59,952","00:01:01,687",that I need to meditate.,line_0017.wav,36.089653000000006,81.06618,-1.0,82.06618,26.806236,0.32127351664254705,0.027355377,0.0005153021,0.07264084,0.07212554,0.024146322,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.125,0.75,0.125,3.8,0.6650816798210144,0.8,5.0,"['that_i', 'i_need', 'need_to', 'to_meditate']",0.0,0.2015051990747452,2.0,2.881844380403459,4.034582132564843,2,1.8300000000000054,"#7, #8, ","60.48, 62.48, ","61.35, 63.44, ",59.95,61.69
18,"00:01:02,621","00:01:06,358","And so, now, I am one of these people who meditates.",line_0018.wav,34.891857,80.47445,-1.0,81.47445,25.279322,0.3169912693082606,0.025850032000000002,0.00055924576,0.08146928,0.080910034,0.02560649,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,5.0,0.02083333333333333,0.9375,0.04166666666666666,3.5454545454545454,0.7047942280769348,0.9090909090909092,11.0,"['and_so', 'so_now', 'now_i', 'i_am', 'am_one', 'one_of', 'of_these', 'these_people', 'people_who', 'who_meditates']",0.0,-0.09970071911811827,5.0,2.9435375970029423,2.9435375970029423,1,1.460000000000008,"#9, ","66.77, ","68.23, ",62.62,66.36
