,filename,laughs,start,end,threshold,duration
1,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_1.wav,44.72,45.7,0.3,0.7
2,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_2.wav,51.49,52.2,0.3,0.7
3,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_3.wav,75.99,77.64,0.3,0.7
4,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_4.wav,119.82,121.84,0.3,0.7
5,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_5.wav,124.38,126.34,0.3,0.7
6,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_6.wav,132.74,134.63,0.3,0.7
7,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_7.wav,147.17,148.2,0.3,0.7
8,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_8.wav,151.54,152.66,0.3,0.7
9,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_9.wav,155.7,156.82,0.3,0.7
10,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_10.wav,159.17,159.92,0.3,0.7
11,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_11.wav,163.47,166.18,0.3,0.7
12,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_12.wav,170.84,172.11,0.3,0.7
13,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_13.wav,179.26,181.32,0.3,0.7
14,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_14.wav,184.37,185.5,0.3,0.7
15,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_15.wav,193.82,195.06,0.3,0.7
16,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_16.wav,197.5,198.93,0.3,0.7
17,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_17.wav,215.85,218.64,0.3,0.7
18,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_18.wav,224.45,226.15,0.3,0.7
19,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_19.wav,234.7,236.23,0.3,0.7
20,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_20.wav,239.88,242.22,0.3,0.7
21,Jim.Jefferies.This.Is.Me.Now.2018.1080p.WEB.DL.x264.iKA-music.wav,/laughs/laugh_21.wav,244.49,247.06,0.3,0.7
