,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,010","00:00:12,762",[classical music playing],line_0000.wav,25.233185,64.85294,-1.0,65.85294,25.464257999999997,0.4781976744186047,0.009643276999999999,0.00075334584,0.026192566,0.025439221,0.0065764733999999995,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,11.01,12.76
1,"00:00:17,934","00:00:19,853",[applauding and cheering],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.024453612000000003,0.018578054,0.032452499999999995,0.013874447,0.0024206052,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,17.93,19.85
2,"00:00:33,825","00:00:35,660",Wow!,line_0002.wav,20.588062,61.25,-1.0,62.25,23.234896,0.533515731874145,0.013215046999999999,0.006277696,0.027527943,0.021250248,0.0049464771999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.5449591280653969,0.5449591280653969,0,0.0,,,,33.83,35.66
3,"00:00:35,744","00:00:37,412","Good evening, London. You well?",line_0003.wav,20.886004999999997,157.5,-1.0,158.5,42.939594,0.7375565610859729,0.015897874,0.0013048265,0.03276854,0.031463712000000005,0.01073542,0.25,0.25,0.0,0.25,0.25,0.0,2.0,0.0,0.625,0.375,4.8,0.7699195742607117,0.8,5.0,"['good_evening', 'evening_london', 'london_you', 'you_well']",0.0,0.18827304244041446,2.0,2.9976019184652287,4.19664268585132,1,2.0700000000000003,"#1, ","37.05, ","39.12, ",35.74,37.41
4,"00:00:37,495","00:00:39,247",-[audience] Yes! -Fabulous.,line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01949708,0.0045133424,0.03071886,0.026205517,0.007109737,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.875,5.5,0.3314711153507233,0.6666666666666667,2.0,"['yes_', '_fabulous']",0.0,0.0,1.0,1.1415525114155236,2.2831050228310468,0,0.0,,,,37.49,39.25
5,"00:00:39,330","00:00:41,082",You are in very safe hands this evening.,line_0005.wav,28.348996999999997,110.25,-1.0,111.25,42.18469,0.648068669527897,0.00974018,0.0011635104,0.028056547,0.026893036000000002,0.006714308,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,3.5,0.15,0.575,0.275,4.0,0.6168949604034424,0.875,8.0,"['you_are', 'are_in', 'in_very', 'very_safe', 'safe_hands', 'hands_this', 'this_evening']",0.0,0.23878544569015506,3.5,4.5662100456620935,5.707762557077618,0,0.0,,,,39.33,41.08
6,"00:00:41,166","00:00:44,461","I've been doing comedy now for, uh... money and sex.",line_0006.wav,36.012726,96.710526,-1.0,97.710526,32.385925,0.40760456273764256,0.007818289,0.0002903084,0.02987126,0.029580952999999997,0.006381289,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.42857142857142855,5.0,0.017857142857142856,0.9107142857142856,0.07142857142857142,3.5454545454545454,0.8013391494750977,0.9090909090909092,11.0,"['i_have', 'have_been', 'been_doing', 'doing_comedy', 'comedy_now', 'now_for', 'for_uh', 'uh_money', 'money_and', 'and_sex']",0.0,0.11594042927026747,5.0,3.3383915022761737,4.55235204855842,1,1.8000000000000043,"#2, ","44.48, ","46.28, ",41.17,44.46
7,"00:00:45,962","00:00:47,338",It's going very well.,line_0007.wav,14.668586,70.67308,-1.0,71.67308,25.694777,0.7242647058823529,0.010148874,0.0009634744,0.03419951,0.033236034,0.008613155,0.0,0.5,0.0,0.0,0.0,0.5,2.0,0.09375,0.6875,0.21875,3.4,0.7866380214691162,0.8,5.0,"['it_is', 'is_going', 'going_very', 'very_well']",0.0,0.5184795856475829,2.0,3.633720930232564,5.08720930232559,0,0.0,,,,45.96,47.34
8,"00:00:47,422","00:00:48,673","I live in North London now,",line_0008.wav,19.548326,76.034485,-1.0,77.034485,25.460657,0.591182364729459,0.013335751000000002,0.0014430771,0.032303724,0.030860647999999997,0.009764545,0.0,0.25,0.0,0.0,0.5,0.25,2.5,0.0,1.0,0.0,3.5,0.4943298697471618,0.8333333333333334,6.0,"['i_live', 'live_in', 'in_north', 'north_london', 'london_now']",0.0,0.16744863986968994,2.5,4.796163069544347,5.595523581135072,0,0.0,,,,47.42,48.67
9,"00:00:48,757","00:00:50,884",and a guy came up to me in the high street near where I live.,line_0009.wav,44.345417,122.5,-1.0,123.5,36.068816999999996,0.3172169811320755,0.010973712,0.0024562934,0.026989602999999997,0.024533309,0.005822163000000001,0.125,0.125,0.25,0.25,0.0,0.25,7.0,0.05,0.925,0.025,3.066666666666667,0.6754818558692932,0.9333333333333332,15.0,"['and_a', 'a_guy', 'guy_came', 'came_up', 'up_to', 'to_me', 'me_in', 'in_the', 'the_high', 'high_street', 'street_near', 'near_where', 'where_i', 'i_live']",0.0,0.20458297431468964,7.0,7.0521861777150825,7.0521861777150825,0,0.0,,,,48.76,50.88
10,"00:00:50,967","00:00:51,968",He was all excited. He went... [gasps],line_0010.wav,42.24889,113.65978999999999,-1.0,114.65978999999999,32.812329999999996,0.29925187032418954,0.015149006000000001,0.0014354289000000002,0.040769442999999995,0.039334014,0.009883872,0.25,0.25,0.0,0.0,0.0,0.5,2.5,0.15625,0.59375,0.25,3.5,0.7080969214439392,0.8333333333333334,6.0,"['he_was', 'was_all', 'all_excited', 'excited_he', 'he_went']",0.0,0.3630382418632507,2.5,5.994005994005965,7.992007992007954,0,0.0,,,,50.97,51.97
11,"00:00:52,051","00:00:53,303","""I didn't recognise you!""",line_0011.wav,31.546910999999998,77.64085,-1.0,78.64085,28.81072,0.420523138832998,0.010576188,0.0010561828,0.030284084,0.029227901,0.0080299545,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,2.0,0.20833333333333331,0.7083333333333334,0.08333333333333333,3.8,0.7237215638160706,0.8,5.0,"['i_did', 'did_not', 'not_recognise', 'recognise_you']",0.0,0.3252792656421661,2.0,3.9936102236421873,3.1948881789137498,0,0.0,,,,52.05,53.3
12,"00:00:53,970","00:00:55,597","I said, ""Yeah, you did.""",line_0012.wav,29.2539,107.03883,-1.0,108.03883,31.193203000000004,0.4821705426356589,0.006546646,0.0008899397999999999,0.018627416,0.017737476000000002,0.005815094,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.6712600588798523,0.8,5.0,"['i_said', 'said_yeah', 'yeah_you', 'you_did']",0.0,0.26390302181243896,2.0,3.0731407498463383,3.0731407498463383,1,5.770000000000003,"#3, ","55.4, ","61.17, ",53.97,55.6
13,"00:00:59,726","00:01:01,394","I should really have explained when I walked on, as well,",line_0013.wav,16.14281,76.5625,-1.0,77.5625,24.42596,0.6646616541353384,0.015949048,0.0048825657,0.034516245,0.029633677999999997,0.007815097,0.0,0.5,0.0,0.0,0.0,0.5,5.0,0.02083333333333333,0.7291666666666666,0.25,4.090909090909091,0.760737955570221,0.9090909090909092,11.0,"['i_should', 'should_really', 'really_have', 'have_explained', 'explained_when', 'when_i', 'i_walked', 'walked_on', 'on_as', 'as_well']",0.0,0.23919877409935,5.0,6.594724220623504,7.7937649880095945,0,0.0,,,,59.73,61.39
14,"00:01:01,478","00:01:06,524",I look like this because my dad is Irish and my mum is Roger Federer.,line_0014.wav,21.451855,84.80769000000001,-1.0,85.80769000000001,30.373707,0.6295375435106912,0.008184120999999999,0.00048049816,0.031695046,0.031214547999999998,0.006276408000000001,0.2727272727272727,0.0,0.09090909090909093,0.18181818181818185,0.18181818181818185,0.2727272727272727,7.0,0.04166666666666666,0.875,0.08333333333333333,3.6,0.7424734830856323,0.9333333333333332,15.0,"['i_look', 'look_like', 'like_this', 'this_because', 'because_my', 'my_dad', 'dad_is', 'is_irish', 'irish_and', 'and_my', 'my_mum', 'mum_is', 'is_roger', 'roger_federer']",0.0,-0.07947599142789841,7.0,2.9726516052318672,3.9635354736424895,2,7.849999999999994,"#4, #5, ","63.55, 65.86, ","64.44, 72.82, ",61.48,66.52
15,"00:01:11,488","00:01:13,573","[chuckles] Speaking of looks,",line_0015.wav,18.721766,75.0,-1.0,76.0,24.019558,0.5930372148859544,0.009644434,0.0023775636,0.04208069,0.039703127000000005,0.008616535,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,1.0,0.0,5.0,0.2934565246105194,0.6666666666666667,3.0,"['speaking_of', 'of_looks']",0.0,0.28088614344596863,1.0,1.4388489208633135,1.918465227817752,0,0.0,,,,71.49,73.57
16,"00:01:13,656","00:01:16,993",we were watching proper BBC News the other day,line_0016.wav,32.834796999999995,118.54838600000001,-1.0,119.54838600000001,29.00399,0.3956127080181543,0.009442333,0.0011204792,0.029410118,0.028289638,0.006129786,0.25,0.0,0.125,0.125,0.25,0.25,4.0,0.15,0.625,0.225,4.222222222222221,0.5974370241165161,0.8888888888888888,9.0,"['we_were', 'were_watching', 'watching_proper', 'proper_bbc', 'bbc_news', 'news_the', 'the_other', 'other_day']",0.0,0.009911633096635342,4.0,2.6970332634102574,4.195385076415956,0,0.0,,,,73.66,76.99
17,"00:01:17,077","00:01:20,038","and Liz Hurley came on the news. Not like that, obviously.",line_0017.wav,26.108738,82.27611999999999,-1.0,83.27611999999999,28.292917,0.5076530612244898,0.00804663,0.0007346224,0.021921633,0.021187011000000002,0.005856381999999999,0.0,0.25,0.25,0.125,0.25,0.125,5.0,0.15625,0.71875,0.125,4.090909090909091,0.7747393846511841,0.9090909090909092,11.0,"['and_liz', 'liz_hurley', 'hurley_came', 'came_on', 'on_the', 'the_news', 'news_not', 'not_like', 'like_that', 'that_obviously']",0.0,-0.1067732498049736,5.0,3.7149611617696734,5.065856129685919,1,5.099999999999994,"#6, ","79.92, ","85.02, ",77.08,80.04
18,"00:01:20,121","00:01:21,122",Ah...,line_0018.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.014940638000000001,0.004800599,0.018773774,0.013973175,0.0029688259000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9990009990009944,0.9990009990009944,0,0.0,,,,80.12,81.12
19,"00:01:24,459","00:01:25,502",But she was on the news.,line_0019.wav,31.367953999999997,134.45122,-1.0,135.45122,50.73965,0.6714975845410628,0.012794183,0.0028660053,0.033282537,0.030416531,0.0070859059999999995,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.5,0.0625,0.8125,0.125,3.0,0.6767554879188538,0.8333333333333334,6.0,"['but_she', 'she_was', 'was_on', 'on_the', 'the_news']",0.0,0.24572455883026126,2.5,5.75263662511989,5.75263662511989,0,0.0,,,,84.46,85.5
20,"00:01:25,585","00:01:28,129","She was promoting some new TV show, and they did this thing.",line_0020.wav,32.89119,121.15385,-1.0,122.15385,33.136406,0.4340551181102362,0.011916061,0.0019680937,0.034829393,0.0328613,0.0069174087,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,5.5,0.017857142857142856,0.875,0.10714285714285714,3.9166666666666665,0.7838668823242188,0.9166666666666666,12.0,"['she_was', 'was_promoting', 'promoting_some', 'some_new', 'new_tv', 'tv_show', 'show_and', 'and_they', 'they_did', 'did_this', 'this_thing']",0.0,0.15419313311576846,5.5,4.716981132075451,5.896226415094314,0,0.0,,,,85.58,88.13
21,"00:01:28,213","00:01:30,381",They would only get away with doing this on the news.,line_0021.wav,46.382576,136.11111,-1.0,137.11111,36.025496999999994,0.2952158693115519,0.0104241,0.0014162059,0.032225605,0.030809398999999998,0.0070247813000000004,0.0,0.25,0.25,0.125,0.0,0.375,5.0,0.0,0.975,0.025,3.8181818181818175,0.8348053097724915,0.9090909090909092,11.0,"['they_would', 'would_only', 'only_get', 'get_away', 'away_with', 'with_doing', 'doing_this', 'this_on', 'on_the', 'the_news']",0.0,0.24164821207523346,5.0,5.073800738007366,6.457564575645738,0,0.0,,,,88.21,90.38
