,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,843","00:00:11,094","<i>[announcer] </i><span style=""style2"">Hawaii.</i>",line_0000.wav,11.908088000000001,69.33962,-1.0,70.33962,22.615710999999997,0.7474747474747475,0.014623991999999999,0.005829988,0.029023008,0.02319302,0.006827659399999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,9.84,11.09
1,"00:00:11,970","00:00:14,055",<i>Are you ready?</i>,line_0001.wav,43.250862,153.125,-1.0,154.125,30.879365999999997,0.25690276110444177,0.021720434,0.0074119978,0.03257726,0.025165264,0.004549597,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,11.97,14.05
2,"00:00:14,139","00:00:16,599",<i>[cheering and applause]</i>,line_0002.wav,9.699161,59.91848,-1.0,60.91848,19.963223,0.7742594484167518,0.021054791,0.015097741999999999,0.027514191,0.012416449,0.0026990243,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.14,16.6
3,"00:00:16,683","00:00:18,601","<i>Ladies and gentlemen,</i>",line_0003.wav,25.25995,125.28408999999999,-1.0,126.28408999999999,31.606003,0.5371577574967406,0.02083407,0.010386034,0.029385606,0.018999573,0.0044049607,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,16.68,18.6
4,"00:00:19,144","00:00:23,523",<i>give it up for Jo Koy!</i>,line_0004.wav,37.169575,64.28571,-1.0,65.28571,19.38278,0.1969089868345736,0.021956258,0.012577151000000002,0.030652053999999998,0.018074904,0.0042686425,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.14,23.52
5,"00:00:23,606","00:00:24,566","<i>[""Uproar"" plays]</i>",line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020472202,0.016458893,0.026625969,0.010167075,0.0024635838,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,23.61,24.57
6,"00:00:24,649","00:00:26,609","<i>♪ Five, four, three, two, I let one go ♪</i>",line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019627811000000002,0.015467048,0.023312489,0.007845441,0.0017740104999999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,24.65,26.61
7,"00:00:26,693","00:00:29,029","<i>♪ Bow, get the fuck though</i> <i>I don't bluff, bro ♪</i>",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.017851844,0.012534983000000001,0.02453264,0.011997657,0.0025888851,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,26.69,29.03
8,"00:00:29,571","00:00:32,032",<i>♪ Aimin' at your head like a buffalo ♪</i>,line_0008.wav,13.689407000000001,60.911602,-1.0,61.911602,22.070496,0.6901840490797546,0.020286593999999998,0.015592008999999999,0.026948702999999997,0.011356695,0.0027948392,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,29.57,32.03
9,"00:00:32,115","00:00:34,367","<i>♪ You a roughneck, I'm a cutthroat ♪</i>",line_0009.wav,17.004776,63.362069999999996,-1.0,64.36206999999999,23.063774,0.6187290969899666,0.020361835,0.014107086999999999,0.028160235,0.014053148,0.0028963273,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,32.12,34.37
