,filename,laughs,start,end,threshold,duration
1,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_1.wav,46.76,51.05,0.3,0.7
2,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_2.wav,54.06,56.52,0.3,0.7
3,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_3.wav,58.15,66.23,0.3,0.7
4,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_4.wav,68.85,72.91,0.3,0.7
5,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_5.wav,74.21,75.63,0.3,0.7
6,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_6.wav,76.78,81.08,0.3,0.7
7,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_7.wav,86.03,99.99,0.3,0.7
8,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_8.wav,100.53,102.15,0.3,0.7
9,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_9.wav,103.31,110.49,0.3,0.7
10,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_10.wav,113.09,114.5,0.3,0.7
11,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_11.wav,124.06,125.24,0.3,0.7
12,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_12.wav,127.14,133.86,0.3,0.7
13,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_13.wav,134.28,138.32,0.3,0.7
14,Jo.Koy.Comin.in.Hot.2019.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_14.wav,139.27,141.03,0.3,0.7
