,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:01:54,916","00:01:57,835","- All right, Petunia.",line_0000.wav,46.087086,75.0,-1.0,76.0,21.274038,0.1637781629116118,0.015439917,0.0038487946,0.071107246,0.067258455,0.0145134,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,5.0,0.5601648092269897,0.6666666666666667,3,"['all_right', 'right_petunia']",0.0,-0.06955736875534058,1.0,1.0277492291880792,2.0554984583761584,0,0.0,,,,114.92,117.83
1,"00:01:57,919","00:01:59,545",Wish me luck out there.,line_0001.wav,28.18432,78.75,-1.0,79.75,28.113421999999996,0.4665629860031104,0.027685957,0.00789911,0.09471928,0.08682017,0.021893392999999997,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,2.0,0.1875,0.75,0.0625,3.6,0.6990917325019836,0.8,5,"['wish_me', 'me_luck', 'luck_out', 'out_there']",0.0,0.4528888165950775,2.0,3.075030750307494,3.075030750307494,0,0.0,,,,117.92,119.55
2,"00:01:59,628","00:02:04,342","You will die on August 7th, 2037.",line_0002.wav,10.6432495,61.9382,-1.0,62.9382,21.028162,0.7627659574468085,0.01641539,0.0052656940000000005,0.051984575,0.04671888,0.009863413,0.0,0.0,0.0,0.25,0.25,0.5,3.0,0.0,1.0,0.0,3.571428571428572,0.7056950330734253,0.8571428571428572,7,"['you_will', 'will_die', 'die_on', 'on_august', 'august_7th', '7th_2037']",0.0,-0.13593269884586334,3.0,1.4849384811200683,1.27280441238863,0,0.0,,,,119.63,124.34
3,"00:02:07,303","00:02:08,637",That's pretty good.,line_0003.wav,5.953606,61.25,-1.0,62.25,18.601307000000002,0.8766603415559773,0.016598343999999998,0.0069115716,0.07397791,0.06706634,0.014800637,0.25,0.25,0.25,0.0,0.0,0.25,1.5,0.125,0.5,0.375,4.0,0.7115158438682556,0.75,4,"['that_is', 'is_pretty', 'pretty_good']",0.0,0.5291120409965515,1.5,2.9985007496251805,3.748125937031476,1,1.3899999999999864,"#14, ","128.74, ","130.13, ",127.3,128.64
4,"00:02:11,724","00:02:13,017",All right.,line_0004.wav,4.482304,56.106869999999994,-1.0,57.106869999999994,16.062872,0.8953488372093024,0.012879538000000001,0.0056472453,0.04259602,0.036948774,0.009479333000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.625,0.375,4.0,0.5601648092269897,0.5,2,['all_right'],0.0,0.5601648092269897,0.5,1.546790409899451,1.546790409899451,2,47.20000000000002,"#15, #16, ","136.23, 140.39, ","138.43, 185.39, ",131.72,133.02
5,"00:02:46,009","00:02:47,343",Hello.,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.06606943,0.047737878,0.087439395,0.039701518,0.011898246999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,[],0.0,1.0,0.0,0.7496251874062951,1.4992503748125903,0,0.0,,,,166.01,167.34
6,"00:02:53,724","00:02:55,143","Hello, Chicago.",line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.071554415,0.048852954000000004,0.09699267,0.048139717,0.011646014,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,6.0,0.3083997964859009,0.5,2,['hello_chicago'],0.0,0.3083997964859009,0.5,1.4094432699083752,3.523608174770938,0,0.0,,,,173.72,175.14
7,"00:02:57,645","00:02:59,272",Nice to see you again.,line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.06795989999999999,0.044624764000000004,0.089997925,0.04537316,0.012493742,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,0.7083333333333334,0.2916666666666667,3.4,0.707510769367218,0.8,5,"['nice_to', 'to_see', 'see_you', 'you_again']",0.0,0.3683657348155975,2.0,3.0731407498463787,3.6877688998156537,0,0.0,,,,177.65,179.27
8,"00:03:01,315","00:03:04,235",Thank you. That was very nice. Thank you.,line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.045547195,0.014003698,0.07368255,0.05967885,0.01697904,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,3.5,0.075,0.65,0.275,3.875,0.750876247882843,0.875,8,"['thank_you', 'you_that', 'that_was', 'was_very', 'very_nice', 'nice_thank', 'thank_you']",0.0,0.3559565544128418,3.5,2.739726027397245,3.0821917808219017,0,0.0,,,,181.31,184.24
9,"00:03:04,318","00:03:06,112","Look, now, you're a wonderful crowd,",line_0009.wav,13.478825,77.0979,-1.0,78.0979,24.543467,0.7364771151178918,0.0391472,0.011667337,0.073552355,0.061885018,0.018508814,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,3.0,0.025,0.775,0.2,4.0,0.646697461605072,0.8571428571428572,7,"['look_now', 'now_you', 'you_are', 'are_a', 'a_wonderful', 'wonderful_crowd']",0.0,0.27380016446113586,3.0,3.90189520624307,5.016722408026804,1,1.829999999999984,"#17, ","185.77, ","187.6, ",184.32,186.11
