,filename,laughs,start,end,threshold,duration
14,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_14.wav,128.74,130.13,0.3,0.7
15,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_15.wav,136.23,138.43,0.3,0.7
16,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_16.wav,140.39,185.39,0.3,0.7
17,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_17.wav,185.77,187.6,0.3,0.7
18,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_18.wav,188.13,192.95,0.3,0.7
19,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_19.wav,194.42,196.45,0.3,0.7
20,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_20.wav,197.15,197.96,0.3,0.7
21,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_21.wav,198.52,201.84,0.3,0.7
22,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_22.wav,202.58,203.92,0.3,0.7
23,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_23.wav,205.23,210.06,0.3,0.7
24,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_24.wav,212.45,221.06,0.3,0.7
25,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_25.wav,223.65,226.58,0.3,0.7
26,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_26.wav,227.78,228.99,0.3,0.7
27,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_27.wav,233.71,235.27,0.3,0.7
28,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_28.wav,237.17,241.22,0.3,0.7
29,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_29.wav,242.79,245.25,0.3,0.7
30,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_30.wav,245.63,247.55,0.3,0.7
31,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_31.wav,248.63,249.72,0.3,0.7
32,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_32.wav,251.75,253.59,0.3,0.7
33,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_33.wav,254.65,260.18,0.3,0.7
34,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_34.wav,261.28,265.17,0.3,0.7
35,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_35.wav,266.07,269.75,0.3,0.7
36,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_36.wav,271.47,274.78,0.3,0.7
37,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_37.wav,275.92,279.88,0.3,0.7
38,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_38.wav,282.86,284.41,0.3,0.7
39,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_39.wav,288.81,296.29,0.3,0.7
40,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_40.wav,297.46,298.67,0.3,0.7
41,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_41.wav,299.71,307.3,0.3,0.7
42,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_42.wav,309.77,318.79,0.3,0.7
43,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_43.wav,321.89,323.82,0.3,0.7
44,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_44.wav,324.71,327.2,0.3,0.7
45,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_45.wav,329.23,336.48,0.3,0.7
46,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_46.wav,344.89,348.01,0.3,0.7
47,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_47.wav,348.24,352.51,0.3,0.7
48,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_48.wav,352.74,369.69,0.3,0.7
49,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_49.wav,373.63,374.47,0.3,0.7
50,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_50.wav,376.46,380.35,0.3,0.7
51,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_51.wav,382.91,384.23,0.3,0.7
52,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_52.wav,386.5,387.26,0.3,0.7
53,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_53.wav,390.23,393.84,0.3,0.7
54,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_54.wav,395.25,397.08,0.3,0.7
55,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_55.wav,398.9,400.14,0.3,0.7
56,John.Mulaney.The.Comeback.Kid.2015-music.wav,/laughs/laugh_56.wav,401.28,418.87,0.3,0.7
