,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,500","00:00:14,366",I think being an American is a preexisting condition.,line_0000.wav,9.126056,63.728325,-1.0,64.728325,22.040335,0.8251318101933216,0.009494985,0.0012269402,0.03884681,0.03761987,0.007390975,0.0,0.0,0.25,0.125,0.125,0.5,4.0,0.05,0.85,0.1,4.888888888888889,0.6887021660804749,0.8888888888888888,9.0,"['i_think', 'think_being', 'being_an', 'an_american', 'american_is', 'is_a', 'a_preexisting', 'preexisting_condition']",0.0,0.006737565156072378,4.0,3.1402651779483604,6.2805303558967225,0,0.0,,,,11.5,14.37
1,"00:00:14,466","00:00:16,300",[audience laughing],line_0001.wav,2.5208228,159.78261,-1.0,160.78261,22.239086,0.9753424657534246,0.007941389,0.001980461,0.024894542999999998,0.022914082000000002,0.004644167,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.47,16.3
2,"00:00:19,300","00:00:21,133",My hair used to be black.,line_0002.wav,27.353315000000002,81.666664,-1.0,82.666664,32.608433000000005,0.5554035567715458,0.010242035,0.0016018185,0.024979832,0.023378013,0.006734050300000001,0.4,0.0,0.0,0.2,0.0,0.4,2.5,0.125,0.8125,0.0625,3.1666666666666665,0.6139862537384033,0.8333333333333334,6.0,"['my_hair', 'hair_used', 'used_to', 'to_be', 'be_black']",0.0,0.232584610581398,2.5,3.2733224222585955,3.2733224222585955,1,1.25,"#1, ","20.54, ","21.79, ",19.3,21.13
3,"00:00:21,766","00:00:23,800",Now every year white hairs show up.,line_0003.wav,32.468727,68.05556,-1.0,69.05556,23.30388,0.3180124223602485,0.006685676999999999,0.0010613884,0.01542006,0.014358671000000002,0.0037587283000000003,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,3.0,0.05,0.95,0.0,4.0,0.6397373676300049,0.8571428571428572,7.0,"['now_every', 'every_year', 'year_white', 'white_hairs', 'hairs_show', 'show_up']",0.0,0.11244429647922516,3.0,3.4414945919370656,4.424778761061941,0,0.0,,,,21.77,23.8
4,"00:00:23,866","00:00:25,900",Next year more white hairs moving in.,line_0004.wav,22.606339000000002,58.643616,-1.0,59.643616,23.449442,0.4944649446494465,0.0059920377,0.0011941342,0.012110717,0.010916582,0.0028638996000000002,0.5,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,3.0,0.04166666666666666,0.9583333333333334,0.0,4.285714285714286,0.5996697545051575,0.8571428571428572,7.0,"['next_year', 'year_more', 'more_white', 'white_hairs', 'hairs_moving', 'moving_in']",0.0,0.11244429647922516,3.0,3.441494591937072,3.9331366764995104,0,0.0,,,,23.87,25.9
5,"00:00:26,200","00:00:27,833","It makes me mad, makes me sad",line_0005.wav,17.247576000000002,54.579209999999996,-1.0,55.579209999999996,23.167421,0.6152647975077882,0.0065534213,0.0013965192000000002,0.014071998999999998,0.01267548,0.0036788818,0.5,0.0,0.0,0.0,0.0,0.5,3.0,0.1875,0.75,0.0625,3.1428571428571432,0.7056353092193604,0.8571428571428572,7.0,"['it_makes', 'makes_me', 'me_mad', 'mad_makes', 'makes_me', 'me_sad']",0.0,0.4077278673648834,3.0,4.2865890998162905,4.2865890998162905,0,0.0,,,,26.2,27.83
6,"00:00:27,900","00:00:31,466",'cause it means my head is getting gentrified.,line_0006.wav,2.453502,66.415665,-1.0,67.415665,12.934633999999999,0.9319775596072932,0.005299359,0.0011815083,0.01715514,0.015973633,0.003674996,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5,3.5,0.03125,0.875,0.09375,4.875,0.8086063265800476,0.875,8.0,"['because_it', 'it_means', 'means_my', 'my_head', 'head_is', 'is_getting', 'getting_gentrified']",0.0,-0.05698607489466667,3.5,2.2434099831744234,3.3651149747616347,2,4.880000000000003,"#2, #3, ","28.08, 31.18, ","29.4, 34.74, ",27.9,31.47
7,"00:00:31,800","00:00:33,766",-And... -[audience laughing],line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.012354868,0.003558505,0.02763307,0.024074564,0.0066008614000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.5086469989827066,0.5086469989827066,0,0.0,,,,31.8,33.77
8,"00:00:33,833","00:00:38,700",there is nothing I can do to stop it. Pretty soon I won't be able to afford it.,line_0008.wav,43.992058,79.31654,-1.0,80.31654,16.383703,0.1012396694214876,0.0099604335,0.0019987505,0.02465627,0.02265752,0.0051588565000000005,0.07692307692307693,0.3076923076923077,0.0,0.07692307692307693,0.0,0.5384615384615384,9.0,0.1153846153846154,0.8076923076923077,0.07692307692307693,3.263157894736842,0.8306507468223572,0.9473684210526316,19.0,"['there_is', 'is_nothing', 'nothing_i', 'i_can', 'can_do', 'do_to', 'to_stop', 'stop_it', 'it_pretty', 'pretty_soon', 'soon_i', 'i_will', 'will_not', 'not_be', 'be_able', 'able_to', 'to_afford', 'afford_it']",0.0,0.2998025119304657,9.0,3.903842202588861,4.7257037189233575,2,4.199999999999996,"#4, #5, ","35.32, 38.45, ","37.32, 40.65, ",33.83,38.7
9,"00:00:38,800","00:00:43,066",But I keep moving forward because I'm an American.,line_0009.wav,13.475655999999999,71.59091,-1.0,72.59091,22.761124,0.7079905992949471,0.009407531,0.0009657814,0.028390562,0.02742478,0.0063774316000000005,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,4.5,0.025,0.875,0.1,4.1,0.8851726055145264,0.9,10.0,"['but_i', 'i_keep', 'keep_moving', 'moving_forward', 'forward_because', 'because_i', 'i_am', 'am_an', 'an_american']",0.0,0.115469329059124,4.5,2.344116268166898,3.750586029067037,1,2.3900000000000006,"#6, ","43.07, ","45.46, ",38.8,43.07
