,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,840","00:00:08,883",[Apatow] It's an art to not be terrified.,line_0000.wav,34.59359,77.64085,-1.0,78.64085,24.847048,0.31527093596059114,0.010184957,0.0018269217999999999,0.02481914,0.022992218,0.006304234000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.84,8.88
1,"00:00:09,634","00:00:11,594",The art of not being terrified takes...,line_0001.wav,33.702477,67.22561,-1.0,68.22561,25.269901,0.3392857142857143,0.010038744,0.0014907130999999999,0.024582727000000002,0.023092012999999998,0.0073948004,,,,,,,,,,,,,,,,,,,,,1,2.76,"#0, ","11.41, ","14.17, ",9.63,11.59
2,"00:00:12,345","00:00:16,182",I've always wondered what Beyoncé thinks right before she walks out.,line_0002.wav,36.28182,77.0979,-1.0,78.0979,25.234339000000002,0.3036649214659686,0.009908291999999999,0.0015918805,0.025950631000000002,0.024358751,0.006597490500000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,12.35,16.18
3,"00:00:16,266","00:00:20,979","Because she has, like, 900,000 dance moves to remember.",line_0003.wav,20.65035,68.05556,-1.0,69.05556,25.651730999999998,0.5774348057477382,0.008397096,0.0013659470000000002,0.025843178999999997,0.024477232,0.006731814,,,,,,,,,,,,,,,,,,,,,2,3.2900000000000027,"#1, #2, ","17.65, 20.64, ","19.67, 21.91, ",16.27,20.98
4,"00:00:21,187","00:00:24,315","Like, does she ever think, ""Tsk, what if it doesn't come?",line_0004.wav,19.371487,94.23076999999999,-1.0,95.23076999999999,28.699043,0.6528,0.0077782236,0.0012998888,0.02371779,0.022417903,0.006743079,,,,,,,,,,,,,,,,,,,,,1,1.2199999999999989,"#3, ","23.52, ","24.74, ",21.19,24.32
5,"00:00:24,566","00:00:27,527","What if I'm just sitting there, like... I forgot?""",line_0005.wav,18.947979,62.288136,-1.0,63.288136,25.53876,0.6151898734177215,0.007241760999999999,0.001189617,0.023508737000000002,0.02231912,0.006913149699999999,,,,,,,,,,,,,,,,,,,,,2,5.210000000000001,"#4, #5, ","27.3, 30.65, ","28.55, 34.61, ",24.57,27.53
6,"00:00:30,822","00:00:32,949",-[man 1] Quiet on set. -All right. Here we go.,line_0006.wav,15.837944,107.03883,-1.0,108.03883,30.904932000000002,0.7502972651605232,0.0076185702,0.0010320941,0.021723721,0.020691628,0.005385888,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,30.82,32.95
7,"00:00:33,033","00:00:34,492","[man 2] Judd, good luck.",line_0007.wav,21.288498,61.9382,-1.0,62.9382,24.255110000000002,0.5352839931153184,0.007816955,0.0017852997,0.023334714,0.021549415,0.005101016,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,33.03,34.49
8,"00:00:35,201","00:00:37,287",[announcer] Ladies and gentlemen...,line_0008.wav,9.736151,89.63415,-1.0,90.63415,24.385197,0.8307322929171669,0.008223164,0.00034658135999999997,0.020972682000000003,0.020626102,0.00534184,,,,,,,,,,,,,,,,,,,,,1,2.489999999999995,"#6, ","36.81, ","39.3, ",35.2,37.29
9,"00:00:38,121","00:00:41,416",please welcome Judd Apatow.,line_0009.wav,18.469595,79.891304,-1.0,80.891304,25.991049,0.6308161708619374,0.0138842845,0.0037237701,0.030618364,0.026894593999999997,0.006242096,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.5,0.0,1.0,0.0,5.75,0.6140341758728027,0.75,4.0,"['please_welcome', 'welcome_judd', 'judd_apatow']",0.0,-0.1436067670583725,1.5,1.2139605462822478,1.2139605462822478,1,38.66,"#7, ","41.03, ","79.69, ",38.12,41.42
10,"00:00:41,499","00:00:44,586",[audience cheering],line_0010.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.014575416,0.010801216,0.021848526,0.01104731,0.0026510777,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,41.5,44.59
11,"00:00:51,676","00:00:53,219",[audience whistling],line_0011.wav,19.700771,64.47369,-1.0,65.47369,25.535618,0.6006600660066007,0.014609121999999999,0.01033875,0.020054363000000002,0.009715613,0.0027566328999999996,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,51.68,53.22
12,"00:00:53,303","00:00:54,304",Thank you.,line_0012.wav,13.808947,76.034485,-1.0,77.034485,24.003622,0.7171717171717171,0.01422954,0.008233204000000001,0.021816175,0.013582971999999999,0.0034940108000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.9980019980019883,1.9980019980019883,0,0.0,,,,53.3,54.3
13,"00:01:01,728","00:01:02,937",Thank you.,line_0013.wav,11.531141,47.934784,-1.0,48.934784,19.847466,0.7142857142857143,0.015580338,0.0070507980000000005,0.025002583999999998,0.017951787,0.0043635720000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.6542597187758532,1.6542597187758532,0,0.0,,,,61.73,62.94
14,"00:01:03,480","00:01:05,356","Thank you, Montreal.",line_0014.wav,14.903135,68.90625,-1.0,69.90625,24.397505,0.6929238985313751,0.014606716,0.0075303222999999996,0.021968536,0.014438214,0.004269161699999999,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,5.333333333333333,0.5647585391998291,0.6666666666666667,3.0,"['thank_you', 'you_montreal']",0.0,0.0948251411318779,1.0,1.5991471215351831,2.665245202558639,0,0.0,,,,63.48,65.36
15,"00:01:06,816","00:01:08,276","Viva, Montreal!",line_0015.wav,4.6112905,64.09884,-1.0,65.09884,16.800753,0.8984509466437177,0.014036673000000001,0.0062537226,0.021183185,0.014929462,0.0040151253,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,6.0,0.31297755241394043,0.5,2.0,['viva_montreal'],0.0,0.31297755241394043,0.5,1.369863013698636,3.42465753424659,0,0.0,,,,66.82,68.28
16,"00:01:11,821","00:01:13,406",Thank you so much. Thank you.,line_0016.wav,2.9236478999999997,67.63804,-1.0,68.63804,14.343959,0.9298245614035088,0.011545231000000001,0.005968607,0.021634916,0.01566631,0.0043544117,0.0,0.5,0.0,0.0,0.0,0.5,2.5,0.0,0.96875,0.03125,3.6666666666666665,0.8314532637596129,0.8333333333333334,6.0,"['thank_you', 'you_so', 'so_much', 'much_thank', 'thank_you']",0.0,0.4849710166454315,2.5,3.785488958990517,3.785488958990517,0,0.0,,,,71.82,73.41
17,"00:01:14,240","00:01:17,202",It is amazing to be here.,line_0017.wav,14.922595999999999,84.80769000000001,-1.0,85.80769000000001,25.948822,0.7106382978723405,0.0111573525,0.003658706,0.01933339,0.015674683999999998,0.0050238143,0.25,0.25,0.0,0.0,0.0,0.5,2.5,0.125,0.625,0.25,3.1666666666666665,0.7129520773887634,0.8333333333333334,6.0,"['it_is', 'is_amazing', 'amazing_to', 'to_be', 'be_here']",0.0,0.3322868347167969,2.5,2.02565833896016,2.7008777852802126,0,0.0,,,,74.24,77.2
18,"00:01:17,285","00:01:19,621",This is something I've wanted to do since I was 10.,line_0018.wav,20.252423999999998,95.04310600000001,-1.0,96.04310600000001,32.937397,0.6998916576381365,0.012862506000000001,0.0025986265,0.020182516,0.01758389,0.004855625,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,5.5,0.05,0.75,0.2,3.4166666666666665,0.7078430652618408,0.9166666666666666,12.0,"['this_is', 'is_something', 'something_i', 'i_have', 'have_wanted', 'wanted_to', 'to_do', 'do_since', 'since_i', 'i_was', 'was_10']",0.0,0.12314195185899734,5.5,5.136986301369866,5.565068493150688,0,0.0,,,,77.28,79.62
19,"00:01:19,704","00:01:22,207","It's very special, so thank you very much.",line_0019.wav,25.522547,75.5137,-1.0,76.5137,26.664919,0.4964824120603015,0.008576529,0.0006980038,0.021617117999999998,0.020919114,0.006046266,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,4.0,0.08928571428571429,0.7857142857142857,0.125,3.6666666666666665,0.8314532637596129,0.8888888888888888,9.0,"['it_is', 'is_very', 'very_special', 'special_so', 'so_thank', 'thank_you', 'you_very', 'very_much']",0.0,0.2630126178264618,4.0,3.595685177786656,4.794246903715541,1,4.1200000000000045,"#8, ","81.49, ","85.61, ",79.7,82.21
20,"00:01:22,290","00:01:25,126","Uh, it's amazing I can draw a crowd, isn't it?",line_0020.wav,37.405807,148.98648,-1.0,149.98648,35.316853,0.390158172231986,0.012280338,0.0010902034,0.024592387,0.023502182000000003,0.0064088980000000005,0.125,0.125,0.125,0.125,0.0,0.5,5.5,0.16071428571428573,0.6964285714285714,0.14285714285714285,2.833333333333333,0.7385974526405334,0.9166666666666666,12.0,"['uh_it', 'it_is', 'is_amazing', 'amazing_i', 'i_can', 'can_draw', 'draw_a', 'a_crowd', 'crowd_is', 'is_not', 'not_it']",0.0,0.19649779796600345,5.5,4.231311706629057,4.936530324400566,0,0.0,,,,82.29,85.13
21,"00:01:25,210","00:01:27,128",My level of fame is not that high.,line_0021.wav,24.297523,96.710526,-1.0,97.710526,31.23866,0.5783289817232375,0.010802905,0.0008266158999999999,0.020504292,0.019677676,0.005932651999999999,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,3.5,0.3,0.575,0.125,3.25,0.7747393846511841,0.875,8.0,"['my_level', 'level_of', 'of_fame', 'fame_is', 'is_not', 'not_that', 'that_high']",0.0,0.18701624870300293,3.5,4.171011470281528,4.69238790406672,1,3.740000000000009,"#9, ","86.41, ","90.15, ",85.21,87.13
22,"00:01:27,212","00:01:28,046",[audience laughs],line_0022.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0030376518,0.0015656821,0.004803145,0.0032374626,0.0008539939300000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,87.21,88.05
23,"00:01:28,129","00:01:30,340","This is my level of fame, if I'm walking down the street,",line_0023.wav,47.341763,94.23076999999999,-1.0,95.23076999999999,29.685021999999996,0.21956769055745165,0.013027986,0.0007770280400000001,0.02713199,0.026354961,0.0062909923,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,6.0,0.125,0.75,0.125,3.3846153846153846,0.7139386534690857,0.9230769230769232,13.0,"['this_is', 'is_my', 'my_level', 'level_of', 'of_fame', 'fame_if', 'if_i', 'i_am', 'am_walking', 'walking_down', 'down_the', 'the_street']",0.0,0.10428063571453093,6.0,5.87969244685663,6.784260515603804,0,0.0,,,,88.13,90.34
24,"00:01:30,423","00:01:32,425","and somebody says, ""Are you Judd Apatow?""",line_0024.wav,44.194138,99.324326,-1.0,100.324326,31.365543,0.3093434343434344,0.011112153999999999,0.0008937577,0.021425617999999997,0.02053186,0.005335403000000001,0.0,0.0,0.0,0.2,0.4,0.4,3.0,0.04166666666666666,0.875,0.08333333333333333,4.428571428571429,0.6673954725265503,0.8571428571428572,7.0,"['and_somebody', 'somebody_says', 'says_are', 'are_you', 'you_judd', 'judd_apatow']",0.0,-0.1750265210866928,3.0,3.4965034965035047,3.9960039960040055,0,0.0,,,,90.42,92.42
25,"00:01:32,509","00:01:34,886","If I say no, they go, ""All right.""",line_0025.wav,39.843567,116.05263500000001,-1.0,117.05263500000001,28.960842,0.2948038176033934,0.0113146305,0.0009265717,0.021545533,0.020618962,0.006430128,0.0,0.5,0.0,0.0,0.0,0.5,3.5,0.0,0.8125,0.1875,2.75,0.7463561892509459,0.875,8.0,"['if_i', 'i_say', 'say_no', 'no_they', 'they_go', 'go_all', 'all_right']",0.0,0.397118479013443,3.5,3.3655868742111967,3.3655868742111967,2,4.549999999999997,"#10, #11, ","92.55, 94.22, ","93.33, 97.99, ",92.51,94.89
26,"00:01:34,969","00:01:36,387",[audience laughs],line_0026.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.010591471000000002,0.0047589517,0.015197376,0.010438424,0.0028527920000000003,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,94.97,96.39
