,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:14,880","00:00:16,480","[emcee] <i>Ladies and gentlemen,</i>",line_0000.wav,5.7148724,61.9382,-1.0,62.9382,17.842926000000002,0.8740157480314961,0.03242396,0.007385755999999999,0.08310074,0.07571499,0.01908344,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.88,16.48
1,"00:00:16,560","00:00:20,280",<i>welcome to</i> Kavin Jay: Everybody Calm Down!,line_0001.wav,39.95596,134.45122,-1.0,135.45122,34.133167,0.3418918918918919,0.034106076,0.00558812,0.07099911,0.06541099,0.016898945,,,,,,,,,,,,,,,,,,,,,1,52.10000000000001,"#1, ","19.58, ","71.68, ",16.56,20.28
2,"00:00:20,360","00:00:22,720","[crowd cheering] <i>Now, please put your hands together</i>",line_0002.wav,9.377761,126.72413999999999,-1.0,127.72413999999999,29.19019,0.873269435569755,0.035637785,0.0140594095,0.064887464,0.050828055,0.013162533,0.2,0.4,0.0,0.2,0.0,0.2,2.5,0.0,0.875,0.125,4.833333333333333,0.6148673892021179,0.8333333333333334,6.0,"['now_please', 'please_put', 'put_your', 'your_hands', 'hands_together']",0.0,0.2778916358947754,2.5,2.5423728813559334,3.3898305084745766,0,0.0,,,,20.36,22.72
3,"00:00:22,800","00:00:25,320","<i>for the guy whose name is in the title,</i>",line_0003.wav,19.143291,78.19149,-1.0,79.19149,26.828041,0.6242544731610338,0.035244405,0.016277252,0.057612877,0.041335627,0.012356658999999999,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,4.0,0.03125,0.90625,0.0625,3.333333333333333,0.555485725402832,0.8888888888888888,9.0,"['for_the', 'the_guy', 'guy_whose', 'whose_name', 'name_is', 'is_in', 'in_the', 'the_title']",0.0,0.250063955783844,4.0,3.571428571428572,3.968253968253969,0,0.0,,,,22.8,25.32
4,"00:00:25,400","00:00:28,440",<i>Kavin Jay!</i>,line_0004.wav,28.475673999999998,82.27611999999999,-1.0,83.27611999999999,25.747272,0.4205298013245033,0.0435305,0.016554466,0.059266716,0.04271225,0.0090229465,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,4.0,0.17135418951511386,0.5,2.0,['kavin_jay'],0.0,0.17135418951511386,0.5,0.6578947368421046,0.3289473684210523,0,0.0,,,,25.4,28.44
5,"00:00:28,520","00:00:31,440",[loud applause],line_0005.wav,0.9568436,64.47369,-1.0,65.47369,10.18533,0.9639794168096056,0.028126927000000003,0.018028628,0.045200314000000005,0.027171686,0.0064710257999999994,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,28.52,31.44
6,"00:00:33,480","00:00:36,080",[crowd cheering],line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.03141102,0.021911497999999998,0.049390137,0.027478639,0.006908414399999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,33.48,36.08
7,"00:00:36,720","00:00:40,320",[upbeat music playing],line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.037866794,0.022568532999999998,0.06498562,0.042417087,0.007850458000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,36.72,40.32
8,"00:00:45,040","00:00:47,120","Singapore, how are you guys doing?",line_0008.wav,15.408907000000001,119.83696,-1.0,120.83696,32.451614,0.7779111644657863,0.03876985,0.005735805,0.07007778,0.06434197,0.018837446,0.0,0.2,0.0,0.2,0.2,0.4,2.5,0.04166666666666666,0.875,0.08333333333333333,4.5,0.7103059887886047,0.8333333333333334,6.0,"['singapore_how', 'how_are', 'are_you', 'you_guys', 'guys_doing']",0.0,0.10426536202430724,2.5,2.884615384615387,4.32692307692308,0,0.0,,,,45.04,47.12
9,"00:00:47,200","00:00:49,200",[audience cheering],line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.027245104,0.005249604000000001,0.0414846,0.036234997000000005,0.009932303,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,47.2,49.2
10,"00:00:49,560","00:00:52,120","Oh, yeah, it's a lot... It took a lot of balls.",line_0010.wav,12.335425,183.75,-1.0,184.75,38.673621999999995,0.8907480314960631,0.031908575,0.0033263622,0.05782549,0.054499127,0.013684067,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.2857142857142857,5.5,0.025,0.925,0.05,2.583333333333333,0.9999999403953552,0.9166666666666666,12.0,"['oh_yeah', 'yeah_it', 'it_is', 'is_a', 'a_lot', 'lot_it', 'it_took', 'took_a', 'a_lot', 'lot_of', 'of_balls']",0.0,0.13548004627227786,5.5,4.687500000000009,4.687500000000009,0,0.0,,,,49.56,52.12
11,"00:00:52,200","00:00:55,280",It took a lot of balls for a Malaysian guy to shoot his special,line_0011.wav,10.227249,116.05263500000001,-1.0,117.05263500000001,26.826574,0.8396072013093291,0.02950431,0.0028025573,0.056884885,0.054082327,0.016585667,0.3,0.0,0.2,0.3,0.0,0.2,6.5,0.0,1.0,0.0,3.571428571428572,0.6247380971908569,0.9285714285714286,14.0,"['it_took', 'took_a', 'a_lot', 'lot_of', 'of_balls', 'balls_for', 'for_a', 'a_malaysian', 'malaysian_guy', 'guy_to', 'to_shoot', 'shoot_his', 'his_special']",0.0,-0.03646450862288475,6.5,4.545454545454548,5.519480519480521,0,0.0,,,,52.2,55.28
12,"00:00:55,360","00:00:56,840",in Singapore.,line_0012.wav,9.42773,94.23076999999999,-1.0,95.23076999999999,21.99086,0.8079584775086506,0.029930111000000002,0.005957416,0.062335484000000004,0.056378067000000004,0.018324453,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,5.5,0.1376512199640274,0.5,2.0,['in_singapore'],0.0,0.1376512199640274,0.5,1.3513513513513478,2.7027027027026955,0,0.0,,,,55.36,56.84
13,"00:00:57,360","00:01:00,840","Oh, this is gonna be... You guys look beautiful. All right, uh...",line_0013.wav,24.363804000000002,113.65978999999999,-1.0,114.65978999999999,38.172783,0.6820143884892086,0.03378064,0.0030197643,0.06636903400000001,0.06334927,0.017600163999999998,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,6.0,0.03125,0.75,0.21875,3.615384615384616,0.7673532962799072,0.9230769230769232,13.0,"['oh_this', 'this_is', 'is_going', 'going_to', 'to_be', 'be_you', 'you_guys', 'guys_look', 'look_beautiful', 'beautiful_all', 'all_right', 'right_uh']",0.0,0.17539702355861664,6.0,3.7356321839080415,4.597701149425283,0,0.0,,,,57.36,60.84
14,"00:01:00,920","00:01:02,360","Singaporeans, make some noise!",line_0014.wav,14.910853,175.0,-1.0,176.0,41.818540000000006,0.8330404217926186,0.03186267,0.0015061194000000001,0.07188361,0.07037749,0.020341298,0.0,0.0,0.25,0.25,0.25,0.25,1.5,0.0,1.0,0.0,6.25,0.6798356175422668,0.75,4.0,"['singaporeans_make', 'make_some', 'some_noise']",0.0,-0.01058093924075365,1.5,2.7777777777777817,5.555555555555563,0,0.0,,,,60.92,62.36
15,"00:01:02,720","00:01:04,599",[crowd cheering],line_0015.wav,4.813276999999999,49.662163,-1.0,50.662163,15.2414875,0.87248322147651,0.030265866000000002,0.015158801000000001,0.044468474,0.029309671000000002,0.0075810980000000005,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,62.72,64.6
16,"00:01:04,680","00:01:06,680","Malaysians, make some noise!",line_0016.wav,2.0967522,56.53846,-1.0,57.53846,12.366652,0.940880503144654,0.03134669,0.007661373000000001,0.055283733,0.04762236,0.014399908999999999,0.0,0.0,0.25,0.25,0.25,0.25,1.5,0.0,1.0,0.0,5.75,0.6798356175422668,0.75,4.0,"['malaysians_make', 'make_some', 'some_noise']",0.0,-0.042427081614732735,1.5,2.0,3.0,0,0.0,,,,64.68,66.68
17,"00:01:06,760","00:01:07,920",[crowd cheering],line_0017.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.024028854,0.011494808,0.034757752,0.023262944,0.0058797416,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,66.76,67.92
18,"00:01:08,000","00:01:09,720","I would like to thank the production company,",line_0018.wav,15.601217000000002,99.324326,-1.0,100.324326,33.66106,0.8017621145374451,0.018430658,0.0031151318,0.04624206,0.043126925999999996,0.012885414,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5,3.5,0.0,0.96875,0.03125,4.625,0.6969767212867737,0.875,8.0,"['i_would', 'would_like', 'like_to', 'to_thank', 'thank_the', 'the_production', 'production_company']",0.0,0.08813013881444931,3.5,4.6511627906976765,6.976744186046517,0,0.0,,,,68.0,69.72
19,"00:01:09,800","00:01:12,840","because, uh, they put me up in a very nice hotel. All right.",line_0019.wav,33.326384999999995,88.91129000000001,-1.0,89.91129000000001,30.221885999999998,0.4127906976744186,0.022609154,0.00047974914000000005,0.07026935,0.06978960000000001,0.019380886,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,6.0,0.04166666666666666,0.6458333333333334,0.3125,3.3846153846153846,0.8033632636070251,0.9230769230769232,13.0,"['because_uh', 'uh_they', 'they_put', 'put_me', 'me_up', 'up_in', 'in_a', 'a_very', 'very_nice', 'nice_hotel', 'hotel_all', 'all_right']",0.0,0.06784911453723907,6.0,4.276315789473675,5.263157894736831,0,0.0,,,,69.8,72.84
20,"00:01:12,920","00:01:17,080","It's so posh, that the towels are so fluffy,",line_0020.wav,15.008545999999999,147.0,-1.0,148.0,33.793964,0.8065099457504521,0.019323168,0.0004757558,0.06331425,0.062838495,0.017725758,0.25,0.25,0.125,0.125,0.0,0.25,4.5,0.03571428571428571,0.8392857142857143,0.125,3.4,0.8309826850891113,0.9,10.0,"['it_is', 'is_so', 'so_posh', 'posh_that', 'that_the', 'the_towels', 'towels_are', 'are_so', 'so_fluffy']",0.0,0.07711811363697052,4.5,2.4038461538461555,2.884615384615387,1,5.070000000000007,"#2, ","72.94, ","78.01, ",72.92,77.08
21,"00:01:17,480","00:01:19,120",I couldn't close my suitcase.,line_0021.wav,8.096647,86.81102,-1.0,87.81102,24.278212,0.8725038402457758,0.021264024,0.0011580008,0.06407259,0.06291459,0.016114272,0.2,0.2,0.0,0.2,0.0,0.4,2.5,0.20833333333333331,0.7916666666666666,0.0,4.0,0.78414386510849,0.8333333333333334,6.0,"['i_could', 'could_not', 'not_close', 'close_my', 'my_suitcase']",0.0,0.1512455940246582,2.5,3.658536585365853,4.268292682926829,1,13.079999999999998,"#3, ","78.68, ","91.76, ",77.48,79.12
22,"00:01:20,040","00:01:22,440",[loud laughter],line_0022.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.033692107,0.02562379,0.04223269599999999,0.016608905,0.0043280395,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,80.04,82.44
23,"00:01:23,320","00:01:24,920",[audience applauding],line_0023.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.025560476000000002,0.017575493,0.03233714,0.014761647,0.003464951,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,83.32,84.92
24,"00:01:27,360","00:01:29,480",I had to take out the shampoo and conditioner.,line_0024.wav,4.2799354,136.11111,-1.0,137.11111,24.964980999999998,0.9570405727923628,0.03909879,0.009718705,0.071165584,0.06144688,0.0175038,0.0,0.0,0.2,0.4,0.0,0.4,4.0,0.0,0.9375,0.0625,4.111111111111111,0.7394325137138367,0.8888888888888888,9.0,"['i_had', 'had_to', 'to_take', 'take_out', 'out_the', 'the_shampoo', 'shampoo_and', 'and_conditioner']",0.0,0.11554501950740816,4.0,4.245283018867916,6.1320754716981,0,0.0,,,,87.36,89.48
25,"00:01:29,560","00:01:31,160",[laughter],line_0025.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.022702853999999998,0.009584236999999999,0.0312947,0.021710463,0.0063623386,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,89.56,91.16
26,"00:01:32,000","00:01:33,840","All right, before I start, ladies and gentlemen,",line_0026.wav,26.69985,137.8125,-1.0,138.8125,39.785362,0.5991792065663475,0.03453227,0.003233996,0.07286844,0.06963444,0.020064883000000002,0.0,0.4,0.0,0.4,0.0,0.2,3.5,0.0,0.825,0.175,4.75,0.6840725541114807,0.875,8.0,"['all_right', 'right_before', 'before_i', 'i_start', 'start_ladies', 'ladies_and', 'and_gentlemen']",0.0,0.1693040132522583,3.5,4.3478260869565135,6.521739130434772,1,1.1500000000000057,"#4, ","92.41, ","93.56, ",92.0,93.84
27,"00:01:33,920","00:01:36,560","please, please give yourselves a round of applause.",line_0027.wav,20.333485,66.01796999999999,-1.0,67.01796999999999,26.247156,0.5977229601518027,0.029075458999999998,0.0021505656,0.07055099,0.06840043,0.018044056,0.0,0.0,0.2,0.6,0.0,0.2,3.5,0.04166666666666666,0.8333333333333334,0.125,5.25,0.5889089107513428,0.875,8.0,"['please_please', 'please_give', 'give_yourselves', 'yourselves_a', 'a_round', 'round_of', 'of_applause']",0.0,0.14316734671592712,3.5,3.03030303030303,3.7878787878787867,1,6.920000000000002,"#5, ","95.96, ","102.88, ",93.92,96.56
28,"00:01:37,160","00:01:40,360",[applauding],line_0028.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019909818,0.010916901000000001,0.04051180000000001,0.029594902000000003,0.0055706636,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,97.16,100.36
29,"00:01:40,840","00:01:43,840","I love that phrase, right, ""Give yourselves a round of applause.""",line_0029.wav,20.73078,126.72413999999999,-1.0,127.72413999999999,34.822540000000004,0.6824605153782212,0.02738648,0.00256518,0.06599471,0.06342953,0.01599956,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.2222222222222222,5.0,0.02083333333333333,0.7916666666666666,0.1875,4.545454545454546,0.6886172890663147,0.9090909090909092,11.0,"['i_love', 'love_that', 'that_phrase', 'phrase_right', 'right_give', 'give_yourselves', 'yourselves_a', 'a_round', 'round_of', 'of_applause']",0.0,0.14983069896697998,5.0,3.6666666666666665,4.333333333333333,1,3.3699999999999903,"#6, ","103.65, ","107.02, ",100.84,103.84
30,"00:01:43,920","00:01:45,840","It's such a beautiful phrase, right?",line_0030.wav,15.329406,190.08621000000002,-1.0,191.08621000000002,33.379646,0.7522816166883963,0.02149414,0.0009700194,0.064170085,0.063200064,0.018203557,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,3.0,0.05,0.7,0.25,4.142857142857143,0.7078148126602173,0.8571428571428572,7.0,"['it_is', 'is_such', 'such_a', 'a_beautiful', 'beautiful_phrase', 'phrase_right']",0.0,0.17548003792762756,3.0,3.6458333333333304,4.687499999999996,0,0.0,,,,103.92,105.84
31,"00:01:45,920","00:01:49,640","A lot of emcees use it, a lot of, uh, you know, comedians use it.",line_0031.wav,28.067574,118.54838600000001,-1.0,119.54838600000001,30.280703000000003,0.4888739042481456,0.0267855,0.0012652245,0.07322139999999999,0.07195617,0.017553886,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.3333333333333333,7.0,0.0,1.0,0.0,3.066666666666667,1.0000001192092896,0.9333333333333332,15.0,"['a_lot', 'lot_of', 'of_emcees', 'emcees_use', 'use_it', 'it_a', 'a_lot', 'lot_of', 'of_uh', 'uh_you', 'you_know', 'know_comedians', 'comedians_use', 'use_it']",0.0,-0.08611047267913817,7.0,4.03225806451613,4.569892473118282,0,0.0,,,,105.92,109.64
32,"00:01:49,720","00:01:52,800",But it's one of those things where I find it to be very Asian.,line_0032.wav,25.82763,118.54838600000001,-1.0,119.54838600000001,33.78427,0.5769230769230769,0.025316607,0.0009020862599999999,0.07131159,0.07040951,0.017949885,0.125,0.25,0.125,0.125,0.0,0.375,7.0,0.08333333333333333,0.7916666666666666,0.125,3.2,0.842005729675293,0.9333333333333332,15.0,"['but_it', 'it_is', 'is_one', 'one_of', 'of_those', 'those_things', 'things_where', 'where_i', 'i_find', 'find_it', 'it_to', 'to_be', 'be_very', 'very_asian']",0.0,0.11620105803012848,7.0,4.8701298701298725,5.519480519480521,1,7.170000000000002,"#7, ","110.14, ","117.31, ",109.72,112.8
