,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,673","00:00:08,675",[hip hop music playing],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019131672,1.4578904e-06,0.04488319,0.044881735,0.013564079,,,,,,,,,,,,,,,,,,,,,1,31.28,"#1, ","9.94, ","41.22, ",6.67,8.68
1,"00:00:15,223","00:00:16,182",♪ <i>Yeah! </i>♪,line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021400368,0.009257941,0.039184447000000004,0.029926507,0.008268894,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,15.22,16.18
2,"00:00:18,018","00:00:19,227",♪ <i>Siege </i>♪,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.024018897,0.012577493,0.03545813,0.022880636,0.006398284000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,18.02,19.23
3,"00:00:19,310","00:00:21,312",[audience cheering],line_0003.wav,12.073926,64.47369,-1.0,65.47369,20.519497,0.7090680100755667,0.023862781,0.013171895,0.038160264,0.024988367999999997,0.006804881600000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.31,21.31
4,"00:00:21,396","00:00:23,773",[music continuing],line_0004.wav,10.006149,65.625,-1.0,66.625,19.809984,0.7611464968152867,0.021841861,0.013505818000000001,0.03377696,0.020271143000000002,0.0051970207,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,21.4,23.77
5,"00:00:24,315","00:00:25,942","♪ <i>Yeah</i>, <i>yeah!</i> ♪",line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020935927,0.013208088,0.035122413,0.021914326,0.005380903,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,24.32,25.94
6,"00:00:26,026","00:00:28,486",♪ <i>And when you hear the sound</i> <i>Of the drum</i> ♪,line_0006.wav,4.594716,65.625,-1.0,66.625,16.652584,0.8977505112474438,0.020057209,0.015961362,0.026789404,0.010828042,0.0021082198,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,26.03,28.49
7,"00:00:28,862","00:00:31,281","♪ <i>We'll be saying, ""Here we come!</i>"" ♪",line_0007.wav,0.89878297,54.579209999999996,-1.0,55.579209999999996,9.428017,0.96086508753862,0.022184412999999997,0.016667578,0.028704274,0.012036696000000001,0.002583504,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,28.86,31.28
8,"00:00:33,283","00:00:34,951","♪ <i>Yeah, here we come </i>♪ ♪ <i>Hey, here we come </i>♪",line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.025546914,0.017430921999999998,0.036563445,0.019132523000000002,0.005121537,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,33.28,34.95
9,"00:00:39,497","00:00:41,082",♪ <i>Huh! Here we come </i>♪,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.02666934,0.020472406999999998,0.03284915,0.012376743999999999,0.00336132,,,,,,,,,,,,,,,,,,,,,1,11.590000000000003,"#2, ","41.43, ","53.02, ",39.5,41.08
