,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:15,682","00:00:16,933",<i>Go ahead and do the lights.</i>,line_0000.wav,10.4957905,49.662163,-1.0,50.662163,19.790712,0.7464788732394366,0.0073724724,0.0026606691999999997,0.021918755,0.019258086,0.0065080915,,,,,,,,,,,,,,,,,,,,,1,6.969999999999999,"#2, ","20.89, ","27.86, ",15.68,16.93
1,"00:00:21,354","00:00:24,190",<i>[audience cheering]</i>,line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.023603417,0.007304624,0.034109323999999996,0.026804700000000004,0.0062325769999999996,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,21.35,24.19
2,"00:00:25,817","00:00:26,651",<i>Go ahead.</i>,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.009357681,0.007375781,0.014819678000000001,0.007443897,0.0015272526999999998,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,25.82,26.65
3,"00:00:27,610","00:00:30,989","<i>Ladies and gentlemen, Louis C.K.</i>",line_0003.wav,35.30364,139.55696,-1.0,140.55696,33.554096,0.3943241224794623,0.07704896,0.012446513000000001,0.23785561,0.2254091,0.052195877,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.9375,0.0625,5.0,0.6840725541114807,0.8,5.0,"['ladies_and', 'and_gentlemen', 'gentlemen_louis', 'louis_ck']",0.0,0.04095010086894035,2.0,1.4797277300976617,2.367564368156258,1,52.18,"#3, ","29.35, ","81.53, ",27.61,30.99
4,"00:00:31,197","00:00:32,866",<i>[audience cheering]</i>,line_0004.wav,1.7782077,47.317596,-1.0,48.317596,10.848801,0.938345864661654,0.055046037,0.04486695,0.10334206,0.058475114,0.00949885,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,31.2,32.87
5,"00:01:13,948","00:01:14,866",<i>Hello.</i>,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.086364836,0.046944125999999996,0.22315799,0.17621386,0.05157807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.089324618736376,2.178649237472752,0,0.0,,,,73.95,74.87
6,"00:01:16,785","00:01:17,702",<i>Thank you.</i>,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.058970317,0.028236143,0.14404361,0.115807466,0.038639177000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.181025081788437,2.181025081788437,0,0.0,,,,76.78,77.7
7,"00:01:19,287","00:01:20,705",<i>Thank you very much.</i>,line_0007.wav,37.424865999999994,85.79767,-1.0,86.79767,25.130442000000002,0.2616487455197133,0.06148966,0.009100964,0.11635515,0.107254185,0.040996734,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.08333333333333333,0.7916666666666666,0.125,4.0,0.7721424102783203,0.75,4.0,"['thank_you', 'you_very', 'very_much']",0.0,0.4849710166454315,1.5,2.8208744710860523,3.526093088857565,0,0.0,,,,79.29,80.7
8,"00:01:21,581","00:01:22,540",<i>Thank you.</i>,line_0008.wav,13.6505165,91.875,-1.0,92.875,24.47257,0.7287234042553191,0.03508672,0.001139026,0.1104135,0.10927448,0.041476455,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.0855057351407646,2.0855057351407646,1,1.8100000000000023,"#4, ","81.97, ","83.78, ",81.58,82.54
9,"00:01:23,083","00:01:24,292",<i>Um...</i>,line_0009.wav,29.231955,64.09884,-1.0,65.09884,26.650996999999997,0.4252631578947368,0.054689877000000005,0.004263687,0.15022494,0.14596125,0.04309768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.8271298593879217,0.8271298593879217,1,9.900000000000006,"#5, ","85.53, ","95.43, ",83.08,84.29
10,"00:01:24,375","00:01:27,587","<i>-So, you know, I think abortion is, um...</i> <i>-[audience laughing]</i>",line_0010.wav,29.671383000000002,81.666664,-1.0,82.666664,32.569973,0.5167315175097277,0.059475217000000004,0.0021388247,0.20881188,0.20667306,0.051072385,0.0,0.2,0.0,0.2,0.0,0.6,3.5,0.025,0.925,0.05,3.375,0.8850709199905396,0.875,8.0,"['so_you', 'you_know', 'know_i', 'i_think', 'think_abortion', 'abortion_is', 'is_um']",0.0,0.1035478338599205,3.5,2.4906600249065978,3.113325031133247,0,0.0,,,,84.38,87.59
11,"00:01:27,796","00:01:28,630",<i>I...</i>,line_0011.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.011774613,0.0073546716,0.021967625,0.014612954,0.0037813282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,[],0.0,1.0,0.0,1.199040767386107,1.199040767386107,0,0.0,,,,87.8,88.63
12,"00:01:32,425","00:01:33,551",<i>Here's what I think.</i>,line_0012.wav,11.365642,84.16031,-1.0,85.16031,27.279373,0.8280542986425339,0.049027175,0.005840845999999999,0.19850492,0.19266407,0.058359113,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.5,0.0,1.0,0.0,3.75,0.8441893458366394,0.75,4.0,"['heres_what', 'what_i', 'i_think']",0.0,0.3660452961921692,1.5,3.552397868561264,2.664298401420948,0,0.0,,,,92.42,93.55
13,"00:01:33,635","00:01:34,969",<i>[audience laughing]</i>,line_0013.wav,19.96673,69.55836,-1.0,70.55836,23.897692000000003,0.5597722960151803,0.02755125,0.011322101999999999,0.108452424,0.09713032,0.02305604,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,93.64,94.97
