,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,005","00:00:07,173",[Marc urinating into toilet],line_0000.wav,8.511007000000001,58.33333199999999,-1.0,59.33333199999999,18.985468,0.7964989059080962,0.0011407802,0.00033671062999999997,0.0022224723,0.0018857617000000001,0.0003423843,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.0,7.17
1,"00:00:18,218","00:00:19,753",[toilet flushing],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0017422682999999998,0.00043586208,0.0048012477000000005,0.0043653855,0.0010190565,,,,,,,,,,,,,,,,,,,,,1,4.479999999999997,"#0, ","21.6, ","26.08, ",18.22,19.75
2,"00:00:30,630","00:00:32,799","[audience cheering, Marc sighs]",line_0002.wav,6.868947,75.5137,-1.0,76.5137,18.494022,0.8432748538011696,0.0016770412,0.0005860462599999999,0.006057951999999999,0.0054719057,0.0012923926,,,,,,,,,,,,,,,,,,,,,2,48.71000000000001,"#1, #2, ","32.39, 34.98, ","33.38, 82.7, ",30.63,32.8
3,"00:01:19,512","00:01:20,647",All right.,line_0003.wav,30.075998,70.67308,-1.0,71.67308,25.827696,0.4004424778761062,0.014614847,0.0043170834,0.02331685,0.018999767,0.005662291999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.625,0.375,4.0,0.5601648092269897,0.5,2.0,['all_right'],0.0,0.5601648092269897,0.5,1.7621145374449259,1.7621145374449259,0,0.0,,,,79.51,80.65
4,"00:01:22,615","00:01:23,616",I can't take it.,line_0004.wav,12.08394,58.33333199999999,-1.0,59.33333199999999,22.881252,0.7524752475247525,0.012441913999999998,0.004198994,0.022503005,0.01830401,0.00561245,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,2.0,0.20833333333333331,0.7916666666666666,0.0,2.6,0.7385974526405334,0.8,5.0,"['i_can', 'can_not', 'not_take', 'take_it']",0.0,0.4446162283420563,2.0,4.995004995004972,4.995004995004972,1,2.680000000000007,"#3, ","84.13, ","86.81, ",82.61,83.62
5,"00:01:24,184","00:01:25,385",[audience laughing],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0077091645999999995,0.0013328084,0.014664585,0.0133317765,0.0038954942,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,84.18,85.39
6,"00:01:26,586","00:01:28,354",I don't know what he's gonna do next.,line_0006.wav,21.874792000000003,155.2817,-1.0,156.2817,41.347429999999996,0.7187060478199718,0.010213489000000001,0.00054892775,0.026665376,0.02611645,0.0065776566000000005,0.125,0.125,0.0,0.125,0.0,0.625,5.0,0.10714285714285714,0.8571428571428571,0.03571428571428571,2.8181818181818183,0.8698912858963013,0.9090909090909092,11.0,"['i_do', 'do_not', 'not_know', 'know_what', 'what_he', 'he_is', 'is_going', 'going_to', 'to_do', 'do_next']",0.0,0.32780295610427856,5.0,6.221719457013572,6.7873303167420795,1,2.1500000000000057,"#4, ","88.36, ","90.51, ",86.59,88.35
7,"00:01:28,421","00:01:29,789",[audience laughing],line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0051821964,0.0006279676,0.0102156205,0.009587653,0.0026980857,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,88.42,89.79
8,"00:01:30,490","00:01:31,658","People that voted for him,",line_0008.wav,13.120853,64.85294,-1.0,65.85294,23.153883,0.7239130434782609,0.0135865975,0.0007177166000000001,0.031808752999999995,0.031091036000000002,0.008505471,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,1.0,0.0,4.2,0.6364176869392395,0.8,5.0,"['people_that', 'that_voted', 'voted_for', 'for_him']",0.0,0.1959376037120819,2.0,4.280821917808197,5.993150684931473,0,0.0,,,,90.49,91.66
9,"00:01:31,724","00:01:33,359",they don't know what he's gonna do next.,line_0009.wav,27.857028999999997,97.56636999999999,-1.0,98.56636999999999,27.431057,0.4465116279069768,0.013329761,0.0044074959999999995,0.021299537,0.016892042,0.004495946,0.125,0.125,0.0,0.125,0.0,0.625,5.0,0.10714285714285714,0.8571428571428571,0.03571428571428571,3.0909090909090913,0.8698912858963013,0.9090909090909092,11.0,"['they_do', 'do_not', 'not_know', 'know_what', 'what_he', 'he_is', 'is_going', 'going_to', 'to_do', 'do_next']",0.0,0.3519751727581024,5.0,6.727828746177408,7.339449541284446,2,5.510000000000005,"#5, #6, ","92.74, 97.12, ","94.97, 100.4, ",91.72,93.36
