,filename,laughs,start,end,threshold,duration
1,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_1.wav,17.58,19.25,0.3,0.7
2,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_2.wav,20.21,23.93,0.3,0.7
3,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_3.wav,24.18,26.47,0.3,0.7
4,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_4.wav,26.55,39.98,0.3,0.7
5,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_5.wav,41.57,44.58,0.3,0.7
6,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_6.wav,47.45,48.73,0.3,0.7
7,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_7.wav,49.91,56.6,0.3,0.7
8,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_8.wav,59.15,60.54,0.3,0.7
9,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_9.wav,61.15,64.37,0.3,0.7
10,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_10.wav,66.66,71.95,0.3,0.7
11,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_11.wav,72.63,76.05,0.3,0.7
12,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_12.wav,78.77,81.57,0.3,0.7
13,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_13.wav,83.04,86.52,0.3,0.7
14,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_14.wav,88.65,90.99,0.3,0.7
15,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_15.wav,93.45,95.08,0.3,0.7
16,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_16.wav,99.47,102.27,0.3,0.7
17,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_17.wav,103.25,104.74,0.3,0.7
18,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_18.wav,105.65,107.32,0.3,0.7
19,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_19.wav,108.49,111.79,0.3,0.7
20,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_20.wav,112.83,114.89,0.3,0.7
21,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_21.wav,116.14,124.22,0.3,0.7
22,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_22.wav,125.23,128.15,0.3,0.7
23,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_23.wav,128.97,132.46,0.3,0.7
24,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_24.wav,135.65,136.66,0.3,0.7
25,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_25.wav,139.55,150.77,0.3,0.7
26,Marlon.Wayans.Woke.ish.2018.720p.WEB.x264.AMRAP-music.wav,/laughs/laugh_26.wav,151.82,159.54,0.3,0.7
