,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:04,173","00:00:05,591",Voicemail again?,line_0000.wav,16.766066,56.393864,-1.0,57.393864,23.96547,0.6423487544483986,0.03539255,0.011683799,0.1273224,0.11563860599999999,0.025639137000000003,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,7.0,0.1251683235168457,0.5,2.0,['voicemail_again'],0.0,0.1251683235168457,0.5,1.410437235543018,2.8208744710860363,0,0.0,,,,4.17,5.59
1,"00:00:06,092","00:00:07,677","Yo, Che!",line_0001.wav,40.48024,80.76923000000001,-1.0,81.76923000000001,28.623965999999996,0.2945859872611465,0.07008146,0.016420295,0.18355061,0.16713032,0.05363195,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2.5,0.3170133531093597,0.5,2.0,['yo_che'],0.0,0.3170133531093597,0.5,1.2618296529968454,1.2618296529968454,0,0.0,,,,6.09,7.68
2,"00:00:09,137","00:00:11,305","What they doing out here, man?",line_0002.wav,20.643620000000002,82.89474,-1.0,83.89474,29.430119,0.6391152502910361,0.06612267,0.015585834,0.12820517,0.11261933,0.04074139,0.0,0.25,0.0,0.5,0.0,0.25,2.5,0.0,1.0,0.0,3.8333333333333335,0.7201217412948608,0.8333333333333334,6.0,"['what_they', 'they_doing', 'doing_out', 'out_here', 'here_man']",0.0,0.33902719616889954,2.5,2.767527675276754,3.228782287822879,0,0.0,,,,9.14,11.3
3,"00:00:11,973","00:00:15,435","People out here doing specials, they just up there, just talking.",line_0003.wav,25.756829999999997,90.36885,-1.0,91.36885,32.477764,0.5779550398839739,0.06760834,0.016762799,0.18915601,0.17239322,0.052006252,0.0,0.5555555555555556,0.0,0.2222222222222222,0.0,0.2222222222222222,5.0,0.0,1.0,0.0,4.727272727272728,0.832728922367096,0.9090909090909092,11.0,"['people_out', 'out_here', 'here_doing', 'doing_specials', 'specials_they', 'they_just', 'just_up', 'up_there', 'there_just', 'just_talking']",0.0,0.14318694174289706,5.0,3.1773541305603703,4.332755632582323,0,0.0,,,,11.97,15.44
4,"00:00:16,477","00:00:18,771",[sighs] What they doing up there?,line_0004.wav,32.14013,139.55696,-1.0,140.55696,38.112675,0.4978070175438597,0.07431403,0.024550212999999998,0.18703227,0.16248205,0.040381506,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.0,1.0,0.0,4.0,0.7871053218841553,0.8,5.0,"['what_they', 'they_doing', 'doing_up', 'up_there']",0.0,0.5806222558021545,2.0,2.179598953792502,2.615518744551002,0,0.0,,,,16.48,18.77
5,"00:00:19,647","00:00:23,526","Like, they don't even make their specials special no more.",line_0005.wav,7.0459146,70.67308,-1.0,71.67308,18.288977,0.8345184227537169,0.07463516,0.01959059,0.18894568,0.1693551,0.04363756,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,5.0,0.08928571428571429,0.8928571428571429,0.017857142857142856,4.2727272727272725,0.821583092212677,0.9090909090909092,11.0,"['like_they', 'they_do', 'do_not', 'not_even', 'even_make', 'make_their', 'their_specials', 'specials_special', 'special_no', 'no_more']",0.0,0.13270315527915955,5.0,2.8357824181490066,3.609177623098736,0,0.0,,,,19.65,23.53
6,"00:00:23,609","00:00:27,113","You talking more like, that night, like the leather suit special.",line_0006.wav,9.157188,89.63415,-1.0,90.63415,24.68864,0.8498927805575411,0.07189878,0.02086351,0.19844572,0.17758220000000002,0.04514912,0.125,0.125,0.25,0.375,0.0,0.125,5.0,0.0,1.0,0.0,4.727272727272728,0.722402811050415,0.9090909090909092,11.0,"['you_talking', 'talking_more', 'more_like', 'like_that', 'that_night', 'night_like', 'like_the', 'the_leather', 'leather_suit', 'suit_special']",0.0,0.12133188545703888,5.0,3.1392694063926965,3.995433789954341,0,0.0,,,,23.61,27.11
7,"00:00:27,196","00:00:29,657",Remember when they used to do that back in the day?,line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.07596358,0.028708901000000002,0.17068124,0.14197233,0.03857047,0.0,0.25,0.25,0.125,0.0,0.375,5.0,0.0,1.0,0.0,3.636363636363636,0.7828874588012695,0.9090909090909092,11.0,"['remember_when', 'when_they', 'they_used', 'used_to', 'to_do', 'do_that', 'that_back', 'back_in', 'in_the', 'the_day']",0.0,0.3063108921051025,5.0,4.4697277529459605,5.282405526208861,0,0.0,,,,27.2,29.66
8,"00:00:29,741","00:00:31,075","Remember when they came out,",line_0008.wav,52.741043000000005,126.72413999999999,-1.0,127.72413999999999,44.413403,0.297196261682243,0.091188535,0.035897913999999996,0.18070833,0.14481042,0.03853284,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,4.6,0.7258171439170837,0.8,5.0,"['remember_when', 'when_they', 'they_came', 'came_out']",0.0,0.531539261341095,2.0,3.7481259370314848,5.24737631184408,0,0.0,,,,29.74,31.07
9,"00:00:31,159","00:00:35,204","they knew it would be their night, or some kind of extraness?",line_0009.wav,17.612258999999998,136.11111,-1.0,137.11111,33.624924,0.7365823565700185,0.07165292,0.019355753,0.17355299999999999,0.15419725,0.046213042,0.125,0.0,0.125,0.375,0.0,0.375,5.5,0.03125,0.90625,0.0625,4.0,0.8348053097724915,0.9166666666666666,12.0,"['they_knew', 'knew_it', 'it_would', 'would_be', 'be_their', 'their_night', 'night_or', 'or_some', 'some_kind', 'kind_of', 'of_extraness']",0.0,0.0,5.5,2.966625463535228,2.719406674907292,0,0.0,,,,31.16,35.2
