,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,674","00:00:10,593","<font color=""#ffff00"">This whole opening, you're sitting there freestyling, all right?</font>",line_0000.wav,28.14501,82.27611999999999,-1.0,83.27611999999999,27.469573999999998,0.4571183533447684,0.011012369,0.0027670276000000002,0.03771996,0.034952935,0.008220267,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,4.5,0.017857142857142856,0.8571428571428571,0.125,5.3,0.713990330696106,0.9,10.0,"['this_whole', 'whole_opening', 'opening_you', 'you_are', 'are_sitting', 'sitting_there', 'there_freestyling', 'freestyling_all', 'all_right']",0.0,-0.08978141844272614,4.5,3.4258307639602608,4.110996916752312,0,0.0,,,,7.67,10.59
1,"00:00:10,677","00:00:12,887","<font color=""#ffff00"">Eighty people around you, trying to keep up. They can't.</font>",line_0001.wav,15.408916,111.36363999999999,-1.0,112.36363999999999,27.294340000000002,0.7064846416382252,0.012494233,0.0030699545,0.030468782000000003,0.027398827999999997,0.007926924,0.0,0.2,0.0,0.2,0.0,0.6,5.0,0.125,0.875,0.0,4.090909090909091,0.8193506598472595,0.9090909090909092,11.0,"['eighty_people', 'people_around', 'around_you', 'you_trying', 'trying_to', 'to_keep', 'keep_up', 'up_they', 'they_can', 'can_not']",0.0,0.10683596134185792,5.0,4.977375565610858,6.7873303167420795,1,1.3899999999999988,"#1, ","11.97, ","13.36, ",10.68,12.89
2,"00:00:12,971","00:00:14,764","<font color=""#ffff00"">You pull back even further, and we...</font>",line_0002.wav,10.833609,60.911602,-1.0,61.911602,22.919548000000002,0.7881355932203391,0.0140607525,0.0024341894,0.036105335,0.033671144,0.009627555,0.0,0.75,0.0,0.0,0.0,0.25,3.0,0.0,0.96875,0.03125,3.8571428571428568,0.7461665272712708,0.8571428571428572,7.0,"['you_pull', 'pull_back', 'back_even', 'even_further', 'further_and', 'and_we']",0.0,0.3637922704219818,3.0,3.904071388733967,5.019520356943672,1,4.49,"#2, ","14.17, ","18.66, ",12.97,14.76
3,"00:00:14,848","00:00:17,183","<font color=""#ffff00"">That shit sounds fucking stupid.</font>",line_0003.wav,8.651777000000001,70.22293,-1.0,71.22293,20.114521,0.8079399141630901,0.010383416999999999,0.0028564476,0.030853862000000003,0.027997413999999998,0.007913733000000001,0.2,0.2,0.2,0.2,0.0,0.2,2.0,0.25,0.71875,0.03125,5.4,0.7410728931427002,0.8,5.0,"['that_shit', 'shit_sounds', 'sounds_fucking', 'fucking_stupid']",0.0,0.34715965390205383,2.0,2.1413276231263394,2.9978586723768754,0,0.0,,,,14.85,17.18
4,"00:00:17,267","00:00:21,604","<font color=""#ffff00"">Nobody watches that shit. Nobody watches the comedy special opening.</font>",line_0004.wav,44.793907,147.0,-1.0,148.0,37.216007,0.32025389497980383,0.013016014,0.002511117,0.043267414000000004,0.040756296000000004,0.010293014,0.1,0.0,0.2,0.5,0.0,0.2,4.5,0.03125,0.9375,0.03125,5.7,0.6788749098777771,0.9,10.0,"['nobody_watches', 'watches_that', 'that_shit', 'shit_nobody', 'nobody_watches', 'watches_the', 'the_comedy', 'comedy_special', 'special_opening']",0.0,0.10573016852140428,4.5,2.3057412958266084,4.842056721235878,1,1.240000000000002,"#3, ","20.74, ","21.98, ",17.27,21.6
5,"00:00:21,688","00:00:24,691","<font color=""#ffff00"">They're gonna fast-forward. Get the fuck on stage.</font>",line_0005.wav,35.6446,167.04546000000002,-1.0,168.04546000000002,42.262234,0.4815745393634841,0.013259803999999998,0.0023286687,0.044885334000000006,0.04255666599999999,0.011076916000000001,0.0,0.125,0.125,0.25,0.0,0.5,5.0,0.017857142857142856,0.8928571428571429,0.08928571428571429,3.8181818181818175,0.7864054441452026,0.9090909090909092,11.0,"['they_are', 'are_going', 'going_to', 'to_fast', 'fast_forward', 'forward_get', 'get_the', 'the_fuck', 'fuck_on', 'on_stage']",0.0,0.17815178632736206,5.0,3.663003663003663,4.329004329004329,1,1.370000000000001,"#4, ","23.97, ","25.34, ",21.69,24.69
6,"00:00:24,774","00:00:26,860","<font color=""#ffff00"">Just get the fuck on stage and do your act.</font>",line_0006.wav,29.803675,121.15385,-1.0,122.15385,41.60072,0.5971049457177322,0.013717008000000001,0.0031396782,0.036491554,0.033351876,0.008752515,0.125,0.125,0.125,0.375,0.0,0.25,4.5,0.0,0.9791666666666666,0.02083333333333333,3.3,0.7556095123291016,0.9,10.0,"['just_get', 'get_the', 'the_fuck', 'fuck_on', 'on_stage', 'stage_and', 'and_do', 'do_your', 'your_act']",0.0,0.17815178632736206,4.5,4.793863854266542,4.793863854266542,1,1.4800000000000004,"#5, ","25.96, ","27.44, ",24.77,26.86
7,"00:00:26,943","00:00:28,236","<font color=""#ffff00"">Okay, okay, okay.</font>",line_0007.wav,3.3573910000000002,49.662163,-1.0,50.662163,13.787231,0.9089147286821704,0.0050967475,0.0034922827,0.008818565,0.0053262822,0.0010714608999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.9999998807907104,0.6666666666666667,3.0,"['okay_okay', 'okay_okay']",0.0,0.9999998807907104,1.0,2.3201856148491893,4.6403712296983795,1,1.0199999999999996,"#6, ","29.1, ","30.12, ",26.94,28.24
8,"00:00:29,571","00:00:33,575","<font color=""#ffff00"">-But the thing with the helicopter... - Dude, get on the fucking stage.</font>",line_0008.wav,31.815240000000003,147.0,-1.0,148.0,44.959938,0.5969868173258004,0.015197406,0.0023557479,0.04342473,0.041068982000000004,0.010895286,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,6.0,0.05,0.9,0.05,4.333333333333333,0.7778709530830383,0.9230769230769232,12.0,"['but_the', 'the_thing', 'thing_with', 'with_the', 'the_helicopter', 'helicopter_', '_', '_dude', 'dude_get', 'get_on', 'on_the', 'the_fucking', 'fucking_stage']",0.0,0.0,6.0,2.9970029970029963,3.996003996003995,1,1.8800000000000026,"#7, ","33.36, ","35.24, ",29.57,33.58
9,"00:00:34,826","00:00:37,328","<font color=""#ffff00"">Don't show me. Just cut to the part where they say...</font>",line_0009.wav,23.190533,141.34616,-1.0,142.34616,31.768763,0.60481444332999,0.015345663999999998,0.0050606537,0.04219326,0.037132606,0.00988954,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,5.5,0.08928571428571429,0.8928571428571429,0.017857142857142856,3.25,0.7892993092536926,0.9166666666666666,12.0,"['do_not', 'not_show', 'show_me', 'me_just', 'just_cut', 'cut_to', 'to_the', 'the_part', 'part_where', 'where_they', 'they_say']",0.0,0.3081501126289368,5.5,4.7961630695443604,4.7961630695443604,0,0.0,,,,34.83,37.33
