,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:21,521","00:00:25,567","<font color=""#ffff00"">It's been 23 years since I did a comedy special.</font>",line_0000.wav,4.6076903,62.288136,-1.0,63.288136,15.51399,0.8827884022208513,0.026140397000000003,0.0051244074,0.06228184,0.05715743,0.013492816999999999,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,5.0,0.04166666666666666,0.875,0.08333333333333333,3.4545454545454546,0.6935866475105286,0.9090909090909092,11.0,"['it_is', 'is_been', 'been_23', '23_years', 'years_since', 'since_i', 'i_did', 'did_a', 'a_comedy', 'comedy_special']",0.0,0.050855781883001334,5.0,2.718734552644588,3.2130499258526943,1,2.3900000000000006,"#3, ","27.08, ","29.47, ",21.52,25.57
1,"00:00:28,194","00:00:29,612","<font color=""#ffff00"">And we're on our way now...</font>",line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0330524,0.0104074115,0.052743502000000005,0.04233609,0.011200406000000001,0.25,0.25,0.0,0.25,0.0,0.25,3.0,0.04166666666666666,0.875,0.08333333333333333,2.7142857142857144,0.7324849963188171,0.8571428571428572,7.0,"['and_we', 'we_are', 'are_on', 'on_our', 'our_way', 'way_now']",0.0,0.3297737240791321,3.0,4.936530324400566,5.641748942172077,1,3.640000000000004,"#4, ","30.81, ","34.45, ",28.19,29.61
2,"00:00:31,114","00:00:34,492","<font color=""#ffff00"">to the club where I'm gonna do it. It's the club where I started at.</font>",line_0002.wav,11.616614,101.14679,-1.0,102.14679,27.900694,0.8261834319526628,0.025934214,0.0047132964,0.057797294000000006,0.053083997,0.010116623,0.0,0.18181818181818185,0.18181818181818185,0.18181818181818185,0.0,0.4545454545454545,8.5,0.03571428571428571,0.8928571428571429,0.07142857142857142,3.0,0.7244448661804199,0.9444444444444444,18.0,"['to_the', 'the_club', 'club_where', 'where_i', 'i_am', 'am_going', 'going_to', 'to_do', 'do_it', 'it_it', 'it_is', 'is_the', 'the_club', 'club_where', 'where_i', 'i_started', 'started_at']",0.0,0.15471285581588745,8.5,5.328596802841924,5.9206631142688035,0,0.0,,,,31.11,34.49
3,"00:00:35,326","00:00:37,871","<font color=""#ffff00"">It's the Comedy Cellar. It was my home club...</font>",line_0003.wav,16.643857999999998,90.36885,-1.0,91.36885,30.110943,0.7408142999006951,0.025169142999999998,0.006408916,0.054105274,0.04769636,0.011840518000000001,0.125,0.0,0.125,0.25,0.25,0.25,4.5,0.0625,0.8125,0.125,3.4,0.9999999403953552,0.9,10.0,"['it_is', 'is_the', 'the_comedy', 'comedy_cellar', 'cellar_it', 'it_was', 'was_my', 'my_home', 'home_club']",0.0,0.07686473429203032,4.5,3.9292730844793686,5.108055009823179,1,3.990000000000002,"#5, ","35.36, ","39.35, ",35.33,37.87
4,"00:00:39,122","00:00:40,915","<font color=""#ffff00"">thirty years ago.</font>",line_0004.wav,19.400910999999997,90.36885,-1.0,91.36885,33.60941,0.7252440725244073,0.023951918,0.009393202,0.041961174000000004,0.03256797,0.007837315,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,4.666666666666667,0.6907759308815002,0.6666666666666667,3.0,"['thirty_years', 'years_ago']",0.0,0.3682706654071808,1.0,1.6731734523145574,2.7886224205242622,1,3.9299999999999997,"#6, ","40.59, ","44.52, ",39.12,40.91
5,"00:00:41,458","00:00:42,876","<font color=""#ffff00"">Thirty-two, actually.</font>",line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019579786999999998,0.010361738,0.036518656000000004,0.026156917000000002,0.0053879046,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.625,0.375,5.666666666666668,0.5600766539573669,0.6666666666666667,3.0,"['thirty_two', 'two_actually']",0.0,0.3299444317817688,1.0,2.1156558533145287,4.936530324400566,0,0.0,,,,41.46,42.88
6,"00:00:44,002","00:00:47,714","<font color=""#ffff00"">And... I used to come here from Queens every night.</font>",line_0006.wav,6.4261029999999995,99.324326,-1.0,100.324326,22.110931,0.8953804347826086,0.023760677999999997,0.0046465364,0.050841242,0.046194705999999995,0.011834973,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,4.5,0.0,1.0,0.0,3.8,0.6240974068641663,0.9,10.0,"['and_i', 'i_used', 'used_to', 'to_come', 'come_here', 'here_from', 'from_queens', 'queens_every', 'every_night']",0.0,0.121827632188797,4.5,2.693965517241382,3.2327586206896584,1,4.029999999999994,"#7, ","48.34, ","52.37, ",44.0,47.71
7,"00:00:48,965","00:00:52,218","<font color=""#ffff00"">Drive in... at least six nights a week.</font>",line_0007.wav,2.9069226,72.05882,-1.0,73.05882,15.8987,0.9428571428571428,0.019576691,0.01002987,0.040996585,0.030966714,0.0075831767,0.2,0.0,0.2,0.4,0.0,0.2,3.5,0.0,1.0,0.0,3.5,0.5367041230201721,0.875,8.0,"['drive_in', 'in_at', 'at_least', 'least_six', 'six_nights', 'nights_a', 'a_week']",0.0,0.17860712110996246,3.5,2.4592683676606213,2.4592683676606213,1,1.0399999999999991,"#8, ","52.94, ","53.98, ",48.97,52.22
8,"00:00:53,303","00:00:55,889","<font color=""#ffff00"">And hang at the Cellar and do spots.</font>",line_0008.wav,2.3529240000000002,52.5,-1.0,53.5,11.978914999999999,0.9269717624148004,0.025733441,0.0127160875,0.04497342,0.032257333,0.007212532,0.0,0.0,0.2,0.2,0.2,0.4,3.5,0.0,1.0,0.0,3.5,0.5624871850013733,0.875,8.0,"['and_hang', 'hang_at', 'at_the', 'the_cellar', 'cellar_and', 'and_do', 'do_spots']",0.0,0.10440877825021744,3.5,3.0935808197989103,3.4802784222737744,0,0.0,,,,53.3,55.89
9,"00:00:57,891","00:01:01,061","<font color=""#ffff00"">So, that's what we're gonna do. I figured, you know what?</font>",line_0009.wav,2.8660892999999996,55.681819999999995,-1.0,56.681819999999995,13.513281,0.923809523809524,0.020715214,0.0045569213,0.05173128,0.04717436,0.010505106,0.0,0.1,0.1,0.2,0.0,0.6,6.5,0.03571428571428571,0.8928571428571429,0.07142857142857142,3.2142857142857144,0.8698912858963013,0.9285714285714286,14.0,"['so_that', 'that_is', 'is_what', 'what_we', 'we_are', 'are_going', 'going_to', 'to_do', 'do_i', 'i_figured', 'figured_you', 'you_know', 'know_what']",0.0,0.3118368685245514,6.5,4.416403785488956,5.04731861198738,1,7.300000000000004,"#9, ","58.9, ","66.2, ",57.89,61.06
10,"00:01:02,353","00:01:03,271","<font color=""#ffff00"">Let's do it there.</font>",line_0010.wav,33.353138,109.15841999999999,-1.0,110.15841999999999,46.5837,0.6452513966480447,0.026262531000000002,0.004692405,0.059848353,0.055155947999999996,0.014574146000000001,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,2.8,0.7727184891700745,0.8,5.0,"['let_us', 'us_do', 'do_it', 'it_there']",0.0,0.5705149173736572,2.0,5.4466230936819215,5.4466230936819215,0,0.0,,,,62.35,63.27
11,"00:01:03,354","00:01:05,648","<font color=""#ffff00"">Let's do it at the Comedy Cellar, and let's kinda...</font>",line_0011.wav,10.449532000000001,88.2,-1.0,89.2,21.725029,0.7693989071038252,0.017529298000000002,0.0039018336999999998,0.041741543,0.03783971,0.010858042,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,5.5,0.0,1.0,0.0,3.25,0.7154400944709778,0.9166666666666666,12.0,"['let_us', 'us_do', 'do_it', 'it_at', 'at_the', 'the_comedy', 'comedy_cellar', 'cellar_and', 'and_let', 'let_us', 'us_kinda']",0.0,0.07686473429203032,5.5,5.231037489102012,6.974716652136017,0,0.0,,,,63.35,65.65
12,"00:01:06,066","00:01:08,568","<font color=""#ffff00"">Let's do it like a... like a guest spot.</font>",line_0012.wav,18.052025,103.037384,-1.0,104.037384,30.39773,0.6916076845298281,0.025166392000000003,0.008241579,0.06350775,0.05526617,0.013851611000000002,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,4.5,0.0,0.975,0.025,2.8,0.7154400944709778,0.9,10.0,"['let_us', 'us_do', 'do_it', 'it_like', 'like_a', 'a_like', 'like_a', 'a_guest', 'guest_spot']",0.0,0.2077035456895828,4.5,3.996802557953645,3.996802557953645,2,2.1700000000000017,"#10, #11, ","67.9, 69.71, ","68.91, 70.87, ",66.07,68.57
13,"00:01:10,236","00:01:11,696","<font color=""#ffff00"">It's a little bit...</font>",line_0013.wav,23.864779000000002,93.43220500000001,-1.0,94.43220500000001,35.188625,0.6442141623488774,0.026788294,0.0083190175,0.051930122,0.043611106,0.012855812,0.25,0.0,0.25,0.25,0.0,0.25,2.0,0.20833333333333331,0.7083333333333334,0.08333333333333333,2.8,0.7626197934150696,0.8,5.0,"['it_is', 'is_a', 'a_little', 'little_bit']",0.0,0.4418287575244904,2.0,3.42465753424659,4.109589041095909,0,0.0,,,,70.24,71.7
14,"00:01:12,864","00:01:16,701","<font color=""#ffff00"">I'm a little worried about it because there's no guarantee...</font>",line_0014.wav,16.468481,76.5625,-1.0,77.5625,26.525133,0.6874593892137751,0.021469167,0.0038318587,0.05324435,0.04941249,0.011353513999999999,0.125,0.25,0.25,0.125,0.0,0.25,5.5,0.25,0.6666666666666666,0.08333333333333333,4.083333333333333,0.8086063265800476,0.9166666666666666,12.0,"['i_am', 'am_a', 'a_little', 'little_worried', 'worried_about', 'about_it', 'it_because', 'because_there', 'there_is', 'is_no', 'no_guarantee']",0.0,0.11553476005792618,5.5,3.127443315089923,4.691164972634883,2,2.8100000000000023,"#12, #13, ","73.71, 77.28, ","75.46, 78.34, ",72.86,76.7
15,"00:01:17,327","00:01:19,287","<font color=""#ffff00"">that it's gonna be a great audience.</font>",line_0015.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020596908,0.0046220194,0.044547353,0.039925333,0.009795854,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.5,4.0,0.05,0.85,0.1,3.4444444444444446,0.8309826850891113,0.8888888888888888,9.0,"['that_it', 'it_is', 'is_going', 'going_to', 'to_be', 'be_a', 'a_great', 'great_audience']",0.0,0.30832338333129883,4.0,4.5918367346938584,6.122448979591813,1,1.3299999999999983,"#14, ","79.77, ","81.1, ",77.33,79.29
16,"00:01:19,788","00:01:22,791","<font color=""#ffff00"">But there's an energy, there's a cool energy to not knowing...</font>",line_0016.wav,7.40026,72.05882,-1.0,73.05882,20.464546,0.8492462311557789,0.021542798999999998,0.0042701913,0.05210336,0.047833167,0.011125111000000002,0.09090909090909093,0.2727272727272727,0.18181818181818185,0.18181818181818185,0.0,0.2727272727272727,6.0,0.1111111111111111,0.8055555555555556,0.08333333333333333,3.692307692307693,0.8191662430763245,0.9230769230769232,13.0,"['but_there', 'there_is', 'is_an', 'an_energy', 'energy_there', 'there_is', 'is_a', 'a_cool', 'cool_energy', 'energy_to', 'to_not', 'not_knowing']",0.0,0.2522711157798767,6.0,4.329004329004329,5.9940059940059935,0,0.0,,,,79.79,82.79
17,"00:01:23,249","00:01:24,501","<font color=""#ffff00"">what you're gonna get.</font>",line_0017.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016752172,0.003974212,0.042068582,0.03809437,0.009922245,0.0,0.0,0.0,0.25,0.0,0.75,2.5,0.04166666666666666,0.8333333333333334,0.125,3.333333333333333,0.7864054441452026,0.8333333333333334,6.0,"['what_you', 'you_are', 'are_going', 'going_to', 'to_get']",0.0,0.4367152452468872,2.5,4.79233226837057,5.591054313098999,1,3.3700000000000045,"#15, ","83.5, ","86.87, ",83.25,84.5
18,"00:01:26,961","00:01:27,962","<font color=""#ffff00"">Then...</font>",line_0018.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.027687292999999998,0.008381078,0.047066268,0.038685187999999995,0.009013639,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9990009990009944,0.9990009990009944,1,2.6300000000000097,"#16, ","87.35, ","89.98, ",86.96,87.96
19,"00:01:29,672","00:01:32,926","<font color=""#ffff00"">they have the Village Underground also, they own the Village Underground</font>",line_0019.wav,-0.07636817,50.113636,-1.0,51.113636,6.725542,0.9814814814814816,0.024276207999999997,0.008970815,0.04210769,0.033136874,0.0075848144,0.0,0.1111111111111111,0.2222222222222222,0.0,0.4444444444444444,0.2222222222222222,5.0,0.0,0.9166666666666666,0.08333333333333333,5.545454545454546,0.8399447202682495,0.9090909090909092,11.0,"['they_have', 'have_the', 'the_village', 'village_underground', 'underground_also', 'also_they', 'they_own', 'own_the', 'the_village', 'village_underground']",0.0,0.1846259832382202,5.0,3.3804548248309723,5.53165334972341,2,3.9599999999999937,"#17, #18, ","90.26, 92.82, ","91.8, 95.24, ",89.67,92.93
20,"00:01:33,009","00:01:34,803","<font color=""#ffff00"">and that was a music club.</font>",line_0020.wav,3.359251,83.52273000000001,-1.0,84.52273000000001,16.82421,0.9367088607594936,0.020270748,0.008311971999999999,0.043046292,0.03473432,0.009563838,0.0,0.0,0.4,0.4,0.0,0.2,2.5,0.04166666666666666,0.875,0.08333333333333333,3.333333333333333,0.6370817422866821,0.8333333333333334,6.0,"['and_that', 'that_was', 'was_a', 'a_music', 'music_club']",0.0,0.25325241684913635,2.5,3.3444816053511763,3.9018952062430388,0,0.0,,,,93.01,94.8
21,"00:01:35,845","00:01:39,474","<font color=""#ffff00"">But the comedy became so popular that they converted it to comedy.</font>",line_0021.wav,9.100408,60.576923,-1.0,61.576923,19.177305,0.7810117810117809,0.022144577999999998,0.0031099755,0.052244686,0.04913471,0.010964353,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,5.5,0.0,0.9791666666666666,0.02083333333333333,4.5,0.8623488545417786,0.9166666666666666,12.0,"['but_the', 'the_comedy', 'comedy_became', 'became_so', 'so_popular', 'popular_that', 'that_they', 'they_converted', 'converted_it', 'it_to', 'to_comedy']",0.0,0.0562334880232811,5.5,3.3066960595205246,5.786718104160918,0,0.0,,,,95.84,99.47
22,"00:01:40,850","00:01:42,727","<font color=""#ffff00"">So, we're gonna do that. I think we're gonna go</font>",line_0022.wav,24.455458,98.4375,-1.0,99.4375,36.17794,0.6506024096385542,0.023439953,0.006228170999999999,0.047444154,0.041215982000000005,0.011055885,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.7777777777777778,6.5,0.03125,0.90625,0.0625,2.8571428571428568,0.8638920783996582,0.9285714285714286,14.0,"['so_we', 'we_are', 'are_going', 'going_to', 'to_do', 'do_that', 'that_i', 'i_think', 'think_we', 'we_are', 'are_going', 'going_to', 'to_go']",0.0,0.3118368685245514,6.5,7.4587107085774775,8.524240809802832,1,1.3400000000000034,"#19, ","101.57, ","102.91, ",100.85,102.73
23,"00:01:42,811","00:01:44,646","<font color=""#ffff00"">into the Cellar, unannounced,</font>",line_0023.wav,23.240362,93.03797,-1.0,94.03797,33.947186,0.6497948016415869,0.019790636,0.0062443716000000005,0.05280318,0.04655881,0.011974598000000001,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.5,0.5,0.5,0.0,6.0,0.6484785676002502,0.75,4.0,"['into_the', 'the_cellar', 'cellar_unannounced']",0.0,0.0976460948586464,1.5,2.179836512261588,4.3596730245231745,1,2.3599999999999994,"#20, ","105.06, ","107.42, ",102.81,104.65
24,"00:01:45,396","00:01:47,816","<font color=""#ffff00"">and do a set, and then walk right around the corner.</font>",line_0024.wav,17.220957000000002,110.25,-1.0,111.25,29.720028000000003,0.7025052192066806,0.02194875,0.009262769,0.051046215,0.041783445,0.01186913,0.0,0.25,0.25,0.25,0.0,0.25,5.0,0.0,0.9375,0.0625,3.636363636363636,0.6734276413917542,0.9090909090909092,11.0,"['and_do', 'do_a', 'a_set', 'set_and', 'and_then', 'then_walk', 'walk_right', 'right_around', 'around_the', 'the_corner']",0.0,0.2624313235282898,5.0,4.545454545454542,5.371900826446277,0,0.0,,,,105.4,107.82
25,"00:01:47,899","00:01:49,067","<font color=""#ffff00"">It's right around the corner.</font>",line_0025.wav,29.820513000000002,91.875,-1.0,92.875,27.779387,0.4132762312633833,0.025188735,0.006487731,0.045584757000000004,0.039097026,0.011261001999999999,0.25,0.0,0.25,0.25,0.0,0.25,2.5,0.04166666666666666,0.875,0.08333333333333333,4.0,0.7078148126602173,0.8333333333333334,6.0,"['it_is', 'is_right', 'right_around', 'around_the', 'the_corner']",0.0,0.302276611328125,2.5,5.136986301369896,6.849315068493197,1,1.1200000000000045,"#21, ","108.13, ","109.25, ",107.9,109.07
26,"00:01:50,110","00:01:51,152","<font color=""#ffff00"">Village Underground.</font>",line_0026.wav,23.014221,89.63415,-1.0,90.63415,36.788070000000005,0.6997518610421837,0.01945528,0.00747564,0.03631304,0.028837397999999997,0.009899789499999999,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,9.0,0.2624899744987488,0.5,2.0,['village_underground'],0.0,0.2624899744987488,0.5,1.9193857965451029,4.798464491362757,1,55.67,"#22, ","110.99, ","166.66, ",110.11,111.15
27,"00:01:52,028","00:01:53,113","<font color=""#ffff00"">Do a set there.</font>",line_0027.wav,28.307841999999997,78.19149,-1.0,79.19149,30.354712,0.4988399071925754,0.023076281,0.008191986,0.051436692,0.043244705,0.011475363,0.0,0.25,0.25,0.25,0.0,0.25,1.5,0.0,0.9583333333333334,0.04166666666666666,2.75,0.6748920083045961,0.75,4.0,"['do_a', 'a_set', 'set_there']",0.0,0.36420220136642456,1.5,3.6866359447004817,3.6866359447004817,0,0.0,,,,112.03,113.11
28,"00:01:53,571","00:01:54,405","<font color=""#ffff00"">[people yelling]</font>",line_0028.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019485258000000002,0.0109896995,0.032223582,0.021233883,0.0057984837,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,113.57,114.41
