,filename,laughs,start,end,threshold,duration
1,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_1.wav,49.08,50.31,0.3,0.7
2,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_2.wav,52.88,62.99,0.3,0.7
3,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_3.wav,65.15,82.7,0.3,0.7
4,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_4.wav,86.65,96.7,0.3,0.7
5,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_5.wav,98.33,101.6,0.3,0.7
6,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_6.wav,103.02,105.67,0.3,0.7
7,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_7.wav,111.92,115.51,0.3,0.7
8,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_8.wav,117.08,120.88,0.3,0.7
9,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_9.wav,122.0,128.23,0.3,0.7
10,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_10.wav,129.54,130.95,0.3,0.7
11,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_11.wav,138.95,139.65,0.3,0.7
12,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_12.wav,141.33,143.04,0.3,0.7
13,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_13.wav,144.28,145.31,0.3,0.7
14,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_14.wav,146.21,147.89,0.3,0.7
15,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_15.wav,153.7,154.87,0.3,0.7
16,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_16.wav,155.47,159.6,0.3,0.7
17,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_17.wav,160.92,164.3,0.3,0.7
18,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_18.wav,164.85,165.55,0.3,0.7
19,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_19.wav,166.5,168.22,0.3,0.7
20,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_20.wav,168.92,171.63,0.3,0.7
21,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_21.wav,172.96,177.48,0.3,0.7
22,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_22.wav,179.78,183.95,0.3,0.7
23,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_23.wav,185.2,191.55,0.3,0.7
24,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_24.wav,192.94,194.01,0.3,0.7
25,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_25.wav,195.17,201.64,0.3,0.7
26,Ricky.Gervais.Humanity.2018.WEB.x264.AMRAP-music.wav,/laughs/laugh_26.wav,203.95,217.93,0.3,0.7
