,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:12,913","00:00:17,317","<font color=""#ffff00"">[announcer] Ladies and gentlemen, the next president of the United States of America:</font>",line_0000.wav,17.086533,180.7377,-1.0,181.7377,28.768784999999998,0.6841804683038264,0.050838064,0.005790573,0.17989427,0.17410369,0.028882212999999997,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,5.5,0.0,0.96875,0.03125,5.0,0.7139386534690857,0.9166666666666666,12.0,"['ladies_and', 'and_gentlemen', 'gentlemen_the', 'the_next', 'next_president', 'president_of', 'of_the', 'the_united', 'united_states', 'states_of', 'of_america']",0.0,0.10851911455392838,5.5,2.724795640326976,4.995458673932789,0,0.0,,,,12.91,17.32
1,"00:00:17,384","00:00:19,152","<font color=""#ffff00"">Rodney Carrington!</font>",line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.06476956,0.018385155,0.17524587,0.15686071,0.03398686,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,8.0,0.6051669716835022,0.5,2.0,['rodney_carrington'],0.0,0.6051669716835022,0.5,1.131221719457013,2.8280542986425328,0,0.0,,,,17.38,19.15
2,"00:00:19,219","00:00:21,788","<font color=""#ffff00"">[cheering]</font>",line_0002.wav,30.8899,66.21621999999999,-1.0,67.21621999999999,23.008776,0.3330078125,0.060352842999999996,0.041325647,0.11986951,0.07854386,0.014422288,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.22,21.79
3,"00:00:24,291","00:00:25,292","<font color=""#ffff00"">How are you?</font>",line_0003.wav,14.928344000000001,106.00961000000001,-1.0,107.00961000000001,33.70146,0.803030303030303,0.05116905,0.015608775,0.11869858,0.10308981,0.027632913,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.125,0.625,0.25,3.0,0.7103059887886047,0.6666666666666667,3.0,"['how_are', 'are_you']",0.0,0.4764121770858765,1.0,2.997002997002993,2.997002997002993,0,0.0,,,,24.29,25.29
4,"00:00:27,194","00:00:28,462","<font color=""#ffff00"">Hi, everybody.</font>",line_0004.wav,31.491936,134.45122,-1.0,135.45122,38.05977,0.5481927710843374,0.08762774,0.0077239195999999994,0.16692209,0.15919818,0.05256694,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,5.5,0.4528798460960388,0.5,2.0,['hi_everybody'],0.0,0.4528798460960388,0.5,1.577287066246056,3.94321766561514,0,0.0,,,,27.19,28.46
5,"00:00:28,529","00:00:30,898","<font color=""#ffff00"">[whistling, cheering]</font>",line_0005.wav,37.513157,79.31654,-1.0,80.31654,21.49156,0.22234042553191488,0.014047971999999999,0.008194027,0.02668677,0.018492743,0.0032233438,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,28.53,30.9
6,"00:00:30,964","00:00:33,433","<font color=""#ffff00"">Do not adjust your glasses.</font>",line_0006.wav,36.075634,139.55696,-1.0,140.55696,37.76925,0.43075356415478616,0.05474554,0.0033386895000000003,0.12742405,0.12408536,0.040157492999999995,0.2,0.2,0.0,0.2,0.0,0.4,2.0,0.15625,0.8125,0.03125,4.4,0.7205888032913208,0.8,5.0,"['do_not', 'not_adjust', 'adjust_your', 'your_glasses']",0.0,0.22102469205856326,2.0,2.025111381125961,2.835155933576345,0,0.0,,,,30.96,33.43
7,"00:00:34,501","00:00:36,403","<font color=""#ffff00"">I'm this goddamn fat, alright?</font>",line_0007.wav,30.742182,99.324326,-1.0,100.324326,34.351418,0.5086321381142098,0.025193782999999997,0.0017512285,0.10390831,0.10215708,0.020571286,0.25,0.0,0.25,0.25,0.0,0.25,2.5,0.04166666666666666,0.875,0.08333333333333333,4.0,0.6109057664871216,0.8333333333333334,6.0,"['i_am', 'am_this', 'this_goddamn', 'goddamn_fat', 'fat_alright']",0.0,0.17075173556804654,2.5,3.154574132492112,4.206098843322817,2,10.089999999999996,"#1, #2, ","35.29, 37.46, ","36.55, 46.29, ",34.5,36.4
8,"00:00:36,470","00:00:38,105","<font color=""#ffff00"">[laughter]</font>",line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.005145767,0.0022023222,0.008418237,0.0062159146,0.0017475814000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,36.47,38.1
9,"00:00:39,406","00:00:43,110","<font color=""#ffff00"">I... I used to look at fat people and go,</font>",line_0009.wav,16.357523,118.54838600000001,-1.0,119.54838600000001,31.681427000000003,0.7557823129251701,0.02258138,0.000612644,0.074366204,0.07375356,0.02199754,0.2,0.0,0.0,0.2,0.0,0.6,4.5,0.0,0.975,0.025,2.8,0.6953147649765015,0.9,10.0,"['i_i', 'i_used', 'used_to', 'to_look', 'look_at', 'at_fat', 'fat_people', 'people_and', 'and_go']",0.0,0.14720338582992554,4.5,2.6997840172786174,2.9697624190064786,0,0.0,,,,39.41,43.11
10,"00:00:43,176","00:00:46,980","<font color=""#ffff00"">""How in the hell did you let yourself get like that?""</font>",line_0010.wav,7.259614,141.34616,-1.0,142.34616,26.775187,0.9025032938076416,0.013418773,0.00061584683,0.044528577,0.04391273,0.011471533,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.42857142857142855,5.0,0.09375,0.875,0.03125,3.636363636363636,0.7944947481155396,0.9090909090909092,11.0,"['how_in', 'in_the', 'the_hell', 'hell_did', 'did_you', 'you_let', 'let_yourself', 'yourself_get', 'get_like', 'like_that']",0.0,0.2909879982471466,5.0,2.8916929547844417,3.154574132492118,1,2.6000000000000014,"#3, ","47.25, ","49.85, ",43.18,46.98
11,"00:00:47,414","00:00:49,716","<font color=""#ffff00"">And then I just went out and found out for myself.</font>",line_0011.wav,24.811192000000002,86.81102,-1.0,87.81102,33.357624,0.6172972972972973,0.0154798655,0.0019612585,0.040699188,0.03873793,0.011576953999999999,0.0,0.5,0.0,0.0,0.0,0.5,5.0,0.0,1.0,0.0,3.5454545454545454,0.7437573075294495,0.9090909090909092,11.0,"['and_then', 'then_i', 'i_just', 'just_went', 'went_out', 'out_and', 'and_found', 'found_out', 'out_for', 'for_myself']",0.0,0.28506147861480713,5.0,4.77845351867941,5.212858384013902,1,1.509999999999998,"#4, ","51.09, ","52.6, ",47.41,49.72
12,"00:00:51,718","00:00:53,987","<font color=""#ffff00"">I got divorced about four years ago.</font>",line_0012.wav,37.411575,86.13280999999999,-1.0,87.13280999999999,33.0546,0.4019933554817276,0.017349133,0.0011430675,0.057193153,0.056050085,0.012895371000000001,0.0,0.4,0.0,0.2,0.0,0.4,3.0,0.05,0.825,0.125,4.142857142857143,0.6907759308815002,0.8571428571428572,7.0,"['i_got', 'got_divorced', 'divorced_about', 'about_four', 'four_years', 'years_ago']",0.0,0.19254153966903687,3.0,3.085059497576027,4.4072278536800376,1,0.980000000000004,"#5, ","53.58, ","54.56, ",51.72,53.99
13,"00:00:54,454","00:00:57,257","<font color=""#ffff00"">And you don't know how important it is</font>",line_0013.wav,33.411938,91.875,-1.0,92.875,27.005014000000003,0.3660071942446043,0.030510457,0.0030070490000000004,0.094657674,0.09165063,0.021825306000000003,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,4.0,0.15,0.625,0.225,3.4444444444444446,0.8122768998146057,0.8888888888888888,9.0,"['and_you', 'you_do', 'do_not', 'not_know', 'know_how', 'how_important', 'important_it', 'it_is']",0.0,0.3519751727581024,4.0,3.2108455226543016,3.9243667499108135,1,1.8599999999999994,"#6, ","56.01, ","57.87, ",54.45,57.26
14,"00:00:58,225","00:01:02,262","<font color=""#ffff00"">to have somebody in your life, around eight or nine o'clock at night,</font>",line_0014.wav,29.489485,81.666664,-1.0,82.666664,31.185564000000003,0.4972101673899566,0.016557457,0.0009420494000000001,0.04979228,0.04885023,0.011047467,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,7.0,0.0,0.95,0.05,3.8666666666666663,0.9526162147521972,0.9333333333333332,15.0,"['to_have', 'have_somebody', 'somebody_in', 'in_your', 'your_life', 'life_around', 'around_eight', 'eight_or', 'or_nine', 'nine_of', 'of_the', 'the_clock', 'clock_at', 'at_night']",0.0,0.1733769327402115,7.0,3.715630418627695,4.458756502353234,1,1.9400000000000048,"#7, ","59.58, ","61.52, ",58.23,62.26
15,"00:01:02,329","00:01:04,031","<font color=""#ffff00"">to say, ""Don't eat that.""</font>",line_0015.wav,25.497404,79.891304,-1.0,80.891304,28.377097999999997,0.5170370370370371,0.010706028000000001,0.0008083391000000001,0.037903503,0.037095163,0.0105010085,0.0,0.2,0.2,0.0,0.0,0.6,2.5,0.15625,0.84375,0.0,2.833333333333333,0.7747393846511841,0.8333333333333334,6.0,"['to_say', 'say_do', 'do_not', 'not_eat', 'eat_that']",0.0,0.4138872027397156,2.5,3.5252643948296014,3.5252643948296014,2,3.019999999999996,"#8, #9, ","62.42, 64.76, ","64.3, 65.9, ",62.33,64.03
