,filename,laughs,start,end,threshold,duration
0,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_0.wav,11.75,14.27,0.3,0.7
1,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_1.wav,18.44,23.33,0.3,0.7
2,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_2.wav,24.31,25.33,0.3,0.7
3,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_3.wav,26.73,31.39,0.3,0.7
4,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_4.wav,35.94,38.73,0.3,0.7
5,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_5.wav,39.39,44.91,0.3,0.7
6,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_6.wav,46.77,48.27,0.3,0.7
7,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_7.wav,48.84,50.42,0.3,0.7
8,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_8.wav,51.7,77.49,0.3,0.7
9,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_9.wav,78.21,82.52,0.3,0.7
10,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_10.wav,96.66,97.49,0.3,0.7
11,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_11.wav,110.99,111.78,0.3,0.7
12,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_12.wav,135.43,136.71,0.3,0.7
13,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_13.wav,138.31,140.69,0.3,0.7
14,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_14.wav,155.96,157.01,0.3,0.7
15,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_15.wav,162.39,166.63,0.3,0.7
16,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_16.wav,183.21,185.05,0.3,0.7
17,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_17.wav,187.74,192.78,0.3,0.7
18,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_18.wav,193.69,196.19,0.3,0.7
19,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_19.wav,198.93,199.93,0.3,0.7
20,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_20.wav,204.96,206.21,0.3,0.7
21,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_21.wav,211.39,216.53,0.3,0.7
22,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_22.wav,223.01,224.48,0.3,0.7
23,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_23.wav,226.95,229.03,0.3,0.7
24,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_24.wav,229.84,232.12,0.3,0.7
25,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_25.wav,246.61,252.28,0.3,0.7
26,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_26.wav,254.96,258.84,0.3,0.7
27,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_27.wav,259.8,260.76,0.3,0.7
28,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_28.wav,262.64,268.22,0.3,0.7
29,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_29.wav,274.16,275.12,0.3,0.7
30,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_30.wav,282.05,285.06,0.3,0.7
31,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_31.wav,285.16,286.59,0.3,0.7
32,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_32.wav,294.0,295.29,0.3,0.7
33,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_33.wav,296.95,300.23,0.3,0.7
34,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_34.wav,308.12,310.11,0.3,0.7
35,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_35.wav,314.02,314.93,0.3,0.7
36,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_36.wav,319.62,324.63,0.3,0.7
37,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_37.wav,336.37,344.6,0.3,0.7
38,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_38.wav,356.68,357.44,0.3,0.7
39,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_39.wav,360.07,363.27,0.3,0.7
40,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_40.wav,368.85,369.97,0.3,0.7
41,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_41.wav,374.48,375.55,0.3,0.7
42,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_42.wav,381.78,384.41,0.3,0.7
43,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_43.wav,385.09,386.35,0.3,0.7
44,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_44.wav,389.69,390.91,0.3,0.7
45,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_45.wav,399.16,400.73,0.3,0.7
46,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_46.wav,400.99,402.61,0.3,0.7
47,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_47.wav,408.51,409.72,0.3,0.7
48,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_48.wav,419.76,421.53,0.3,0.7
49,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_49.wav,427.86,430.11,0.3,0.7
50,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_50.wav,436.44,439.64,0.3,0.7
51,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_51.wav,445.28,447.04,0.3,0.7
52,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_52.wav,447.9,448.94,0.3,0.7
53,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_53.wav,456.12,463.35,0.3,0.7
54,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_54.wav,465.17,466.32,0.3,0.7
55,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_55.wav,466.95,468.04,0.3,0.7
56,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_56.wav,470.37,472.58,0.3,0.7
57,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_57.wav,473.02,475.08,0.3,0.7
58,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_58.wav,479.11,479.81,0.3,0.7
59,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_59.wav,483.53,487.17,0.3,0.7
60,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_60.wav,489.1,495.95,0.3,0.7
61,Ron.White.If.You.Quit.Listening.Ill.Shut.Up.2018.1080p.WEB.X264.AMRAP-music.wav,/laughs/laugh_61.wav,543.21,546.2,0.3,0.7
