,filename,laughs,start,end,threshold,duration
2,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_2.wav,11.42,13.05,0.3,0.7
3,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_3.wav,13.77,15.32,0.3,0.7
4,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_4.wav,15.88,17.56,0.3,0.7
5,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_5.wav,20.45,21.95,0.3,0.7
6,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_6.wav,22.91,26.69,0.3,0.7
7,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_7.wav,27.43,28.84,0.3,0.7
8,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_8.wav,29.44,31.01,0.3,0.7
9,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_9.wav,32.06,33.42,0.3,0.7
10,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_10.wav,33.95,35.66,0.3,0.7
11,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_11.wav,36.93,37.73,0.3,0.7
12,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_12.wav,38.43,39.97,0.3,0.7
13,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_13.wav,41.11,42.4,0.3,0.7
14,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_14.wav,44.02,58.63,0.3,0.7
15,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_15.wav,59.88,102.8,0.3,0.7
16,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_16.wav,104.12,111.56,0.3,0.7
17,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_17.wav,112.1,112.9,0.3,0.7
18,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_18.wav,113.76,117.56,0.3,0.7
19,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_19.wav,120.34,121.07,0.3,0.7
20,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_20.wav,122.4,128.76,0.3,0.7
21,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_21.wav,129.68,134.51,0.3,0.7
22,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_22.wav,135.35,138.26,0.3,0.7
23,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_23.wav,140.91,155.95,0.3,0.7
24,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_24.wav,156.17,168.91,0.3,0.7
25,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_25.wav,170.42,171.9,0.3,0.7
26,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_26.wav,172.05,188.53,0.3,0.7
27,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_27.wav,189.65,195.51,0.3,0.7
28,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_28.wav,197.36,210.09,0.3,0.7
29,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_29.wav,210.91,219.01,0.3,0.7
30,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_30.wav,221.07,230.54,0.3,0.7
31,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_31.wav,231.39,246.98,0.3,0.7
32,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_32.wav,250.34,251.51,0.3,0.7
33,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_33.wav,256.22,260.99,0.3,0.7
34,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_34.wav,262.29,263.13,0.3,0.7
35,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_35.wav,264.1,274.19,0.3,0.7
36,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_36.wav,274.34,279.99,0.3,0.7
37,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_37.wav,280.64,290.83,0.3,0.7
38,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_38.wav,291.66,296.9,0.3,0.7
39,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_39.wav,297.68,301.95,0.3,0.7
40,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_40.wav,302.22,303.41,0.3,0.7
41,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_41.wav,304.09,305.04,0.3,0.7
42,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_42.wav,309.34,313.37,0.3,0.7
43,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_43.wav,313.51,315.67,0.3,0.7
44,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_44.wav,317.2,317.95,0.3,0.7
45,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_45.wav,319.26,335.18,0.3,0.7
46,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_46.wav,335.28,338.64,0.3,0.7
47,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_47.wav,341.65,346.92,0.3,0.7
48,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_48.wav,351.56,367.88,0.3,0.7
49,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_49.wav,368.14,373.71,0.3,0.7
50,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_50.wav,378.26,383.4,0.3,0.7
51,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_51.wav,383.76,393.74,0.3,0.7
52,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_52.wav,394.54,409.13,0.3,0.7
53,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_53.wav,415.23,416.89,0.3,0.7
54,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_54.wav,418.74,420.69,0.3,0.7
55,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_55.wav,421.71,429.83,0.3,0.7
56,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_56.wav,430.01,431.62,0.3,0.7
57,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_57.wav,434.11,437.57,0.3,0.7
58,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_58.wav,438.3,442.17,0.3,0.7
59,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_59.wav,443.28,444.54,0.3,0.7
60,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_60.wav,446.98,449.23,0.3,0.7
61,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_61.wav,449.97,453.01,0.3,0.7
62,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_62.wav,457.03,486.77,0.3,0.7
63,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_63.wav,488.65,490.86,0.3,0.7
64,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_64.wav,491.77,500.48,0.3,0.7
65,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_65.wav,501.61,504.95,0.3,0.7
66,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_66.wav,505.7,508.75,0.3,0.7
67,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_67.wav,510.7,518.64,0.3,0.7
68,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_68.wav,520.29,521.75,0.3,0.7
69,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_69.wav,524.85,542.55,0.3,0.7
70,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_70.wav,544.19,545.33,0.3,0.7
71,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_71.wav,545.95,551.16,0.3,0.7
72,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_72.wav,552.04,555.69,0.3,0.7
73,Russell.Peters...Notorious..2013.-music.wav,/laughs/laugh_73.wav,556.72,571.8,0.3,0.7
