,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:14,225","00:00:16,227",[crowd cheering],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.067908734,0.028019698,0.1150253,0.0870056,0.020052265,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.22,16.23
1,"00:00:23,317","00:00:25,319",[audience cheering],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.026860015,0.022708056,0.03434282,0.011634765,0.0022429863,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,23.32,25.32
2,"00:00:54,932","00:00:56,017",[whistling],line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.054137795999999995,0.013961033999999999,0.10785131,0.09389028,0.020559277,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,54.93,56.02
3,"00:01:29,342","00:01:31,427",[baby crying],line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.039511162999999995,0.021334916000000002,0.066439785,0.04510487,0.008118963,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,89.34,91.43
4,"00:01:48,945","00:01:50,947",[audience laughing],line_0004.wav,28.546803999999998,61.08033399999999,-1.0,62.08033399999999,23.138985,0.3751552795031056,0.014171895,0.0073195840000000005,0.04238344,0.035063855,0.0069070419999999995,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,108.94,110.95
5,"00:02:01,249","00:02:02,333",[crickets chirping],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.007866600999999999,0.0012390557,0.027002357,0.025763301000000002,0.007732219499999999,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,121.25,122.33
6,"00:02:02,416","00:02:04,752","- [Stacker cheers] - [Paul] Yeah, Russell!",line_0006.wav,43.796448,162.13235,-1.0,163.13235,38.56062,0.34310532030401736,0.01742386,0.001403111,0.032758903,0.03135579,0.008936558,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,5.5,0.1819777935743332,0.5,2.0,['yeah_russell'],0.0,0.1819777935743332,0.5,0.8561643835616444,1.2842465753424666,1,9.25,"#3, ","124.68, ","133.93, ",122.42,124.75
7,"00:02:05,253","00:02:06,504",[audience laughing],line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.009993969,0.0077708180000000005,0.013427126999999999,0.005656309,0.0013697782999999998,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,125.25,126.5
8,"00:02:09,257","00:02:10,341",[snoring],line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013606776499999999,0.00695072,0.020366328,0.013415608,0.0038459226,,,,,,,,,,,,,,,,,,,,,1,84.75,"#4, ","134.93, ","219.68, ",129.26,130.34
9,"00:02:10,424","00:02:11,884",[laughing],line_0009.wav,23.13844,63.0,-1.0,64.0,24.315409,0.4939550949913644,0.01328752,0.0023875588,0.04083675,0.038449194,0.011140853000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,130.42,131.88
10,"00:02:20,768","00:02:21,769",[indistinct],line_0010.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.05033128,0.03333446,0.06734425599999999,0.034009796,0.008946774000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,140.77,141.77
