,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:08,008",[upbeat music playing],line_0000.wav,13.876244,66.415665,-1.0,67.415665,21.760149,0.6792452830188679,0.00853969,0.005550901,0.012421241999999999,0.006870340999999999,0.0016293114000000002,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.01,8.01
1,"00:00:13,614","00:00:15,616",[man whistling on soundtrack],line_0001.wav,10.853119,66.01796999999999,-1.0,67.01796999999999,21.693711999999998,0.7629255989911727,0.014697793,0.0048329774,0.019348245,0.014515268000000001,0.0026366613,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,13.61,15.62
2,"00:00:30,564","00:00:34,434","[man] <i>Girls and boys,</i> <i>please welcome to the stage</i>",line_0002.wav,19.329273,113.65978999999999,-1.0,114.65978999999999,32.650475,0.6989596879063719,0.01811859,0.0077685425,0.035481814,0.027713272999999997,0.0072213137,0.0,0.0,0.2,0.6,0.0,0.2,3.5,0.0,0.9375,0.0625,4.375,0.8500702977180481,0.875,8.0,"['girls_and', 'and_boys', 'boys_please', 'please_welcome', 'welcome_to', 'to_the', 'the_stage']",0.0,0.14958994090557098,3.5,2.067183462532301,2.3255813953488387,0,0.0,,,,30.56,34.43
3,"00:00:35,168","00:00:36,737",<i>Sarah Silverman!</i>,line_0003.wav,31.696218,67.63804,-1.0,68.63804,23.08653,0.3232,0.017598702,0.007941848,0.031393077,0.02345123,0.006350206,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,7.0,0.5103696584701538,0.5,2.0,['sarah_silverman'],0.0,0.5103696584701538,0.5,1.2746972594008898,3.186743148502225,0,0.0,,,,35.17,36.74
4,"00:00:36,803","00:00:38,805",[audience cheering and applauding],line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021547137,0.016736425,0.028944569,0.012208143000000001,0.0026948759999999997,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,36.8,38.8
5,"00:00:41,475","00:00:42,476",[mouthing] Hi.,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.019910611,0.016973872,0.022462081000000002,0.005488209399999999,0.0011792021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9990009990010014,0.9990009990010014,0,0.0,,,,41.48,42.48
6,"00:00:53,320","00:00:54,421","Well, thank you.",line_0006.wav,7.590400999999999,55.681819999999995,-1.0,56.681819999999995,18.01236,0.8125,0.018509967,0.013796765,0.023640512000000002,0.009843746,0.0020434114000000003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.624314546585083,0.6666666666666667,3.0,"['well_thank', 'thank_you']",0.0,0.5153147578239441,1.0,2.724795640326977,2.724795640326977,0,0.0,,,,53.32,54.42
7,"00:01:03,297","00:01:04,565",Thank you so much.,line_0007.wav,35.898422,151.0274,-1.0,152.0274,50.59243,0.6435643564356436,0.009772463,0.0005109436,0.021978032,0.021467088,0.006192494000000001,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.0,0.9583333333333334,0.04166666666666666,3.5,0.8314532637596129,0.75,4.0,"['thank_you', 'you_so', 'so_much']",0.0,0.4849710166454315,1.5,3.154574132492112,3.154574132492112,0,0.0,,,,63.3,64.56
8,"00:01:04,631","00:01:06,833",I am so happy you guys are here.,line_0008.wav,40.915485,117.28723000000001,-1.0,118.28723000000001,36.763892999999996,0.3675799086757991,0.011291157,0.00030057953,0.022399817000000002,0.022099237999999997,0.00587187,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,3.5,0.04166666666666666,0.7291666666666666,0.22916666666666666,3.0,0.6974894404411316,0.875,8.0,"['i_am', 'am_so', 'so_happy', 'happy_you', 'you_guys', 'guys_are', 'are_here']",0.0,0.30042609572410583,3.5,3.633060853769304,4.087193460490466,0,0.0,,,,64.63,66.83
9,"00:01:07,534","00:01:09,770",I'm sorry about the metal detectors.,line_0009.wav,38.889559999999996,118.54838600000001,-1.0,119.54838600000001,31.487146000000003,0.3404735062006765,0.011190698999999998,0.00032975952000000003,0.021678503999999998,0.021348745,0.006264363,0.2,0.0,0.2,0.4,0.0,0.2,3.0,0.1875,0.75,0.0625,4.285714285714286,0.6273455619812012,0.8571428571428572,7.0,"['i_am', 'am_sorry', 'sorry_about', 'about_the', 'the_metal', 'metal_detectors']",0.0,0.019854774698615074,3.0,3.1305903398926795,5.366726296958879,0,0.0,,,,67.53,69.77
