,filename,laughs,start,end,threshold,duration
1,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_1.wav,43.9,55.12,0.3,0.7
2,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_2.wav,55.81,62.01,0.3,0.7
3,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_3.wav,62.28,65.97,0.3,0.7
4,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_4.wav,69.38,75.1,0.3,0.7
5,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_5.wav,76.38,79.99,0.3,0.7
6,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_6.wav,81.02,82.73,0.3,0.7
7,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_7.wav,84.64,89.41,0.3,0.7
8,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_8.wav,90.37,91.86,0.3,0.7
9,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_9.wav,93.44,104.91,0.3,0.7
10,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_10.wav,105.65,110.9,0.3,0.7
11,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_11.wav,111.9,114.38,0.3,0.7
12,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_12.wav,115.47,132.6,0.3,0.7
13,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_13.wav,133.0,142.21,0.3,0.7
14,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_14.wav,143.52,145.3,0.3,0.7
15,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_15.wav,145.66,149.91,0.3,0.7
16,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_16.wav,150.33,151.57,0.3,0.7
17,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_17.wav,153.69,158.04,0.3,0.7
18,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_18.wav,158.45,177.75,0.3,0.7
19,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_19.wav,178.42,199.29,0.3,0.7
20,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_20.wav,200.04,205.5,0.3,0.7
21,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_21.wav,206.39,207.31,0.3,0.7
22,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_22.wav,211.01,228.14,0.3,0.7
23,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_23.wav,232.95,247.22,0.3,0.7
24,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_24.wav,250.1,254.33,0.3,0.7
25,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_25.wav,254.68,257.1,0.3,0.7
26,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_26.wav,258.67,263.38,0.3,0.7
27,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_27.wav,264.89,268.15,0.3,0.7
28,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_28.wav,268.66,276.59,0.3,0.7
29,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_29.wav,277.5,279.87,0.3,0.7
30,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_30.wav,280.44,284.8,0.3,0.7
31,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_31.wav,285.88,296.81,0.3,0.7
32,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_32.wav,298.25,299.55,0.3,0.7
33,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_33.wav,301.26,308.08,0.3,0.7
34,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_34.wav,308.83,314.58,0.3,0.7
35,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_35.wav,317.23,318.26,0.3,0.7
36,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_36.wav,318.89,326.8,0.3,0.7
37,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_37.wav,328.67,344.97,0.3,0.7
38,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_38.wav,347.11,349.68,0.3,0.7
39,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_39.wav,350.16,354.43,0.3,0.7
40,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_40.wav,357.2,360.37,0.3,0.7
41,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_41.wav,361.06,367.35,0.3,0.7
42,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_42.wav,368.91,376.48,0.3,0.7
43,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_43.wav,377.61,379.3,0.3,0.7
44,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_44.wav,380.32,385.67,0.3,0.7
45,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_45.wav,388.68,391.27,0.3,0.7
46,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_46.wav,394.57,395.99,0.3,0.7
47,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_47.wav,397.13,398.16,0.3,0.7
48,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_48.wav,399.34,401.71,0.3,0.7
49,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_49.wav,403.33,411.61,0.3,0.7
50,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_50.wav,413.14,413.96,0.3,0.7
51,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_51.wav,415.53,416.78,0.3,0.7
52,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_52.wav,423.37,427.25,0.3,0.7
53,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_53.wav,427.95,430.45,0.3,0.7
54,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_54.wav,431.33,442.56,0.3,0.7
55,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_55.wav,444.92,448.2,0.3,0.7
56,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_56.wav,449.22,451.41,0.3,0.7
57,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_57.wav,452.02,455.36,0.3,0.7
58,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_58.wav,456.8,457.71,0.3,0.7
59,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_59.wav,459.23,461.07,0.3,0.7
60,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_60.wav,461.99,463.57,0.3,0.7
61,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_61.wav,465.15,466.56,0.3,0.7
62,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_62.wav,467.66,476.94,0.3,0.7
63,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_63.wav,477.32,485.46,0.3,0.7
64,Simon.Amstell.Set.Free.2019.HD720P.X264.AAC.English.CHS-music.wav,/laughs/laugh_64.wav,485.85,486.78,0.3,0.7
