,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:07,132","<font color=""#ffff00"">[rock music playing]</font>",line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.028624012999999997,0.0064683234999999995,0.08142585,0.07495753,0.016508816000000003,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.01,7.13
1,"00:00:20,353","00:00:22,355","<font color=""#ffff00"">[audience cheering]</font>",line_0001.wav,40.224533,61.592180000000006,-1.0,62.592180000000006,16.78653,0.13400758533501894,0.034616195,0.023844292000000003,0.082783565,0.05893927,0.008501559,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,20.35,22.36
2,"00:00:30,113","00:00:31,114","<font color=""#ffff00"">Thank you.</font>",line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.026890717,0.02089154,0.036757234,0.015865695,0.0038272312,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.998001998001996,1.998001998001996,0,0.0,,,,30.11,31.11
3,"00:00:33,616","00:00:34,659","<font color=""#ffff00"">Thank you.</font>",line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.018989682,0.014151747,0.027120184,0.012968437,0.0030403964,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.917545541706617,1.917545541706617,0,0.0,,,,33.62,34.66
4,"00:00:38,371","00:00:39,205","<font color=""#ffff00"">Thank you.</font>",line_0004.wav,34.15909,66.415665,-1.0,67.415665,22.610878,0.2791411042944785,0.020268561,0.012057746000000001,0.030226257000000003,0.01816851,0.0045802137,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.398081534772193,2.398081534772193,0,0.0,,,,38.37,39.2
5,"00:00:42,208","00:00:45,211","<font color=""#ffff00"">-Hello, Houston! -[cheering]</font>",line_0005.wav,26.195097,82.89474,-1.0,83.89474,27.650658,0.485,0.022274468,0.0065904777,0.035711486,0.029121007999999997,0.008553795,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,6.0,0.2597368359565735,0.5,2.0,['hello_houston'],0.0,0.2597368359565735,0.5,0.666000666000666,1.332001332001332,0,0.0,,,,42.21,45.21
6,"00:00:46,379","00:00:47,756","<font color=""#ffff00"">[imitates cheering]</font>",line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.017131027,0.010917173,0.021905506,0.010988333000000001,0.0024995815,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,46.38,47.76
7,"00:00:48,590","00:00:50,341","<font color=""#ffff00"">Hello, spring.</font>",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.017384607,0.007935125999999999,0.03244747,0.024512343,0.007949915,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,5.5,0.20013733208179474,0.5,2.0,['hello_spring'],0.0,0.20013733208179474,0.5,1.1422044545973744,1.7133066818960616,0,0.0,,,,48.59,50.34
8,"00:00:50,425","00:00:52,427","<font color=""#ffff00"">[scattered cheering]</font>",line_0008.wav,5.6780143,67.84615,-1.0,68.84615,18.212795,0.8779874213836478,0.011150817,0.0024237346,0.020442005,0.01801827,0.004506059000000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,50.42,52.43
9,"00:00:53,386","00:00:54,804","<font color=""#ffff00"">Wait, why'd you quiet down?</font>",line_0009.wav,40.52702,75.5137,-1.0,76.5137,22.530575,0.2099644128113879,0.014222313,0.0014054673000000002,0.028362561,0.026957095,0.007676164599999999,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,2.5,0.0625,0.9375,0.0,4.0,0.6997940540313721,0.8333333333333334,5.0,"['wait_whyd', 'whyd_you', 'you_quiet', 'quiet_down']",0.0,0.07750609517097473,2.5,3.5260930888575475,4.936530324400566,1,0.8800000000000026,"#1, ","55.04, ","55.92, ",53.39,54.8
