,filename,laughs,start,end,threshold,duration
1,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_1.wav,55.04,55.92,0.3,0.7
2,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_2.wav,63.23,64.61,0.3,0.7
3,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_3.wav,67.12,69.05,0.3,0.7
4,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_4.wav,72.27,74.06,0.3,0.7
5,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_5.wav,75.5,76.99,0.3,0.7
6,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_6.wav,77.97,79.42,0.3,0.7
7,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_7.wav,81.31,82.66,0.3,0.7
8,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_8.wav,88.66,90.43,0.3,0.7
9,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_9.wav,104.54,105.61,0.3,0.7
10,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_10.wav,107.39,108.97,0.3,0.7
11,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_11.wav,112.28,113.16,0.3,0.7
12,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_12.wav,117.88,120.35,0.3,0.7
13,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_13.wav,121.23,124.08,0.3,0.7
14,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_14.wav,127.64,132.8,0.3,0.7
15,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_15.wav,133.02,137.04,0.3,0.7
16,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_16.wav,138.23,139.89,0.3,0.7
17,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_17.wav,141.29,142.63,0.3,0.7
18,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_18.wav,145.51,150.26,0.3,0.7
19,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_19.wav,152.64,156.19,0.3,0.7
20,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_20.wav,160.35,163.14,0.3,0.7
21,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_21.wav,169.31,171.7,0.3,0.7
22,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_22.wav,173.69,178.3,0.3,0.7
23,Tig.Notaro.Happy.To.Be.Here.2018.1080p-music.wav,/laughs/laugh_23.wav,179.17,185.65,0.3,0.7
