,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:11,177","00:00:14,139",Ladies and gentlemen...,line_0000.wav,9.960713,162.13235,-1.0,163.13235,27.080389,0.825531914893617,0.01661059,0.004776889,0.03283038,0.02805349,0.0074262987,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9375,0.0625,6.0,0.6840725541114807,0.6666666666666667,3.0,"['ladies_and', 'and_gentlemen']",0.0,0.220335990190506,1.0,1.0128291694800808,2.0256583389601617,0,0.0,,,,11.18,14.14
1,"00:00:15,390","00:00:17,475",Tom Segura!,line_0001.wav,4.66446,56.82989499999999,-1.0,57.82989499999999,15.842787,0.8858173076923077,0.023137273,0.0071286648,0.03475498,0.027626315,0.007444716,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,4.5,0.1170380488038063,0.5,2.0,['tom_segura'],0.0,0.1170380488038063,0.5,0.9592326139088724,1.9184652278177452,0,0.0,,,,15.39,17.48
2,"00:00:39,914","00:00:40,999",Whoa!,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.022382492,0.013289706,0.030796437000000003,0.01750673,0.0052796909999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9216589861751144,0.9216589861751144,0,0.0,,,,39.91,41.0
3,"00:00:43,293","00:00:44,461",What's up?,line_0003.wav,7.000342999999999,53.260868,-1.0,54.260868,18.169682,0.8366013071895425,0.015648926,0.0051213890000000005,0.0385184,0.03339701,0.009647336999999999,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.125,0.625,0.25,2.6666666666666665,0.5817388296127319,0.6666666666666667,3.0,"['what_is', 'is_up']",0.0,0.4654342830181122,1.0,2.568493150684933,2.568493150684933,0,0.0,,,,43.29,44.46
4,"00:00:45,545","00:00:48,715","Holy shit. Thank you, Denver. That was amazing.",line_0004.wav,28.357601000000003,137.8125,-1.0,138.8125,32.71351,0.5174603174603175,0.014991373999999998,0.002987108,0.030574933,0.027587825,0.007483749699999999,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,3.5,0.125,0.725,0.15,4.5,0.701949954032898,0.875,8.0,"['holy_shit', 'shit_thank', 'thank_you', 'you_denver', 'denver_that', 'that_was', 'was_amazing']",0.0,0.0678858682513237,3.5,2.5236593059936894,3.785488958990534,0,0.0,,,,45.55,48.72
5,"00:00:51,968","00:00:54,262",Thank you so much.,line_0005.wav,28.499772999999998,139.55696,-1.0,140.55696,33.748084999999996,0.5325248070562293,0.009671558,0.0013017261999999999,0.023861742000000002,0.022560015,0.0051079495,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.5,0.0,0.9583333333333334,0.04166666666666666,3.5,0.8314532637596129,0.75,4.0,"['thank_you', 'you_so', 'so_much']",0.0,0.4849710166454315,1.5,1.7436791630340043,1.7436791630340043,1,1.8699999999999974,"#1, ","52.85, ","54.72, ",51.97,54.26
6,"00:00:54,345","00:00:57,307",I wish I was home right now.,line_0006.wav,40.713936,90.36885,-1.0,91.36885,30.884127000000003,0.3246205733558179,0.01268522,0.0009813729,0.028241012000000003,0.027259639,0.0077396719999999995,0.0,0.6,0.0,0.0,0.0,0.4,3.0,0.1,0.775,0.125,3.0,0.595013439655304,0.8571428571428572,7.0,"['i_wish', 'wish_i', 'i_was', 'was_home', 'home_right', 'right_now']",0.0,0.2679681181907654,3.0,2.3632680621201865,2.3632680621201865,0,0.0,,,,54.34,57.31
7,"00:00:57,390","00:00:59,184",-Um...,line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01405802,0.0033358647,0.027585894,0.024250029,0.0064852824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.5574136008918628,0.5574136008918628,1,2.5700000000000003,"#2, ","57.54, ","60.11, ",57.39,59.18
8,"00:00:59,267","00:01:01,102",No offense. Not personal.,line_0008.wav,24.475089999999998,118.54838600000001,-1.0,119.54838600000001,39.618877000000005,0.6963064295485636,0.012116848000000001,0.0016450358999999999,0.027701575,0.02605654,0.00831543,0.25,0.25,0.25,0.25,0.0,0.0,1.5,0.3333333333333333,0.5416666666666666,0.125,5.0,0.7106319665908813,0.75,4.0,"['no_offense', 'offense_not', 'not_personal']",0.0,0.23675863444805145,1.5,2.179836512261588,3.8147138964577785,0,0.0,,,,59.27,61.1
9,"00:01:01,352","00:01:05,190",That is literally my first thought whenever I walk into any room.,line_0009.wav,30.15908,99.324326,-1.0,100.324326,32.347343,0.490170380078637,0.014742683999999999,0.0006866233,0.029373446,0.028686822999999997,0.007207116600000001,0.2,0.2,0.2,0.2,0.0,0.2,5.5,0.02083333333333333,0.9166666666666666,0.0625,4.416666666666667,0.7663066983222961,0.9166666666666666,12.0,"['that_is', 'is_literally', 'literally_my', 'my_first', 'first_thought', 'thought_whenever', 'whenever_i', 'i_walk', 'walk_into', 'into_any', 'any_room']",0.0,0.2789762020111084,5.5,3.1266284523189154,4.9504950495049505,0,0.0,,,,61.35,65.19
10,"00:01:05,273","00:01:07,776","I'm like, ""Well, I wish I was home right now.""",line_0010.wav,20.374897,95.04310600000001,-1.0,96.04310600000001,32.326534,0.679474216380182,0.011897022,0.0013558347,0.032903485,0.03154765,0.0090565765,0.0,0.5,0.0,0.0,0.0,0.5,5.0,0.10416666666666667,0.75,0.14583333333333334,2.9090909090909087,0.6850932240486145,0.9090909090909092,11.0,"['i_am', 'am_like', 'like_well', 'well_i', 'i_wish', 'wish_i', 'i_was', 'was_home', 'home_right', 'right_now']",0.0,0.21156759560108185,5.0,4.3947263284059135,4.3947263284059135,0,0.0,,,,65.27,67.78
11,"00:01:07,859","00:01:09,194",-Uh...,line_0011.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.010415939,0.0031449408,0.026814304,0.023669364,0.008291876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.7490636704119805,0.7490636704119805,1,1.9399999999999977,"#3, ","68.12, ","70.06, ",67.86,69.19
12,"00:01:09,277","00:01:10,779",I think it's your thought too.,line_0012.wav,29.74475,98.4375,-1.0,99.4375,33.150482000000004,0.502495840266223,0.012992061000000001,0.0012211187,0.02671056,0.025489442,0.0076945233,0.2,0.2,0.0,0.2,0.0,0.4,3.0,0.09375,0.78125,0.125,3.4285714285714284,0.8708149194717407,0.8571428571428572,7.0,"['i_think', 'think_it', 'it_is', 'is_your', 'your_thought', 'thought_too']",0.0,0.305600643157959,3.0,4.660452729693756,4.660452729693756,0,0.0,,,,69.28,70.78
