,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:18,437","00:00:20,689",-[audience cheering] -[music playing],line_0000.wav,21.299606,54.579209999999996,-1.0,55.579209999999996,23.504555,0.5228539576365663,0.076218784,0.013322535,0.12133587,0.10801334,0.0290837,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,18.44,20.69
1,"00:00:31,533","00:00:32,576",Wow.,line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.068425275,0.048064392000000004,0.104949914,0.05688552,0.01714026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.9587727708533084,0.9587727708533084,0,0.0,,,,31.53,32.58
2,"00:00:33,744","00:00:35,078",Wow.,line_0002.wav,18.170986,62.288136,-1.0,63.288136,24.84444,0.6178707224334601,0.07308068,0.042807300000000006,0.10466812,0.06186082,0.01884348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.7496251874062951,0.7496251874062951,0,0.0,,,,33.74,35.08
3,"00:00:36,413","00:00:37,622","Oh, wow.",line_0003.wav,26.419579,65.625,-1.0,66.625,24.811068,0.4414225941422594,0.07537454,0.03840768,0.108663835,0.07025616,0.022721859,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.6907094120979309,0.5,2.0,['oh_wow'],0.0,0.6907094120979309,0.5,1.6542597187758434,1.6542597187758434,0,0.0,,,,36.41,37.62
4,"00:00:37,706","00:00:39,332","What's happening, New York?",line_0004.wav,21.428547000000002,200.45453999999998,-1.0,201.45453999999998,46.104620000000004,0.7925696594427245,0.09549842,0.045176855999999994,0.15488613,0.10970927,0.026074197,0.0,0.0,0.0,0.2,0.4,0.4,2.0,0.0625,0.8125,0.125,4.4,0.6353123784065247,0.8,5.0,"['what_is', 'is_happening', 'happening_new', 'new_york']",0.0,0.1311650425195694,2.0,3.075030750307508,4.305043050430511,0,0.0,,,,37.71,39.33
5,"00:00:41,168","00:00:42,294",Yeah!,line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.113798074,0.095600985,0.13892265,0.04332166,0.010268942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.8880994671403215,0.8880994671403215,0,0.0,,,,41.17,42.29
6,"00:00:43,462","00:00:46,047","Oh, this is amazing. Thank you for coming out.",line_0006.wav,8.034065,117.28723000000001,-1.0,118.28723000000001,21.13695,0.8338164251207729,0.06475800000000001,0.026320727999999998,0.1135417,0.087220974,0.022796017999999998,0.2,0.0,0.2,0.0,0.0,0.6,4.0,0.09375,0.71875,0.1875,3.888888888888889,0.7048561573028564,0.8888888888888888,9.0,"['oh_this', 'this_is', 'is_amazing', 'amazing_thank', 'thank_you', 'you_for', 'for_coming', 'coming_out']",0.0,0.2614502012729645,4.0,3.4816247582205118,4.642166344294014,0,0.0,,,,43.46,46.05
7,"00:00:47,716","00:00:49,092",We're gonna have fun tonight.,line_0007.wav,38.494186,126.72413999999999,-1.0,127.72413999999999,36.487736,0.390990990990991,0.057892255,0.018727118,0.100930065,0.08220295,0.024133077000000003,0.0,0.0,0.0,0.4,0.0,0.6,3.0,0.025,0.8,0.175,3.7142857142857135,0.7380395531654358,0.8571428571428572,7.0,"['we_are', 'are_going', 'going_to', 'to_have', 'have_fun', 'fun_tonight']",0.0,0.2414021193981171,3.0,5.08720930232559,6.540697674418617,0,0.0,,,,47.72,49.09
8,"00:00:49,760","00:00:51,386","Welcome to it, people.",line_0008.wav,44.967293,81.06618,-1.0,82.06618,17.71596,0.10566615620214397,0.041462608,0.011904768999999999,0.09328349,0.08137872,0.026801981000000002,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.0,1.0,0.0,4.25,0.6185634732246399,0.75,4.0,"['welcome_to', 'to_it', 'it_people']",0.0,0.33331507444381714,1.5,2.460024600245996,3.6900369003689932,0,0.0,,,,49.76,51.39
9,"00:00:52,137","00:00:54,014",This is us. Can I tell you for a second?,line_0009.wav,52.44048000000001,169.61539,-1.0,170.61539,46.085106,0.2791946308724832,0.040556427,0.008174113,0.115424894,0.10725078,0.026109574,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5,4.5,0.03125,0.90625,0.0625,2.9,0.8193506598472595,0.9,10.0,"['this_is', 'is_us', 'us_can', 'can_i', 'i_tell', 'tell_you', 'you_for', 'for_a', 'a_second']",0.0,0.28506147861480713,4.5,5.327650506126791,5.860415556739469,0,0.0,,,,52.14,54.01
10,"00:00:54,097","00:00:56,892","This has been my dream since I started stand-up comedy,",line_0010.wav,43.605667,125.28408999999999,-1.0,126.28408999999999,40.512012,0.38998211091234347,0.034663435,0.0051902053,0.10553075,0.10034054,0.02246414,0.125,0.0,0.125,0.25,0.0,0.5,5.0,0.02083333333333333,0.8958333333333334,0.08333333333333333,4.0,0.7919117212295532,0.9090909090909092,11.0,"['this_has', 'has_been', 'been_my', 'my_dream', 'dream_since', 'since_i', 'i_started', 'started_stand', 'stand_up', 'up_comedy']",0.0,0.14849260449409485,5.0,3.935599284436492,5.008944543828261,0,0.0,,,,54.1,56.89
11,"00:00:56,975","00:00:59,269",doing a special in New York City.,line_0011.wav,31.481052000000002,114.84375,-1.0,115.84375,29.518564,0.416210295728368,0.05645107,0.0067272163,0.12216518,0.11543796,0.029763322000000002,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.16666666666666666,3.0,0.0,1.0,0.0,3.7142857142857135,0.5013417005538939,0.8571428571428572,7.0,"['doing_a', 'a_special', 'special_in', 'in_new', 'new_york', 'york_city']",0.0,0.12200047075748445,3.0,3.0514385353095066,4.35919790758501,1,17.17,"#3, ","57.09, ","74.26, ",56.98,59.27
12,"00:00:59,352","00:01:00,520",This is it!,line_0012.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.06877323,0.020292247,0.13000686,0.10971462,0.036716826,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.125,0.625,0.25,2.6666666666666665,0.7297342419624329,0.6666666666666667,3.0,"['this_is', 'is_it']",0.0,0.5970357060432434,1.0,2.5684931506849176,2.5684931506849176,0,0.0,,,,59.35,60.52
13,"00:01:02,773","00:01:05,275","This is it. New York, New York!",line_0013.wav,30.028633000000003,109.15841999999999,-1.0,110.15841999999999,29.505545,0.44488977955911824,0.07276289999999999,0.019379208000000002,0.15009527,0.13071606,0.036436114,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,3.0,0.125,0.625,0.25,3.1428571428571432,0.7297342419624329,0.8571428571428572,7.0,"['this_is', 'is_it', 'it_new', 'new_york', 'york_new', 'new_york']",0.0,0.1311650425195694,3.0,2.797761790567544,2.797761790567544,0,0.0,,,,62.77,65.28
14,"00:01:06,568","00:01:08,653",[New York accent] Yeah! New York!,line_0014.wav,28.524109999999997,128.19768,-1.0,129.19768,32.798878,0.5132530120481927,0.088025175,0.02519135,0.12502217,0.09983082,0.029082137999999997,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.6666666666666665,0.3860620558261871,0.6666666666666667,3.0,"['yeah_new', 'new_york']",0.0,0.2261611074209213,1.0,1.4388489208633037,1.4388489208633037,0,0.0,,,,66.57,68.65
15,"00:01:09,654","00:01:11,740",I'm walking over here!,line_0015.wav,28.45559,96.710526,-1.0,97.710526,29.397115999999997,0.4747596153846154,0.06475634,0.007948418,0.12038955,0.11244113,0.035402887,0.0,0.5,0.0,0.0,0.0,0.5,2.0,0.03125,0.90625,0.0625,3.6,0.502177357673645,0.8,5.0,"['i_am', 'am_walking', 'walking_over', 'over_here']",0.0,0.2032795548439026,2.0,2.396931927133271,3.3557046979865794,0,0.0,,,,69.65,71.74
16,"00:01:11,823","00:01:13,325",[audience laughing],line_0016.wav,4.1382346,63.180515,-1.0,64.18051,16.235685,0.9084745762711864,0.021763287000000003,0.008046827,0.07958783,0.071541004,0.015068187,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,71.82,73.33
17,"00:01:13,408","00:01:15,702",That was all I thought New York was before I came here.,line_0017.wav,40.814674,151.0274,-1.0,152.0274,34.983115999999995,0.32821075740944017,0.043869525,0.003695985,0.106389314,0.10269333,0.03222982,0.0,0.1111111111111111,0.2222222222222222,0.0,0.2222222222222222,0.4444444444444444,5.5,0.05,0.85,0.1,3.583333333333333,0.7682858109474182,0.9166666666666666,12.0,"['that_was', 'was_all', 'all_i', 'i_thought', 'thought_new', 'new_york', 'york_was', 'was_before', 'before_i', 'i_came', 'came_here']",0.0,0.11221948266029358,5.5,5.231037489102012,5.6669572798605135,0,0.0,,,,73.41,75.7
18,"00:01:15,786","00:01:18,371",I just thought it was a city of people almost getting run over.,line_0018.wav,33.43222,104.00944,-1.0,105.00943999999998,37.526154,0.5155038759689923,0.031701475,0.0023520126,0.07783414,0.07548212,0.020533828,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.4444444444444444,6.0,0.015625,0.9375,0.046875,3.8461538461538463,0.8111451864242554,0.9230769230769232,13.0,"['i_just', 'just_thought', 'thought_it', 'it_was', 'was_a', 'a_city', 'city_of', 'of_people', 'people_almost', 'almost_getting', 'getting_run', 'run_over']",0.0,0.2315860837697983,6.0,5.0290135396518485,6.963249516441022,2,3.1200000000000045,"#4, #5, ","75.88, 78.4, ","76.84, 80.56, ",75.79,78.37
19,"00:01:19,414","00:01:22,793","Just everyone walking into the street, a taxi rolling up, slamming the hood,",line_0019.wav,44.436572999999996,118.54838600000001,-1.0,119.54838600000001,38.195198,0.33159073935772965,0.041220576,0.0047169416,0.10274347,0.09802653,0.025857586000000002,0.0,0.09090909090909093,0.2727272727272727,0.3636363636363637,0.0,0.2727272727272727,6.0,0.03571428571428571,0.9285714285714286,0.03571428571428571,4.6923076923076925,0.7363641858100891,0.9230769230769232,13.0,"['just_everyone', 'everyone_walking', 'walking_into', 'into_the', 'the_street', 'street_a', 'a_taxi', 'taxi_rolling', 'rolling_up', 'up_slamming', 'slamming_the', 'the_hood']",0.0,0.1407017707824707,6.0,3.847292098253916,5.91891092039064,0,0.0,,,,79.41,82.79
20,"00:01:22,876","00:01:25,003","[New York accent] ""I'm walking over here!",line_0020.wav,44.18872,196.875,-1.0,197.875,32.6097,0.21573301549463647,0.07479806,0.014595941000000001,0.13085599,0.11626005,0.02798789,0.0,0.5,0.0,0.0,0.0,0.5,2.0,0.03125,0.90625,0.0625,3.6,0.502177357673645,0.8,5.0,"['i_am', 'am_walking', 'walking_over', 'over_here']",0.0,0.2032795548439026,2.0,2.3507287259050362,3.29102021626705,1,3.8600000000000136,"#6, ","83.82, ","87.68, ",82.88,85.0
21,"00:01:25,086","00:01:26,463",What's wrong with you?,line_0021.wav,69.63799,262.5,-1.0,263.5,51.23816,0.17495395948434622,0.049569855999999995,0.006628075,0.12021375,0.11358567,0.034280512,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.4375,0.375,0.1875,3.6,0.7550758123397827,0.8,5.0,"['what_is', 'is_wrong', 'wrong_with', 'with_you']",0.0,0.3493860065937042,2.0,3.6310820624546234,3.6310820624546234,0,0.0,,,,85.09,86.46
22,"00:01:26,922","00:01:28,340","You want some coffee?""",line_0022.wav,26.573977000000003,90.36885,-1.0,91.36885,32.50657,0.5686274509803921,0.038251262,0.0019487885,0.13283418,0.13088539,0.037848093,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.5,0.0,0.875,0.125,4.25,0.8331718444824219,0.75,4.0,"['you_want', 'want_some', 'some_coffee']",0.0,0.31207966804504395,1.5,2.820874471086024,3.5260930888575297,1,4.390000000000001,"#7, ","89.02, ","93.41, ",86.92,88.34
