,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,881","00:00:10,051",A NETFLIX ORIGINAL COMEDY SPECIAL,line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01128851,0.0051705036,0.017210849,0.012040345,0.0023649647,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,6.88,10.05
1,"00:00:10,135","00:00:11,428",[distant traffic],line_0001.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.013039027,0.009743603,0.01872992,0.008986316999999999,0.0018110601999999998,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,10.13,11.43
2,"00:00:11,511","00:00:13,680",LIVE NATION PRESENTS TREVOR NOAH,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.015039958,0.010060104,0.020552747,0.010492643000000001,0.0024543246,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,11.51,13.68
3,"00:00:15,181","00:00:18,810","[presenter]  Beautiful people, put your hands together for Trevor Noah.",line_0003.wav,18.279101999999998,95.86957,-1.0,96.86957,24.54083,0.6020689655172414,0.044258628,0.022761867999999998,0.07860361,0.055841744000000006,0.01220784,0.25,0.125,0.0,0.25,0.25,0.125,4.0,0.0,0.75,0.25,5.333333333333333,0.6148673892021179,0.8888888888888888,9.0,"['beautiful_people', 'people_put', 'put_your', 'your_hands', 'hands_together', 'together_for', 'for_trevor', 'trevor_noah']",0.0,-0.1386769711971283,4.0,2.4800220446403967,4.408928079360706,0,0.0,,,,15.18,18.81
4,"00:00:19,019","00:00:23,023",[shouting and whooping],line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.035740804,0.027138147999999997,0.053310002999999995,0.026171856,0.005165139,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,19.02,23.02
5,"00:00:23,106","00:00:27,110",[hip hop intro music],line_0005.wav,4.2603364,59.594593,-1.0,60.594593,14.999761999999999,0.889308176100629,0.03443126,0.023012714,0.06000452,0.036991805,0.0054114093,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,23.11,27.11
6,"00:00:27,193","00:00:29,738",[applause],line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.03272645,0.025416862000000002,0.04978096,0.024364099,0.004575688400000001,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,27.19,29.74
7,"00:00:29,821","00:00:32,240","What's going on, Los Angeles?",line_0007.wav,18.043581,59.594593,-1.0,60.594593,23.870077,0.6071055381400209,0.043847684000000005,0.017170496,0.06860778,0.05143728,0.011639625,0.0,0.0,0.0,0.2,0.4,0.4,2.5,0.0625,0.8125,0.125,3.8333333333333335,0.7741876244544983,0.8333333333333334,6.0,"['what_is', 'is_going', 'going_on', 'on_los', 'los_angeles']",0.0,0.08720827847719193,2.5,2.480363786688714,3.720545680033071,0,0.0,,,,29.82,32.24
8,"00:00:32,657","00:00:34,868",[louder cheering],line_0008.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.032745622,0.022792246000000002,0.0447894,0.021997153999999998,0.0037499978000000004,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,32.66,34.87
9,"00:00:34,951","00:00:36,036",Welcome to the show.,line_0009.wav,15.966347,80.47445,-1.0,81.47445,25.373228,0.6792452830188679,0.03933982,0.02402555,0.05786568,0.033840127000000005,0.009977419,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.5,0.0,1.0,0.0,4.0,0.5877379179000854,0.75,4.0,"['welcome_to', 'to_the', 'the_show']",0.0,0.31767967343330383,1.5,3.6866359447004577,4.608294930875573,0,0.0,,,,34.95,36.04
10,"00:00:36,953","00:00:38,246",Thank you for coming out.,line_0010.wav,6.477117,67.63804,-1.0,68.63804,17.92332,0.8491295938104448,0.034729462,0.020137789,0.05547196,0.03533417,0.010792328,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.7048561573028564,0.8,5.0,"['thank_you', 'you_for', 'for_coming', 'coming_out']",0.0,0.38099753856658936,2.0,3.8669760247486487,4.6403712296983795,0,0.0,,,,36.95,38.25
