,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,005","00:00:10,886",America's public enemy number one in the United States is drug abuse.,line_0000.wav,30.099221999999997,91.875,-1.0,92.875,26.036133,0.3975287601193012,0.06515516,0.0077711674,0.19292237,0.18515120000000002,0.04563316,0.2,0.0,0.1,0.4,0.2,0.1,5.5,0.22916666666666666,0.7083333333333334,0.0625,4.666666666666667,0.6881828308105469,0.9166666666666666,12,"['americas_public', 'public_enemy', 'enemy_number', 'number_one', 'one_in', 'in_the', 'the_united', 'united_states', 'states_is', 'is_drug', 'drug_abuse']",0.0,0.04546207934617996,5.5,2.0404693079408265,3.7408603978915154,0,0.0,,,,5.0,10.89
1,"00:00:11,929","00:00:14,306","<i>In order to fight and defeat this enemy,</i>",line_0001.wav,17.565704,73.993286,-1.0,74.993286,28.167379999999998,0.6901260504201681,0.07236066,0.0092688445,0.20952447,0.20025562,0.04961097,0.0,0.0,0.2,0.4,0.0,0.4,3.5,0.0,1.0,0.0,4.0,0.6158539056777954,0.875,8,"['in_order', 'order_to', 'to_fight', 'fight_and', 'and_defeat', 'defeat_this', 'this_enemy']",0.0,0.1622607409954071,3.5,3.3655868742111923,5.048380311316788,0,0.0,,,,11.93,14.31
2,"00:00:14,389","00:00:18,560",it is necessary to wage a new all-out offensive.,line_0002.wav,25.369078,75.0,-1.0,76.0,27.137990000000002,0.5032953864589574,0.072016455,0.007443704000000001,0.19327363,0.18582992,0.051188428,0.5,0.0,0.25,0.0,0.0,0.25,4.5,0.22916666666666666,0.5416666666666666,0.22916666666666666,3.8,0.7074165344238281,0.9,10,"['it_is', 'is_necessary', 'necessary_to', 'to_wage', 'wage_a', 'a_new', 'new_all', 'all_out', 'out_offensive']",0.0,0.15158669650554654,4.5,2.3975065931431314,3.5962598897146973,0,0.0,,,,14.39,18.56
3,"00:00:19,978","00:00:22,689",<i>We have not only the responsibility but the authority</i>,line_0003.wav,34.35821,78.75,-1.0,79.75,27.833187,0.3687615526802218,0.082308285,0.0149292825,0.17484312,0.15991384,0.03989117,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,4.0,0.125,0.825,0.05,5.0,0.8126071095466614,0.8888888888888888,9,"['we_have', 'have_not', 'not_only', 'only_the', 'the_responsibility', 'responsibility_but', 'but_the', 'the_authority']",0.0,0.2963203191757202,4.0,3.3198081888602013,6.639616377720403,0,0.0,,,,19.98,22.69
4,"00:00:22,773","00:00:26,985",<i>to see that we wage this offensive effectively and in a coordinated way.</i>,line_0004.wav,10.258316,63.362069999999996,-1.0,64.36206999999999,21.498878,0.7826603325415677,0.05125865,0.008824292,0.17146246,0.16263817,0.035724387,0.125,0.125,0.25,0.25,0.0,0.25,6.0,0.0,0.9375,0.0625,4.538461538461538,0.759043276309967,0.9230769230769232,13,"['to_see', 'see_that', 'that_we', 'we_wage', 'wage_this', 'this_offensive', 'offensive_effectively', 'effectively_and', 'and_in', 'in_a', 'a_coordinated', 'coordinated_way']",0.0,0.08517909795045853,6.0,3.0864197530864197,5.223171889838556,0,0.0,,,,22.77,26.98
5,"00:00:27,736","00:00:30,280","Finally, in order for this program to be effective,",line_0005.wav,3.5640165999999995,59.274193000000004,-1.0,60.274193000000004,15.152667000000001,0.9164208456243854,0.04925391,0.0075421509999999995,0.13430899999999998,0.12676685,0.0313709,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,4.0,0.05,0.85,0.1,4.5555555555555545,0.6139862537384033,0.8888888888888888,9,"['finally_in', 'in_order', 'order_for', 'for_this', 'this_program', 'program_to', 'to_be', 'be_effective']",0.0,0.20505391061306,4.0,3.5377358490566038,5.896226415094339,0,0.0,,,,27.74,30.28
6,"00:00:30,364","00:00:32,533",<i>the American people all join in it.</i>,line_0006.wav,15.440884,64.09884,-1.0,65.09884,24.539076,0.6846950517836594,0.07306771,0.017227516000000002,0.18920653,0.17197901,0.03938124,0.2,0.0,0.4,0.2,0.0,0.2,3.0,0.0,1.0,0.0,4.0,0.6351822018623352,0.8571428571428572,7,"['the_american', 'american_people', 'people_all', 'all_join', 'join_in', 'in_it']",0.0,0.15378917753696442,3.0,3.227293683725218,5.071461502996772,0,0.0,,,,30.36,32.53
7,"00:00:48,215","00:00:53,303","<i> Brooklyn,</i> <i>give it up for the Lucas Brothers!</i>",line_0007.wav,26.162794,100.22726999999999,-1.0,101.22726999999999,27.714609999999997,0.4866995073891626,0.12064929,0.014321958999999999,0.19900712,0.18468517,0.047867715,0.0,0.0,0.2,0.0,0.6,0.2,3.5,0.125,0.875,0.0,4.375,0.6988056898117065,0.875,8,"['brooklyn_give', 'give_it', 'it_up', 'up_for', 'for_the', 'the_lucas', 'lucas_brothers']",0.0,-0.00955029483884573,3.5,1.572327044025159,2.161949685534594,0,0.0,,,,48.22,53.3
8,"00:01:21,582","00:01:24,584","- Sorry for walking around you. - No, it's all good.",line_0008.wav,11.981553,441.0,-1.0,442.0,44.595024,0.8860971524288107,0.040491004,0.0024684398,0.12361869,0.121150255,0.032496218,0.25,0.25,0.0,0.0,0.0,0.5,5.0,0.03125,0.59375,0.375,3.7,0.7165952324867249,0.9090909090909092,10,"['sorry_for', 'for_walking', 'walking_around', 'around_you', 'you_', '_', '_no', 'no_it', 'it_is', 'is_all', 'all_good']",0.0,0.0,5.0,3.331112591605585,4.3304463690872605,1,0.8599999999999994,"#1, ","83.95, ","84.81, ",81.58,84.58
9,"00:01:24,668","00:01:26,479",- How are you guys doing? - You guys all right?,line_0009.wav,25.271214999999998,88.2,-1.0,89.2,35.051434,0.6262203626220363,0.058330253,0.0015370495000000001,0.12710738,0.12557033,0.038712267,0.14285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.2857142857142857,4.5,0.02083333333333333,0.8541666666666666,0.125,3.6666666666666665,0.9999999403953552,0.9,9,"['how_are', 'are_you', 'you_guys', 'guys_doing', 'doing_', '_', '_you', 'you_guys', 'guys_all', 'all_right']",0.0,0.0,4.5,4.9696300386526975,5.521811154058553,1,3.6599999999999966,"#2, ","85.94, ","89.6, ",84.67,86.48
