,filename,laughs,start,end,threshold,duration
1,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_1.wav,83.95,84.81,0.3,0.7
2,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_2.wav,85.94,89.6,0.3,0.7
3,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_3.wav,90.22,92.53,0.3,0.7
4,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_4.wav,96.38,98.43,0.3,0.7
5,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_5.wav,100.96,103.27,0.3,0.7
6,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_6.wav,105.44,106.77,0.3,0.7
7,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_7.wav,107.97,110.48,0.3,0.7
8,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_8.wav,111.48,112.19,0.3,0.7
9,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_9.wav,116.04,118.27,0.3,0.7
10,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_10.wav,119.65,131.24,0.3,0.7
11,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_11.wav,132.74,135.07,0.3,0.7
12,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_12.wav,142.38,147.1,0.3,0.7
13,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_13.wav,149.03,151.3,0.3,0.7
14,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_14.wav,151.78,152.57,0.3,0.7
15,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_15.wav,153.6,155.65,0.3,0.7
16,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_16.wav,157.14,160.77,0.3,0.7
17,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_17.wav,162.21,164.23,0.3,0.7
18,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_18.wav,164.27,166.59,0.3,0.7
19,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_19.wav,167.55,171.74,0.3,0.7
20,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_20.wav,176.64,177.5,0.3,0.7
21,lucas.brothers.on.drugs.2017.webrip.x264.jawn-music.wav,/laughs/laugh_21.wav,180.41,191.21,0.3,0.7
