,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:36,995","00:00:39,664",[audience chattering],line_0000.wav,2.1998105,55.125,-1.0,56.125,11.888973,0.9320113314447592,0.0019827506,0.0006958838000000001,0.015789919,0.015094034,0.0021820515,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,36.99,39.66
1,"00:00:50,508","00:00:52,886","[man]  Ladies and gentlemen, Patton Oswalt.",line_0001.wav,36.951984,86.81102,-1.0,87.81102,28.446673999999998,0.3375796178343949,0.014280445,0.0012819212,0.0399925,0.03871058,0.009143069,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.9375,0.0625,6.0,0.6840725541114807,0.8,5.0,"['ladies_and', 'and_gentlemen', 'gentlemen_patton', 'patton_oswalt']",0.0,-0.1228777840733528,2.0,2.1026072329688814,4.205214465937764,1,36.22,"#4, ","52.75, ","88.97, ",50.51,52.89
2,"00:00:52,969","00:00:55,805","[cheering, applause]",line_0002.wav,1.1981903,51.518692,-1.0,52.518692,9.926803999999999,0.9530973451327434,0.0137523115,0.006622638,0.018382536,0.011759898000000001,0.0024012013,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,52.97,55.8
3,"00:01:08,359","00:01:11,988","[chuckles] Thank you. Okay, guys, please. Thank you.",line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021397514,0.016484946,0.02755699,0.011072043,0.0023891535,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,3.0,0.0,1.0,0.0,4.285714285714286,0.6480551958084106,0.8571428571428572,7.0,"['thank_you', 'you_okay', 'okay_guys', 'guys_please', 'please_thank', 'thank_you']",0.0,0.41889744997024536,3.0,1.9289060347203058,2.2044640396803503,0,0.0,,,,68.36,71.99
4,"00:01:12,489","00:01:15,533","Thank you. Thank you, guys.",line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.021147662999999997,0.016463129,0.027586542000000002,0.011123413,0.0025604973000000002,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,4.0,0.5647585391998291,0.8,5.0,"['thank_you', 'you_thank', 'thank_you', 'you_guys']",0.0,0.5294411182403564,2.0,1.6425755584756916,1.6425755584756916,0,0.0,,,,72.49,75.53
5,"00:01:19,287","00:01:20,538","Oh, thank you!",line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.02219013,0.016332347,0.028068568999999998,0.011736222,0.0029949376000000002,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.333333333333333,0.5647585391998291,0.6666666666666667,3.0,"['oh_thank', 'thank_you']",0.0,0.4734099805355072,1.0,2.3980815347722,2.3980815347722,0,0.0,,,,79.29,80.54
6,"00:01:23,041","00:01:25,168",Thank you. Thank you all.,line_0006.wav,13.783307999999998,78.75,-1.0,79.75,24.010853,0.7170035671819263,0.017193848,0.011151771000000001,0.027612865,0.016461093,0.0041181464,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,3.8,0.6431981325149536,0.8,5.0,"['thank_you', 'you_thank', 'thank_you', 'you_all']",0.0,0.4283016324043274,2.0,2.35072872590502,2.35072872590502,0,0.0,,,,83.04,85.17
7,"00:01:25,251","00:01:28,671","Please! Oh, dear God in heaven!",line_0007.wav,39.868187,80.47445,-1.0,81.47445,22.999563000000002,0.2209985315712188,0.010776831,0.0008407081500000001,0.032793157,0.03195245,0.0071497259999999995,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.5,0.0,0.0,0.0,3.8333333333333335,0.6644097566604614,0.8333333333333334,6.0,"['please_oh', 'oh_dear', 'dear_god', 'god_in', 'in_heaven']",0.0,0.12158223241567613,2.5,1.7543859649122795,2.0467836257309933,0,0.0,,,,85.25,88.67
8,"00:01:28,755","00:01:31,090",Thank you for that. Wow! Um--,line_0008.wav,26.255774,105.0,-1.0,106.0,37.040436,0.6410810810810811,0.0125195375,0.0008297724,0.031539224,0.030709451000000002,0.009137748000000001,0.0,0.0,0.5,0.0,0.0,0.5,2.5,0.0,1.0,0.0,3.333333333333333,0.701949954032898,0.8333333333333334,6.0,"['thank_you', 'you_for', 'for_that', 'that_wow', 'wow_um']",0.0,0.058408770710229874,2.5,2.5695931477515974,2.5695931477515974,1,1.3799999999999955,"#5, ","90.76, ","92.14, ",88.75,91.09
9,"00:01:31,841","00:01:36,221",Thank you guys for coming out and being so enthusiastic,line_0009.wav,32.595757,157.5,-1.0,158.5,38.518707,0.4882386689615605,0.013771853,0.00039833592000000005,0.031116642000000003,0.030718306,0.009264076,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.42857142857142855,4.5,0.017857142857142856,0.8571428571428571,0.125,4.6,0.7107582092285156,0.9,10.0,"['thank_you', 'you_guys', 'guys_for', 'for_coming', 'coming_out', 'out_and', 'and_being', 'being_so', 'so_enthusiastic']",0.0,0.2431352883577347,4.5,2.283105022831045,3.652968036529672,1,9.079999999999998,"#6, ","95.86, ","104.94, ",91.84,96.22
