,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:08,133","00:00:10,343",[fire crackling],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.016646823,0.0077511524,0.029164707,0.021413555,0.0054378709999999995,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,8.13,10.34
1,"00:00:10,427","00:00:12,429","[announcer] Ladies and gentlemen, please welcome to the stage",line_0001.wav,10.904746000000001,119.83696,-1.0,120.83696,28.536308000000002,0.8314465408805032,0.017897448,0.0068457443000000005,0.044043865,0.03719812,0.0073774513,0.0,0.0,0.2,0.6,0.0,0.2,3.5,0.0,0.96875,0.03125,5.125,0.6840725541114807,0.875,8.0,"['ladies_and', 'and_gentlemen', 'gentlemen_please', 'please_welcome', 'welcome_to', 'to_the', 'the_stage']",0.0,0.14958994090557098,3.5,3.996003996003995,5.994005994005993,1,27.33,"#1, ","12.39, ","39.72, ",10.43,12.43
2,"00:00:12,512","00:00:13,930",Todd Barry.,line_0002.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020477185,0.005934865,0.032737557,0.026802693,0.0061918176,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,4.5,0.6494930982589722,0.5,2.0,['todd_barry'],0.0,0.6494930982589722,0.5,1.4104372355430193,2.1156558533145287,0,0.0,,,,12.51,13.93
3,"00:00:14,305","00:00:16,307",[applause and cheering],line_0003.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.017005865,0.011220871,0.022351151,0.011130281,0.0032150508,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,14.3,16.31
4,"00:00:24,107","00:00:25,066",Thank you.,line_0004.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.014310596,0.008393193,0.028066628,0.019673435,0.005752226,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,2.0855057351407726,2.0855057351407726,0,0.0,,,,24.11,25.07
5,"00:00:25,316","00:00:26,609","Oh, my God.",line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0149762845,0.006798250600000001,0.033012476,0.026214225,0.0066464697,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,2.333333333333333,0.6244778037071228,0.6666666666666667,3.0,"['oh_my', 'my_god']",0.0,0.3776611387729645,1.0,2.320185614849183,2.320185614849183,0,0.0,,,,25.32,26.61
6,"00:00:26,901","00:00:28,695",-[cheering continues] -[Todd] Ooh.,line_0006.wav,3.5699897000000003,71.59091,-1.0,72.59091,16.822,0.9310829817158932,0.01612107,0.00818207,0.03222333,0.024041258,0.0062429267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,[],0.0,1.0,0.0,0.5574136008918616,0.5574136008918616,0,0.0,,,,26.9,28.7
7,"00:00:28,945","00:00:31,031","[Todd] Oh yeah, that's how you do it.",line_0007.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020810084,0.012518234,0.029951451,0.017433219,0.004210376599999999,0.0,0.25,0.25,0.0,0.0,0.5,3.5,0.0625,0.8125,0.125,2.75,0.861893355846405,0.875,8.0,"['oh_yeah', 'yeah_that', 'that_is', 'is_how', 'how_you', 'you_do', 'do_it']",0.0,0.2909218966960907,3.5,3.835091083413234,3.835091083413234,0,0.0,,,,28.95,31.03
8,"00:00:31,322","00:00:32,407","Oh, my God.",line_0008.wav,5.619208,72.77228000000001,-1.0,73.77228000000001,18.591444,0.8855140186915887,0.01803124,0.009841138000000001,0.025590612999999998,0.015749476999999998,0.0044324324,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,2.333333333333333,0.6244778037071228,0.6666666666666667,3.0,"['oh_my', 'my_god']",0.0,0.3776611387729645,1.0,2.7649769585253523,2.7649769585253523,0,0.0,,,,31.32,32.41
9,"00:00:33,408","00:00:34,451",Thank you.,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.01226179,0.008606077,0.021348562,0.012742485,0.0031002042999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,4.0,0.5647585391998291,0.5,2.0,['thank_you'],0.0,0.5647585391998291,0.5,1.917545541706617,1.917545541706617,0,0.0,,,,33.41,34.45
