,filename,laughs,start,end,threshold,duration
22,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_22.wav,169.94,173.88,0.3,0.7
23,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_23.wav,175.62,189.75,0.3,0.7
24,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_24.wav,191.01,198.14,0.3,0.7
25,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_25.wav,200.48,203.3,0.3,0.7
26,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_26.wav,205.09,211.28,0.3,0.7
27,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_27.wav,211.42,214.7,0.3,0.7
28,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_28.wav,218.03,222.81,0.3,0.7
29,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_29.wav,229.13,232.11,0.3,0.7
30,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_30.wav,232.92,246.03,0.3,0.7
31,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_31.wav,247.01,252.57,0.3,0.7
32,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_32.wav,254.78,255.52,0.3,0.7
33,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_33.wav,257.62,261.9,0.3,0.7
34,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_34.wav,267.11,271.55,0.3,0.7
35,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_35.wav,273.68,276.95,0.3,0.7
36,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_36.wav,277.81,283.23,0.3,0.7
37,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_37.wav,286.44,291.16,0.3,0.7
38,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_38.wav,294.9,296.98,0.3,0.7
39,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_39.wav,300.3,303.03,0.3,0.7
40,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_40.wav,303.95,307.32,0.3,0.7
41,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_41.wav,309.32,310.57,0.3,0.7
42,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_42.wav,311.07,312.77,0.3,0.7
43,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_43.wav,313.91,316.8,0.3,0.7
44,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_44.wav,317.49,318.99,0.3,0.7
45,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_45.wav,321.06,329.19,0.3,0.7
46,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_46.wav,329.86,336.75,0.3,0.7
47,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_47.wav,341.41,348.68,0.3,0.7
48,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_48.wav,349.32,351.65,0.3,0.7
49,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_49.wav,353.08,356.87,0.3,0.7
50,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_50.wav,368.53,374.44,0.3,0.7
51,vir.das.abroad.understanding.2017.webrip.x264.jawn-music.wav,/laughs/laugh_51.wav,374.87,382.52,0.3,0.7
