,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:07,000","00:00:09,000",[Hindi dance song playing],1,3.74,"#1, ","10.79, ","14.53, ",7.0,9.0
1,"00:00:15,160","00:00:16,800","[male announcer] <i>Ladies and gentlemen,</i>",0,0.0,,,,15.16,16.8
2,"00:00:16,880","00:00:20,280",<i>please welcome Aditi Mittal.</i>,1,9.830000000000002,"#2, ","20.18, ","30.01, ",16.88,20.28
3,"00:00:20,360","00:00:22,360",[Hindi dance song continues playing],0,0.0,,,,20.36,22.36
4,"00:00:26,480","00:00:29,360",[audience members whooping],0,0.0,,,,26.48,29.36
5,"00:00:29,440","00:00:32,520","Good evening, everyone! Thank you so much for coming out.",0,0.0,,,,29.44,32.52
6,"00:00:32,600","00:00:34,440",My name is Aditi Mittal.,0,0.0,,,,32.6,34.44
7,"00:00:34,520","00:00:37,800",And it is such an honor and a pleasure to be here.,0,0.0,,,,34.52,37.8
8,"00:00:37,880","00:00:40,000",I am 30 years old,0,0.0,,,,37.88,40.0
9,"00:00:40,080","00:00:41,600",and I am single.,1,0.6600000000000037,"#3, ","41.47, ","42.13, ",40.08,41.6
10,"00:00:41,680","00:00:44,040",How many single people are in the house tonight?,1,2.6200000000000045,"#4, ","43.33, ","45.95, ",41.68,44.04
11,"00:00:44,120","00:00:45,800",[audience members cheering],0,0.0,,,,44.12,45.8
12,"00:00:45,880","00:00:48,760",That is glorious. That is the sound of hope.,0,0.0,,,,45.88,48.76
13,"00:00:49,240","00:00:50,240",[audience laughing],0,0.0,,,,49.24,50.24
14,"00:00:50,320","00:00:53,680",So I am 30. I am single. And I am an Indian woman.,0,0.0,,,,50.32,53.68
15,"00:00:53,760","00:00:56,880",And I've realized that being 30 and single and an Indian woman,1,0.9299999999999997,"#5, ","54.21, ","55.14, ",53.76,56.88
16,"00:00:56,960","00:01:00,160","is like being that Tupperware container at the back of the fridge,",2,1.6799999999999997,"#6, #7, ","57.53, 60.55, ","58.69, 61.07, ",56.96,60.16
17,"00:01:00,720","00:01:02,800","where you're like, ""Is this still good?""",1,3.8800000000000026,"#8, ","62.54, ","66.42, ",60.72,62.8
18,"00:01:05,840","00:01:07,920","And this almost changed for me, by the way.",0,0.0,,,,65.84,67.92
19,"00:01:08,000","00:01:09,440",I almost became a double...,0,0.0,,,,68.0,69.44
20,"00:01:10,440","00:01:11,920",on my way here...,0,0.0,,,,70.44,71.92
21,"00:01:12,000","00:01:14,160","On my way here, I met my Prince Charming.",0,0.0,,,,72.0,74.16
22,"00:01:14,840","00:01:18,320",I knew he was the man of my dreams when he made this magical sound...,0,0.0,,,,74.84,78.32
23,"00:01:18,400","00:01:20,840","Ladies, tell me if you've heard this sound before.",0,0.0,,,,78.4,80.84
24,"00:01:20,920","00:01:23,040",The sound that goes something like this...,0,0.0,,,,80.92,83.04
25,"00:01:23,640","00:01:24,560",[hisses],0,0.0,,,,83.64,84.56
26,"00:01:25,120","00:01:26,280",[blows kiss],0,0.0,,,,85.12,86.28
27,"00:01:27,040","00:01:28,280",[hisses and blows kiss],0,0.0,,,,87.04,88.28
28,"00:01:28,360","00:01:29,600",[laughter],0,0.0,,,,88.36,89.6
29,"00:01:29,680","00:01:30,480",I'm like...,1,1.5600000000000023,"#9, ","97.09, ","98.65, ",89.68,90.48
30,"00:01:38,080","00:01:40,680",Hold still my beating heart.,0,0.0,,,,98.08,100.68
31,"00:01:41,320","00:01:43,240",You had me at...,0,0.0,,,,101.32,103.24
32,"00:01:43,320","00:01:45,160",[hisses and blows kiss],1,1.9500000000000028,"#10, ","103.82, ","105.77, ",103.32,105.16
33,"00:01:47,680","00:01:50,160",How is one legitimately supposed to respond,0,0.0,,,,107.68,110.16
34,"00:01:50,240","00:01:51,720",to a conversation that begins with...?,0,0.0,,,,110.24,111.72
35,"00:01:51,800","00:01:52,960",[hisses and blows kiss],0,0.0,,,,111.8,112.96
36,"00:01:53,040","00:01:53,840",I'm like...,0,0.0,,,,113.04,113.84
37,"00:01:53,920","00:01:55,160",[purrs],1,6.6299999999999955,"#11, ","114.25, ","120.88, ",113.92,115.16
38,"00:01:55,240","00:01:56,840",[laughter],0,0.0,,,,115.24,116.84
39,"00:01:56,920","00:01:59,520",[audience members whooping],0,0.0,,,,116.92,119.52
40,"00:02:00,520","00:02:03,120",And how is this supposed to make me attracted to you?,0,0.0,,,,120.52,123.12
41,"00:02:03,200","00:02:05,600",You can make a sound. So can a pressure cooker!,0,0.0,,,,123.2,125.6
42,"00:02:06,200","00:02:08,560","You don't see me turned on by making <i>chhole</i>, do you?",0,0.0,,,,126.2,128.56
