,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,588","00:00:09,884","[male announcer] <i>Ladies and gentlemen,</i> <i>please welcome to the stage: Ali Wong!</i>",0,0.0,,,,5.59,9.88
1,"00:00:09,968","00:00:12,095",[upbeat theme music],3,22.97,"#3, #4, #5, ","10.04, 21.17, 24.2, ","17.8, 23.4, 37.18, ",9.97,12.1
2,"00:00:12,178","00:00:14,723",[audience cheering and applauding],0,0.0,,,,12.18,14.72
3,"00:00:27,819","00:00:31,614",-Hi. Hello! Welcome! Thank you! -[crowd cheers],0,0.0,,,,27.82,31.61
4,"00:00:31,698","00:00:34,534",Thank you for coming. Hello!,0,0.0,,,,31.7,34.53
5,"00:00:35,160","00:00:36,578",Hello.,1,1.1600000000000037,"#6, ","37.47, ","38.63, ",35.16,36.58
6,"00:00:37,495","00:00:40,790","We are gonna have to get this shit over with,",1,6.659999999999997,"#7, ","39.53, ","46.19, ",37.49,40.79
7,"00:00:40,874","00:00:44,169","'cause I have to pee in, like, ten minutes.",0,0.0,,,,40.87,44.17
8,"00:00:44,252","00:00:45,670",[laughter],0,0.0,,,,44.25,45.67
9,"00:00:45,754","00:00:48,673","But thank you, everybody, so much for coming. Um...",0,0.0,,,,45.75,48.67
10,"00:00:48,757","00:00:53,094",It's a very exciting day for me. It's been a very exciting year for me.,0,0.0,,,,48.76,53.09
11,"00:00:53,178","00:00:55,889",I turned 33 this year.,1,0.9600000000000009,"#8, ","54.66, ","55.62, ",53.18,55.89
12,"00:00:55,972","00:00:59,267","-[people whooping] -Yes! Thank you, five people.",1,3.6000000000000014,"#9, ","58.11, ","61.71, ",55.97,59.27
13,"00:00:59,350","00:01:01,770",-I appreciate that. -[laughter],0,0.0,,,,59.35,61.77
14,"00:01:01,853","00:01:04,898","Uh, I can tell that I'm getting older,",0,0.0,,,,61.85,64.9
15,"00:01:04,981","00:01:10,195","because, now, when I see an 18-year-old girl,",0,0.0,,,,64.98,70.19
16,"00:01:10,278","00:01:12,530",my automatic thought...,1,11.379999999999995,"#10, ","73.39, ","84.77, ",70.28,72.53
17,"00:01:13,073","00:01:16,576","-is ""Fuck you."" -[laughter]",0,0.0,,,,73.07,76.58
18,"00:01:18,411","00:01:22,165","""Fuck you. I don't even know you, but fuck you!""",0,0.0,,,,78.41,82.17
19,"00:01:23,333","00:01:25,126",'Cause I'm straight up jealous.,0,0.0,,,,83.33,85.13
20,"00:01:25,210","00:01:29,130","I'm jealous, first and foremost, of their metabolism.",1,1.3200000000000074,"#11, ","87.82, ","89.14, ",85.21,89.13
21,"00:01:29,214","00:01:32,008","Because 18-year-old girls, they could just eat like shit,",2,5.310000000000002,"#12, #13, ","90.02, 91.42, ","90.65, 96.1, ",89.21,92.01
22,"00:01:32,091","00:01:35,804","and then they take a shit and have a six-pack, right?",0,0.0,,,,92.09,95.8
23,"00:01:35,887","00:01:39,140",They got that-that beautiful inner thigh clearance,1,1.1400000000000006,"#14, ","97.99, ","99.13, ",95.89,99.14
24,"00:01:39,224","00:01:43,102",where they put their feet together and there's that huge gap here,0,0.0,,,,99.22,103.1
25,"00:01:43,186","00:01:47,607",with the light of potential just radiating through.,1,9.439999999999998,"#15, ","103.91, ","113.35, ",103.19,107.61
26,"00:01:47,690","00:01:50,527",-[vocalizing] -[laughter],0,0.0,,,,107.69,110.53
27,"00:01:54,030","00:01:57,158","And then, when they go to sleep, they just go to sleep.",1,0.9699999999999989,"#16, ","116.12, ","117.09, ",114.03,117.16
28,"00:01:57,242","00:01:59,828",Right? They don't have insomnia yet.,1,0.9200000000000017,"#17, ","118.6, ","119.52, ",117.24,119.83
29,"00:01:59,911","00:02:03,498",They don't know what it's like to have to take a Ambien,2,2.1499999999999915,"#18, #19, ","122.19, 123.54, ","123.06, 124.82, ",119.91,123.5
30,"00:02:03,581","00:02:08,086",or download a Meditation Oasis podcast,1,1.9500000000000028,"#20, ","125.74, ","127.69, ",123.58,128.09
31,"00:02:08,169","00:02:13,383",to calm the chatter of regret and resentment towards your family,2,10.259999999999962,"#21, #22, ","129.18, 131.61, ","131.17, 139.88, ",128.17,133.38
32,"00:02:13,508","00:02:16,261",just cluttering your mind.,0,0.0,,,,133.51,136.26
33,"00:02:16,344","00:02:17,929",[laughter],0,0.0,,,,136.34,137.93
34,"00:02:20,265","00:02:22,142",They have their whole lives ahead of them.,0,0.0,,,,140.26,142.14
35,"00:02:22,225","00:02:24,018",They don't have HPV yet.,1,9.860000000000014,"#23, ","143.14, ","153.0, ",142.22,144.02
36,"00:02:24,102","00:02:28,064",They just go to sleep in peace at night.,1,20.599999999999994,"#24, ","154.27, ","174.87, ",144.1,148.06
37,"00:02:34,404","00:02:37,532","Everybody has HPV, OK?",0,0.0,,,,154.4,157.53
38,"00:02:37,615","00:02:39,701",Everybody has it. It's OK.,0,0.0,,,,157.62,159.7
39,"00:02:39,826","00:02:42,162",Come out already. Everybody has it.,0,0.0,,,,159.83,162.16
40,"00:02:42,245","00:02:45,039","If you don't have it yet, you go and get it.",0,0.0,,,,162.25,165.04
41,"00:02:45,123","00:02:47,667",-[laughter] -You go and get it. It's coming.,0,0.0,,,,165.12,167.67
