,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:10,680","00:00:14,726","[announcer]<i> Ladies and gentleman,</i> <i>and all you other motherfuckers,</i>",0,0.0,,,,10.68,14.73
1,"00:00:14,809","00:00:16,936",<i>get up off your ass</i> <i>for the baddest bitch:</i>,0,0.0,,,,14.81,16.94
2,"00:00:17,020","00:00:19,313",<i>Amy Schumer!</i>,0,0.0,,,,17.02,19.31
3,"00:00:19,397","00:00:22,316",-[music playing] -[cheers and applause],0,0.0,,,,19.4,22.32
4,"00:00:36,164","00:00:37,165",Yeah!,0,0.0,,,,36.16,37.16
5,"00:00:43,463","00:00:46,841","What the fuck is up, Denver?!",1,16.049999999999997,"#1, ","45.1, ","61.15, ",43.46,46.84
6,"00:00:46,924","00:00:48,176",[cheers and applause],0,0.0,,,,46.92,48.18
7,"00:00:51,220","00:00:54,640","Thank you so much for coming out. Oh, my God.",0,0.0,,,,51.22,54.64
8,"00:00:56,684","00:00:58,686",This is such a big deal for me.,0,0.0,,,,56.68,58.69
9,"00:00:59,896","00:01:02,356","I don't know if you guys know this, but this past year,",0,0.0,,,,59.9,62.36
10,"00:01:02,440","00:01:05,693","I've gotten very rich, famous and humble.",2,5.259999999999998,"#2, #3, ","62.49, 65.86, ","63.72, 69.89, ",62.44,65.69
11,"00:01:05,777","00:01:07,361",[audience laughing],0,0.0,,,,65.78,67.36
12,"00:01:07,445","00:01:08,696",Thank you. Thank you.,0,0.0,,,,67.44,68.7
13,"00:01:11,491","00:01:13,910",And maybe you caught this. I don't know who saw this.,1,0.6599999999999966,"#4, ","72.42, ","73.08, ",71.49,73.91
14,"00:01:14,869","00:01:18,831",I tweeted out a photo of myself wearing just underwear.,0,0.0,,,,74.87,78.83
15,"00:01:18,915","00:01:20,083",Nothing but underwear.,1,4.040000000000006,"#5, ","79.25, ","83.29, ",78.92,80.08
16,"00:01:20,166","00:01:22,043",[cheering],0,0.0,,,,80.17,82.04
17,"00:01:22,126","00:01:24,879","Thank you, just the women.",1,9.049999999999997,"#6, ","84.54, ","93.59, ",82.13,84.88
18,"00:01:24,962","00:01:26,255",What the fuck?,0,0.0,,,,84.96,86.25
19,"00:01:27,131","00:01:28,132",No!,0,0.0,,,,87.13,88.13
20,"00:01:29,592","00:01:30,968","It's too late, sir.",0,0.0,,,,89.59,90.97
21,"00:01:33,012","00:01:36,432","This could have been crumpled on your floor in the morning, but no.",1,3.319999999999993,"#7, ","95.43, ","98.75, ",93.01,96.43
22,"00:01:37,892","00:01:40,311",I like the idea of this being crumpled on someone's floor.,1,2.3999999999999915,"#8, ","100.12, ","102.52, ",97.89,100.31
23,"00:01:40,394","00:01:43,940","Having to put this back on in the morning. Just, like...",1,6.569999999999993,"#9, ","103.0, ","109.57, ",100.39,103.94
24,"00:01:44,023","00:01:46,275",[grunting],0,0.0,,,,104.02,106.28
25,"00:01:48,569","00:01:51,489","And you're like, ""Call me."" And then--",1,2.3499999999999943,"#10, ","111.2, ","113.55, ",108.57,111.49
26,"00:01:52,740","00:01:54,534",Imagine doing a walk of shame in this shit.,0,0.0,,,,112.74,114.53
27,"00:01:54,617","00:01:57,995","You're like, ""Hi. Taxi.""",1,11.439999999999998,"#11, ","115.5, ","126.94, ",114.62,118.0
28,"00:01:58,079","00:02:00,748","They're like, ""Hmm.",0,0.0,,,,118.08,120.75
29,"00:02:00,832","00:02:03,334","That's an actual trash bag. It looks like a Glad bag.""",0,0.0,,,,120.83,123.33
30,"00:02:06,129","00:02:11,884",I feel like every comedian needs a leather special.,0,0.0,,,,126.13,131.88
31,"00:02:11,968","00:02:14,720",Right? Every comic has some special,1,3.219999999999999,"#12, ","134.05, ","137.27, ",131.97,134.72
32,"00:02:14,804","00:02:17,473","where they wear all leather, and they regret it later.",1,0.539999999999992,"#13, ","137.46, ","138.0, ",134.8,137.47
33,"00:02:18,474","00:02:21,018",It's my fucking moment! <i>Leather Special!</i>,1,10.340000000000003,"#14, ","139.23, ","149.57, ",138.47,141.02
