,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,088","00:00:08,342",[pop music playing],3,27.809999999999995,"#4, #5, #6, ","9.71, 15.95, 41.31, ","14.9, 30.13, 49.75, ",5.09,8.34
1,"00:00:43,502","00:00:45,629",{\an8}[audience cheering],0,0.0,,,,43.5,45.63
2,"00:00:45,754","00:00:48,883","{\an8}[emcee]  <i>Ladies and gentlemen, make some noise</i>",0,0.0,,,,45.75,48.88
3,"00:00:49,008","00:00:54,221",{\an8}<i>for Anjelah Johnson!</i>,0,0.0,,,,49.01,54.22
4,"00:00:54,429","00:00:56,724",[pop music playing],4,26.160000000000004,"#7, #8, #9, #10, ","56.23, 65.81, 68.34, 70.88, ","58.33, 67.26, 69.74, 92.09, ",54.43,56.72
5,"00:01:18,119","00:01:20,121",[cheering continues],0,0.0,,,,78.12,80.12
6,"00:01:30,173","00:01:31,842","Oh, hi.",1,16.230000000000004,"#11, ","94.36, ","110.59, ",90.17,91.84
7,"00:01:31,926","00:01:33,928",[laughter],0,0.0,,,,91.93,93.93
8,"00:01:36,430","00:01:38,223","It's so cool. Look at us, guys.",0,0.0,,,,96.43,98.22
9,"00:01:38,306","00:01:40,935","We're here, Southern California.",0,0.0,,,,98.31,100.94
10,"00:01:41,018","00:01:43,020",[audience cheering],0,0.0,,,,101.02,103.02
11,"00:01:45,188","00:01:46,523","♪ <i>Hoo, hoo </i>♪",0,0.0,,,,105.19,106.52
12,"00:01:47,733","00:01:51,612","Um, I don't know if you guys notice anything different about me.",1,6.3999999999999915,"#12, ","111.62, ","118.02, ",107.73,111.61
13,"00:01:51,737","00:01:53,530",[audience cheers],0,0.0,,,,111.74,113.53
14,"00:01:54,656","00:01:57,952","Hey, short hair, don't care.",1,2.5800000000000125,"#13, ","119.6, ","122.18, ",114.66,117.95
15,"00:01:59,620","00:02:00,704","♪ <i>Hoo, hoo </i>♪",0,0.0,,,,119.62,120.7
16,"00:02:00,788","00:02:02,414",[laughter],0,0.0,,,,120.79,122.41
17,"00:02:02,497","00:02:04,708","I cut my hair, y'all.",0,0.0,,,,122.5,124.71
18,"00:02:04,792","00:02:08,128",You know what I noticed? People judge you based on your hairstyle.,1,1.5100000000000051,"#14, ","124.82, ","126.33, ",124.79,128.13
19,"00:02:08,211","00:02:10,005",Ever notice that? Right?,0,0.0,,,,128.21,130.0
20,"00:02:10,213","00:02:13,592","'Cause I used to have really long hair, and I'd wear it in a ponytail every day",1,1.8600000000000136,"#15, ","130.91, ","132.77, ",130.21,133.59
21,"00:02:13,717","00:02:15,844","'cause I didn't know how to do anything to my hair, right?",1,10.579999999999984,"#16, ","134.77, ","145.35, ",133.72,135.84
22,"00:02:15,928","00:02:17,596","So just, ponytail every day.",0,0.0,,,,135.93,137.6
23,"00:02:17,721","00:02:19,890",So... people thought I was a lesbian.,0,0.0,,,,137.72,139.89
24,"00:02:20,015","00:02:21,266",[laughter],0,0.0,,,,140.01,141.27
25,"00:02:21,391","00:02:23,769","Hey, where all my lesties at?",0,0.0,,,,141.39,143.77
26,"00:02:23,978","00:02:26,187","-[audience cheering] -♪ <i>Hoo, hoo </i>♪",0,0.0,,,,143.98,146.19
27,"00:02:26,396","00:02:27,982",Thank you for coming.,1,6.490000000000009,"#17, ","147.59, ","154.08, ",146.4,147.98
28,"00:02:28,107","00:02:29,691",[laughter],0,0.0,,,,148.11,149.69
29,"00:02:29,817","00:02:32,277",All my lesties. That means a lesbian bestie.,1,1.670000000000016,"#18, ","154.57, ","156.24, ",149.82,152.28
30,"00:02:32,360","00:02:34,571",-[laughter] -Lestie.,0,0.0,,,,152.36,154.57
31,"00:02:37,198","00:02:38,199",I wore my hair in a ponytail.,1,12.109999999999985,"#19, ","157.27, ","169.38, ",157.2,158.2
32,"00:02:38,283","00:02:41,328","Everybody thought I was a lesbian, right? So now I cut my hair short.",0,0.0,,,,158.28,161.33
33,"00:02:41,453","00:02:44,164",So... people still think I'm a lesbian.,0,0.0,,,,161.45,164.16
34,"00:02:44,247","00:02:45,749",[laughter],0,0.0,,,,164.25,165.75
35,"00:02:48,836","00:02:50,211",[chuckles],0,0.0,,,,168.84,170.21
36,"00:02:50,337","00:02:52,881","I think it's more than my hair that gives off the vibe,",0,0.0,,,,170.34,172.88
37,"00:02:53,007","00:02:54,925","'cause sometimes I'm a little tomboy, right?",1,1.8199999999999932,"#20, ","174.96, ","176.78, ",173.01,174.93
38,"00:02:55,050","00:02:57,260","Like, I call everybody ""bro."" ""Hey, what's up, bro?""",0,0.0,,,,175.05,177.26
39,"00:02:57,385","00:02:59,554","Everybody's ""bro,"" no matter who I'm talking to.",1,1.7300000000000182,"#21, ","179.39, ","181.12, ",177.38,179.55
40,"00:02:59,680","00:03:01,264","""Hey, Anj, how was the movie last night?""",0,0.0,,,,179.68,181.26
41,"00:03:01,389","00:03:03,100","""Bro.",1,4.939999999999998,"#22, ","181.95, ","186.89, ",181.39,183.1
42,"00:03:03,224","00:03:05,352","Bro, it was so good.",0,0.0,,,,183.22,185.35
43,"00:03:05,477","00:03:07,354","Seriously, Mom, you should see it.""",1,1.6299999999999955,"#23, ","188.02, ","189.65, ",185.48,187.35
44,"00:03:07,437","00:03:08,814",[laughter],0,0.0,,,,187.44,188.81
45,"00:03:10,231","00:03:12,442",So good. [chuckling],0,0.0,,,,190.23,192.44
46,"00:03:12,651","00:03:14,569","Or, like,  if somebody gives me a compliment,",0,0.0,,,,192.65,194.57
47,"00:03:14,695","00:03:16,822","I usually just say, ""Oh, thank you,"" right?",1,8.740000000000009,"#24, ","194.75, ","203.49, ",194.69,196.82
48,"00:03:17,031","00:03:20,575","But sometimes I'm like, ""Oh, for real? That's wassup.""",0,0.0,,,,197.03,200.57
49,"00:03:20,659","00:03:22,494",[laughter],0,0.0,,,,200.66,202.49
50,"00:03:22,577","00:03:23,954","""That's wassup.""",0,0.0,,,,202.58,203.95
