,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:06,006","00:00:08,008",<i>[cheering and applause]</i>,0,0.0,,,,6.01,8.01
1,"00:00:17,892","00:00:19,519",<i>[cheering and applause ends]</i>,0,0.0,,,,17.89,19.52
2,"00:00:21,521","00:00:22,522",<i>Now...</i>,0,0.0,,,,21.52,22.52
3,"00:00:22,605","00:00:23,732",<i>[laughter]</i>,0,0.0,,,,22.61,23.73
4,"00:00:23,815","00:00:27,694","<i>my best friend's wife </i> <i>is a born again Christian,</i>",0,0.0,,,,23.82,27.69
5,"00:00:28,111","00:00:30,864",<i>and we do not get along at all.</i>,0,0.0,,,,28.11,30.86
6,"00:00:30,947","00:00:32,032",<i>[laughter]</i>,0,0.0,,,,30.95,32.03
7,"00:00:32,115","00:00:34,284","<i>The other day, she called me up </i> <i>to yell at me,</i>",0,0.0,,,,32.12,34.28
8,"00:00:35,035","00:00:37,746",<i>saying I'm a terrible influence </i> <i>on her husband</i>,0,0.0,,,,35.03,37.75
9,"00:00:38,163","00:00:40,582",<i>because he called her a bad name.</i>,0,0.0,,,,38.16,40.58
10,"00:00:41,541","00:00:42,500","<i>I said, ""What?</i>",0,0.0,,,,41.54,42.5
11,"00:00:43,626","00:00:45,211","<i>Did he call you a bitch?""</i>",0,0.0,,,,43.63,45.21
12,"00:00:45,295","00:00:46,796",<i>[laughter]</i>,0,0.0,,,,45.3,46.8
13,"00:00:46,921","00:00:48,506","<i>She said, ""No, Anthony.</i>",0,0.0,,,,46.92,48.51
14,"00:00:49,049","00:00:51,176","<i>He did not use the B word.""</i>",0,0.0,,,,49.05,51.18
15,"00:00:51,259","00:00:52,927",<i>[laughter]</i>,0,0.0,,,,51.26,52.93
16,"00:00:53,011","00:00:54,596","<i>I said, ""Uh-oh.""</i>",3,4.720000000000006,"#1, #2, #3, ","54.79, 60.33, 63.85, ","57.7, 61.63, 64.36, ",53.01,54.6
17,"00:00:54,679","00:00:57,223",<i>[laughter]</i>,0,0.0,,,,54.68,57.22
18,"00:01:04,230","00:01:06,399","<i>""Did he call you a cunt?""</i>",1,1.6200000000000045,"#4, ","66.71, ","68.33, ",64.23,66.4
19,"00:01:06,524","00:01:08,526",<i>[laughter]</i>,0,0.0,,,,66.52,68.53
20,"00:01:09,778","00:01:14,574","<i>She said, ""No."" I said, </i> <i>""Well, then he didn't hear it from me.""</i>",1,7.579999999999998,"#5, ","74.58, ","82.16, ",69.78,74.57
21,"00:01:14,657","00:01:19,746",<i>[laughter and applause]</i>,1,1.230000000000004,"#6, ","89.83, ","91.06, ",74.66,79.75
22,"00:01:32,634","00:01:37,013","<i>Yeah, that's pretty much </i> <i>the greatest opening joke of all time.</i>",1,2.8100000000000023,"#7, ","95.8, ","98.61, ",92.63,97.01
23,"00:01:37,097","00:01:39,099",<i>[laughter]</i>,0,0.0,,,,97.1,99.1
24,"00:01:39,682","00:01:42,352","<i>Because even if </i> <i>you've never heard of me before,</i>",0,0.0,,,,99.68,102.35
25,"00:01:43,353","00:01:44,646",<i>which I doubt...</i>,1,1.7600000000000051,"#8, ","104.46, ","106.22, ",103.35,104.65
26,"00:01:44,729","00:01:46,731",<i>[laughter]</i>,0,0.0,,,,104.73,106.73
27,"00:01:48,149","00:01:51,402","<i>you listen to that first joke,</i> <i>you're like, ""Oh I get it.</i>",1,1.7999999999999972,"#9, ","111.27, ","113.07, ",108.15,111.4
28,"00:01:51,486","00:01:53,488",<i>[laughter]</i>,0,0.0,,,,111.49,113.49
29,"00:01:53,822","00:01:55,031","<i>He's fucking brilliant.""</i>",2,2.710000000000008,"#10, #11, ","115.06, 122.13, ","116.65, 123.25, ",113.82,115.03
30,"00:01:55,115","00:01:57,117",<i>[laughter]</i>,0,0.0,,,,115.11,117.12
31,"00:02:03,540","00:02:06,042",<i>My sister just had a baby.</i>,0,0.0,,,,123.54,126.04
32,"00:02:07,418","00:02:11,172",<i>My sister had a baby </i> <i>to try to save the relationship.</i>,0,0.0,,,,127.42,131.17
33,"00:02:11,256","00:02:13,258",<i>[hisses]</i>,0,0.0,,,,131.26,133.26
34,"00:02:13,466","00:02:15,593",<i>But I still don't talk to her.</i>,1,2.1299999999999955,"#12, ","135.54, ","137.67, ",133.47,135.59
35,"00:02:15,677","00:02:17,762",<i>[laughter]</i>,0,0.0,,,,135.68,137.76
36,"00:02:34,320","00:02:36,114","<i>Guys, this is gonna take forever.</i>",1,1.7700000000000102,"#13, ","156.17, ","157.94, ",154.32,156.11
37,"00:02:36,197","00:02:38,825",<i>-Um...</i> <i>-[laughter]</i>,0,0.0,,,,156.2,158.82
38,"00:02:43,538","00:02:49,169","<i>Life can be funny sometimes, all right?</i> <i>Like, I can't get into details right now.</i>",0,0.0,,,,163.54,169.17
39,"00:02:50,545","00:02:52,088","<i>But earlier this week,</i>",0,0.0,,,,170.54,172.09
40,"00:02:52,172","00:02:57,093",<i>I received the single greatest phone call </i> <i>of my life.</i>,0,0.0,,,,172.17,177.09
41,"00:02:58,136","00:02:59,888","<i>And then just five minutes later,</i>",0,0.0,,,,178.14,179.89
42,"00:03:00,597","00:03:02,015",<i>I got another call</i>,0,0.0,,,,180.6,182.01
43,"00:03:02,223","00:03:04,726",<i>telling me that my dad is in the hospital.</i>,0,0.0,,,,182.22,184.73
44,"00:03:06,311","00:03:08,563","<i>I said, ""Yeah, I just heard.""</i>",2,4.350000000000023,"#14, #15, ","188.47, 199.39, ","191.5, 200.71, ",186.31,188.56
45,"00:03:08,646","00:03:11,608",<i>[laughter]</i>,0,0.0,,,,188.65,191.61
46,"00:03:25,496","00:03:29,292","<i>I mean, look, I don't want to give </i> <i>you guys the wrong impression, you know.</i>",0,0.0,,,,205.5,209.29
47,"00:03:30,627","00:03:32,003",<i>I didn't hate my father.</i>,0,0.0,,,,210.63,212.0
48,"00:03:33,046","00:03:34,631",<i>My father wasn't a bad guy.</i>,0,0.0,,,,213.05,214.63
49,"00:03:35,590","00:03:37,550","<i>For instance, I never once,</i>",0,0.0,,,,215.59,217.55
50,"00:03:37,634","00:03:39,969","<i>not once, not ever, ever</i>",0,0.0,,,,217.63,219.97
51,"00:03:40,720","00:03:42,805",<i>saw my dad hit my mother.</i>,0,0.0,,,,220.72,222.81
52,"00:03:45,099","00:03:48,144","<i>I mean, he was quick and you can't...</i>",1,1.670000000000016,"#16, ","227.89, ","229.56, ",225.1,228.14
53,"00:03:48,228","00:03:50,980",<i>[laughter]</i>,0,0.0,,,,228.23,230.98
54,"00:03:55,526","00:03:58,071",<i>you can't teach speed.</i> <i>That comes from here.</i>,1,1.2900000000000205,"#17, ","238.07, ","239.36, ",235.53,238.07
55,"00:03:58,154","00:04:00,156",<i>[laughter]</i>,0,0.0,,,,238.15,240.16
56,"00:04:07,038","00:04:08,998","<i>I remember when I was 13,</i>",0,0.0,,,,247.04,249.0
57,"00:04:09,749","00:04:12,627",<i>my mom got diagnosed with Parkinson's </i>,0,0.0,,,,249.75,252.63
58,"00:04:13,002","00:04:15,004",<i>and my dad just gave up immediately.</i>,0,0.0,,,,253.0,255.0
59,"00:04:15,546","00:04:18,549","<i>Said, ""I can't deal with this,</i> <i>I can't live like this,""</i>",0,0.0,,,,255.55,258.55
60,"00:04:18,633","00:04:19,968",<i>and packed up his car.</i>,0,0.0,,,,258.63,259.97
61,"00:04:20,927","00:04:23,012","<i>So, as a 13-year-old boy,</i>",0,0.0,,,,260.93,263.01
62,"00:04:24,013","00:04:27,225","<i>I had to be the one to roll up my sleeves</i> <i>and say, ""Okay.</i>",0,0.0,,,,264.01,267.23
63,"00:04:29,227","00:04:30,937",<i>Guess I'm going with Dad.</i>,2,2.5600000000000023,"#18, #19, ","270.64, 276.31, ","272.68, 276.83, ",269.23,270.94
64,"00:04:31,020","00:04:33,564",<i>[laughter]</i>,0,0.0,,,,271.02,273.56
65,"00:04:44,242","00:04:46,786","<i>Sounds like Mom needs some alone time.""</i>",1,1.25,"#20, ","286.73, ","287.98, ",284.24,286.79
66,"00:04:46,869","00:04:48,871",<i>[laughter]</i>,0,0.0,,,,286.87,288.87
67,"00:04:53,835","00:04:56,587","<i>I think, like a lot of guys....</i>",0,0.0,,,,293.83,296.59
68,"00:04:58,256","00:04:59,674",<i>I'll never forget</i>,0,0.0,,,,298.26,299.67
69,"00:05:00,425","00:05:03,136",<i>the one time I saw my dad's penis.</i>,0,0.0,,,,300.43,303.14
70,"00:05:03,219","00:05:05,221",<i>[laughter]</i>,0,0.0,,,,303.22,305.22
71,"00:05:06,264","00:05:07,265","<i>I said, ""Dad,</i>",0,0.0,,,,306.26,307.26
