,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,339","00:00:24,483",♪♪,0,0.0,,,,5.34,24.48
1,"00:00:24,608","00:00:26,861",♪ Today ♪,0,0.0,,,,24.61,26.86
2,"00:00:26,986","00:00:29,864",♪ I feel like pleasing you ♪,1,5.380000000000003,"#1, ","29.21, ","34.59, ",26.99,29.86
3,"00:00:29,989","00:00:31,907",♪ more than before ♪,0,0.0,,,,29.99,31.91
4,"00:00:32,032","00:00:34,034",♪ to be living for you ♪,0,0.0,,,,32.03,34.03
5,"00:00:34,159","00:00:36,662",♪ is all I ♪,1,40.12,"#2, ","35.73, ","75.85, ",34.16,36.66
6,"00:00:36,787","00:00:41,375",♪ want to do ♪,0,0.0,,,,36.79,41.38
7,"00:00:41,500","00:00:50,634",♪ [saxophone solo plays] ♪,0,0.0,,,,41.5,50.63
8,"00:00:50,759","00:01:03,981",[crowd claps],0,0.0,,,,50.76,63.98
9,"00:01:04,105","00:01:06,525",<i>Announcer:</i> <i>Ladies and gentlemen...</i>,0,0.0,,,,64.11,66.53
10,"00:01:06,650","00:01:08,861",<i>Aziz Ansari!</i>,0,0.0,,,,66.65,68.86
11,"00:01:08,986","00:01:21,540","[cheering, applause]",1,16.549999999999997,"#3, ","76.48, ","93.03, ",68.99,81.54
12,"00:01:21,665","00:01:23,083",Thank you. Thank you.,0,0.0,,,,81.67,83.08
13,"00:01:23,208","00:01:25,084",Thank you. Thank you so much.,0,0.0,,,,83.21,85.08
14,"00:01:25,210","00:01:27,588","Philadelphia, wow! Thank you.",0,0.0,,,,85.21,87.59
15,"00:01:27,713","00:01:28,881",Thank you so much!,0,0.0,,,,87.71,88.88
16,"00:01:29,006","00:01:31,174",Wow! Wow!,0,0.0,,,,89.01,91.17
17,"00:01:31,299","00:01:32,885",This is awkward.,0,0.0,,,,91.3,92.89
18,"00:01:33,010","00:01:34,595","I actually have <i>no</i><span style=""style0""> material prepared.</i>",1,6.459999999999994,"#4, ","93.61, ","100.07, ",93.01,94.59
19,"00:01:34,720","00:01:36,555",- Um... - [laughter],0,0.0,,,,94.72,96.56
20,"00:01:36,680","00:01:38,682",I just booked this venue for this date,0,0.0,,,,96.68,98.68
21,"00:01:38,807","00:01:40,308","and I was like, Oh, I'll have an act by then.",1,1.4399999999999977,"#5, ","100.66, ","102.1, ",98.81,100.31
22,"00:01:40,434","00:01:42,519","- I...don't, uh... - [laughter]",0,0.0,,,,100.43,102.52
23,"00:01:42,644","00:01:43,729","No, it's gonna be really good.",1,1.1099999999999994,"#6, ","103.01, ","104.12, ",102.64,103.73
24,"00:01:43,854","00:01:45,564",I have one prepared which is convenient,0,0.0,,,,103.85,105.56
25,"00:01:45,689","00:01:46,732",'cause we're filming and everything.,1,2.4200000000000017,"#7, ","106.16, ","108.58, ",105.69,106.73
26,"00:01:46,857","00:01:49,902","Uh, so, let's begin.",0,0.0,,,,106.86,109.9
27,"00:01:50,027","00:01:52,654","I, uh, turned 30 years old this year.",1,5.1200000000000045,"#8, ","111.55, ","116.67, ",110.03,112.65
28,"00:01:52,780","00:01:56,199","- [cheers, whistles, applause] - Yes, it's been a good year.",0,0.0,,,,112.78,116.2
29,"00:01:56,324","00:01:59,160","I have found<i> this</i><span style=""style0""> year</i> to be the year",0,0.0,,,,116.32,119.16
30,"00:01:59,286","00:02:00,746",where a lot of my friends are getting serious,0,0.0,,,,119.29,120.75
31,"00:02:00,871","00:02:02,998","about their lives. You know, they call me up.",0,0.0,,,,120.87,123.0
32,"00:02:03,123","00:02:06,293","They say serious things. They're like, ""Aziz,",1,2.7299999999999898,"#9, ","123.34, ","126.07, ",123.12,126.29
33,"00:02:06,418","00:02:10,631","you're not gonna believe it! I just had a baby!""",1,9.569999999999993,"#10, ","127.07, ","136.64, ",126.42,130.63
34,"00:02:10,756","00:02:12,633","And I always have the same reaction. I always go,",0,0.0,,,,130.76,132.63
35,"00:02:12,758","00:02:16,386","""Ha, ha, ha, ha, ha, ha! That sucks!",0,0.0,,,,132.76,136.39
36,"00:02:16,511","00:02:18,973","""I'm so sorry that happened.",1,1.710000000000008,"#11, ","137.26, ","138.97, ",136.51,138.97
37,"00:02:19,098","00:02:22,476","""Why weren't you guys not using condoms or birth control?",1,1.4700000000000273,"#12, ","141.14, ","142.61, ",139.1,142.48
38,"00:02:22,601","00:02:25,562","""You're gonna have to take care of that thing<i> forever!</i>",1,1.5700000000000216,"#13, ","143.95, ","145.52, ",142.6,145.56
39,"00:02:25,687","00:02:27,815","""All right, well, I'll talk to you later.",1,4.069999999999993,"#14, ","147.86, ","151.93, ",145.69,147.81
40,"00:02:27,940","00:02:29,775","""I'm going to go do literally anything I want,",0,0.0,,,,147.94,149.78
41,"00:02:29,900","00:02:31,819","""'cause I don't have a baby",0,0.0,,,,149.9,151.82
42,"00:02:31,944","00:02:33,695","""so<i> all</i><span style=""style0""> my options</i>",1,7.530000000000001,"#15, ","153.73, ","161.26, ",151.94,153.69
43,"00:02:33,821","00:02:38,158","- are<i> still</i><span style=""style0""> options.""</i> - [laughter]",0,0.0,,,,153.82,158.16
44,"00:02:38,283","00:02:41,787",I hate those phone calls. I also hate those emails.,0,0.0,,,,158.28,161.79
45,"00:02:41,912","00:02:43,622",Your friends send in those emails.,1,1.25,"#16, ","162.07, ","163.32, ",161.91,163.62
46,"00:02:43,747","00:02:45,290",They'll attach a photo of the baby.,1,1.490000000000009,"#17, ","165.41, ","166.9, ",163.75,165.29
47,"00:02:45,415","00:02:47,292",They'll write something cute to welcome the baby.,0,0.0,,,,165.41,167.29
48,"00:02:47,417","00:02:49,670","""Hey, everyone!",0,0.0,,,,167.42,169.67
49,"00:02:49,795","00:02:54,299","Welcome Lindsay to the Universe!""",1,3.980000000000018,"#18, ","170.95, ","174.93, ",169.79,174.3
50,"00:02:54,424","00:02:59,387","I always just write back, ""Unsubscribe.""",1,2.9199999999999875,"#19, ","176.24, ","179.16, ",174.42,179.39
51,"00:02:59,513","00:03:03,600","Yes, I don't recall signing up for this mailing list.",1,2.0800000000000125,"#20, ","181.0, ","183.08, ",179.51,183.6
52,"00:03:03,725","00:03:06,979","Please remove me from<i> all</i><span style=""style0""> future updates.</i>",1,9.450000000000017,"#21, ","184.42, ","193.87, ",183.72,186.98
53,"00:03:07,104","00:03:08,647","Now, if you'll excuse me, I'm going to throw your baby",0,0.0,,,,187.1,188.65
54,"00:03:08,772","00:03:13,902","- in my trash. - [laughter, groans]",0,0.0,,,,188.77,193.9
55,"00:03:14,028","00:03:16,404",And now everyone has video cameras on their phones and everything,0,0.0,,,,194.03,196.4
56,"00:03:16,530","00:03:18,157",so you can get videos of the babies.,1,1.1299999999999955,"#22, ","197.0, ","198.13, ",196.53,198.16
57,"00:03:18,281","00:03:20,408","Every single video I've gotten is<i> exactly</i><span style=""style0""> the same though.</i>",1,1.7299999999999898,"#23, ","198.41, ","200.14, ",198.28,200.41
58,"00:03:20,534","00:03:24,329",- Kid shows up on the screen. - [grunting],1,4.820000000000022,"#24, ","203.17, ","207.99, ",200.53,204.33
59,"00:03:24,454","00:03:26,748",End of clip. That's the amazing footage,0,0.0,,,,204.45,206.75
60,"00:03:26,874","00:03:28,083",they needed to share with everyone.,0,0.0,,,,206.87,208.08
61,"00:03:28,207","00:03:31,586","""Brian's first steps!""",1,1.6100000000000136,"#25, ","209.39, ","211.0, ",208.21,211.59
62,"00:03:31,712","00:03:35,799","Look, I walk all the time. I'm not impressed.",1,3.069999999999993,"#26, ","212.3, ","215.37, ",211.71,215.8
63,"00:03:35,924","00:03:37,300",I'm gonna start sending my own clips back.,1,6.3700000000000045,"#27, ","216.44, ","222.81, ",215.92,217.3
64,"00:03:37,425","00:03:40,554","- ""Look at this shit. - [laughter, applause]",0,0.0,,,,217.43,220.55
65,"00:03:40,679","00:03:44,016","""Brian has nothin' on this! He has no swagger in his step.",1,17.340000000000003,"#28, ","223.38, ","240.72, ",220.68,224.02
66,"00:03:44,141","00:03:46,601","He almost fell down after three steps.""",0,0.0,,,,224.14,226.6
67,"00:03:46,727","00:03:48,020","Meanwhile, I'm running advanced shit.",0,0.0,,,,226.73,228.02
68,"00:03:48,145","00:03:50,147",I can high-step. I can run if I want to.,0,0.0,,,,228.15,230.15
